Target Name	Accession	Query Name	E-value	Score	Start	End	Description
YobI-ATPase	PF20693.3	WP_394885514	5.9e-103	345.6	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_063115966	4.6e-104	349.2	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_097449999	4.4e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_098027550	4.4e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_096198419	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_137519759	4.4e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_318220086	4.2e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_409220697	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_096946207	1.2e-103	347.8	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_047662410	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_309486256	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_235412070	4.6e-104	349.2	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_334285395	4.1e-104	349.4	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_147708181	4e-104	349.4	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_341496555	4.4e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_322559890	4.2e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_154074061	2.7e-104	350.0	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_137550304	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_095866872	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_097419421	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_001775010	2.5e-103	346.8	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_205899900	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_042111901	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_112039301	4.4e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_202849324	1.4e-104	350.9	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_064055658	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_112868682	5.8e-104	348.9	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_113452215	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_096097880	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_097475068	4.4e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_066019392	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_212407155	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_396083399	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_320759769	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_315625996	4.2e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_350224622	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_096099212	3.2e-104	349.7	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_159187769	4.7e-104	349.2	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_396072260	4.1e-104	349.4	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_086200697	4.6e-104	349.2	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_353074837	5.1e-104	349.1	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_409220492	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_319000469	4e-103	346.1	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_180458033	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_347085032	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_353960169	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_073546704	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_121827623	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_160541198	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_350337410	1.7e-103	347.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_096323947	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_395606177	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_113415143	4.4e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_222892642	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_349446468	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_312899845	9.2e-103	344.9	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_045133346	4.2e-104	349.4	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_000606050	3.3e-104	349.7	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_106693592	4.1e-104	349.4	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_203401930	4.2e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_353522715	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_195686752	3.3e-104	349.7	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_339994651	4.2e-104	349.4	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_333781902	5.5e-104	349.0	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_072743073	4.2e-104	349.4	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_112045012	4.2e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_159139417	4.3e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_311202809	4.5e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_396126510	4.4e-104	349.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_262923107	4.3e-104	349.3	26	409	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_257865920	4.2e-104	349.4	18	401	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_348521338	4e-104	349.4	1	384	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_349953304	5.1e-88	296.4	1	355	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_321159896	3.8e-104	349.5	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_306806057	3.6e-104	349.6	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_105225188	1.3e-103	347.8	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_000605255	2.4e-103	346.9	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_105281800	1.3e-103	347.8	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_236942591	1.3e-103	347.8	39	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_218078397	2.9e-104	349.9	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_201491094	1.1e-104	351.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_001559860	1.1e-104	351.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_217800744	1.1e-104	351.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_251005621	1.1e-104	351.3	39	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_103445010	1.1e-104	351.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_181576152	1.1e-104	351.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_252370704	1.1e-104	351.3	39	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_206299871	3.7e-104	349.5	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_350356878	2.9e-70	238.0	10	221	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_113419537	2.2e-103	346.9	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_250694416	2.8e-104	349.9	39	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_157715490	4.5e-104	349.2	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_250693426	4.5e-104	349.2	39	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_129954169	2.8e-104	349.9	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_250693809	1.6e-104	350.7	39	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_097370098	2.7e-104	350.0	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_250676522	7.4e-67	226.8	4	183	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_250692510	7.4e-67	226.8	4	183	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_350357025	7.4e-67	226.8	4	183	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_137553508	2.7e-104	350.0	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_096313718	2.7e-104	350.0	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_096314631	2.6e-104	350.0	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_347094721	2.6e-104	350.0	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_318011532	2.5e-104	350.1	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_180488155	2.6e-104	350.0	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_349626900	8.4e-56	190.4	1	156	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_252408648	7.9e-68	230.0	3	192	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_238890511	1.2e-67	229.4	4	190	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_001420038	1.2e-53	183.4	1	152	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_209292050	2.5e-104	350.1	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_001677236	1.3e-52	179.9	1	152	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_050561762	1.2e-53	183.4	1	152	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_347201936	2.5e-104	350.1	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_180492538	2.5e-104	350.1	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_024194057	2.7e-44	152.6	2	138	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_336296932	2.5e-104	350.1	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_316964702	2.7e-44	152.6	2	138	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_309247409	2.7e-44	152.6	2	138	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_209284400	2.4e-104	350.1	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_180488379	2.4e-104	350.2	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_225304754	2.6e-39	136.2	5	126	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_137571253	3.3e-103	346.4	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_209303817	2.4e-104	350.2	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_203106154	2.3e-104	350.2	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_089645782	2.5e-44	152.7	2	138	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_101981711	2.5e-44	152.7	2	138	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_024227781	2.1e-44	152.9	2	138	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_024199296	2.4e-44	152.7	2	138	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_053896629	2.4e-44	152.7	2	138	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_407906407	1.9e-104	350.5	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_407911061	1.9e-104	350.5	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_180758663	7.2e-16	59.1	2	78	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_345791583	2.2e-104	350.2	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_097419329	2.3e-104	350.2	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_274800217	3.7e-102	343.0	41	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_228134588	6.5e-102	342.1	41	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_224230367	2.5e-102	343.5	41	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_110209792	2.4e-102	343.6	41	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_224316602	1.7e-102	344.1	41	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_277457825	2.5e-102	343.5	41	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_255049176	2.5e-102	343.5	41	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_274803709	3.7e-102	343.0	39	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_396334305	2.5e-102	343.5	41	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_260618802	2.5e-102	343.5	39	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_232657092	1.4e-102	344.3	39	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_255043695	2.5e-102	343.5	39	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_233434845	2.4e-102	343.6	39	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_348910155	2.5e-102	343.5	39	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_254257723	2.5e-102	343.5	39	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_263528570	2.4e-102	343.5	41	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_227661414	2.1e-102	343.8	39	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_223852549	2.5e-102	343.5	39	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_136071113	2.5e-102	343.5	41	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_311124003	2.6e-102	343.4	39	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_244612079	2.5e-102	343.5	39	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_241373513	2.5e-102	343.5	39	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_258185539	6.6e-102	342.1	41	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_373879520	6.6e-102	342.1	41	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_323074256	6.6e-102	342.1	41	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_335263541	6.6e-102	342.1	41	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_289149593	5.8e-103	345.6	39	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_288955019	5.9e-103	345.6	39	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_259377205	5.8e-103	345.6	39	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_395202191	5.9e-103	345.6	39	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_172693860	4.4e-105	352.6	40	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_325802890	2.7e-105	353.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_395998948	2.2e-105	353.5	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_241718693	2.7e-105	353.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_373629130	9.8e-92	308.7	1	364	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_248063514	2.7e-105	353.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_237724300	8.1e-105	351.7	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_243452009	2.7e-105	353.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_227757146	2.7e-105	353.3	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_248199572	2e-105	353.7	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_229692691	8e-106	355.0	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_305737708	5.5e-106	355.5	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_325831041	2.3e-104	350.2	40	426	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_245000903	1.6e-106	357.3	41	428	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_233462469	7.3e-106	355.1	41	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_236886857	2.3e-106	356.8	41	428	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_368949446	1.7e-104	350.6	41	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_193795976	1.5e-103	347.6	41	428	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_119871721	2.1e-102	343.8	41	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_323810937	8.7e-65	220.0	5	189	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_233276342	1.2e-71	242.6	32	274	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_256204677	3.4e-51	175.3	1	152	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_341541001	1.4e-102	344.3	39	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_013512839	8.9e-101	338.4	18	407	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_085453391	5.3e-103	345.7	33	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_306168007	1.9e-103	347.2	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_229225755	4e-103	346.1	35	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_173829295	3.9e-102	342.9	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_170101067	2.2e-102	343.7	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_173818491	5.1e-103	345.8	33	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_094917433	3.2e-101	339.9	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_049010654	3.1e-101	339.9	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_325955705	2.1e-101	340.4	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_333073301	4e-103	346.1	35	424	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_224230658	3.1e-101	339.9	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_166493917	4.1e-102	342.8	31	420	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_371913286	1.4e-103	347.7	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_130983599	1.3e-103	347.7	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_039032649	3.3e-102	343.1	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_327621480	2.5e-101	340.2	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_224275688	3.2e-101	339.9	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_227661725	1.4e-103	347.7	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_119127139	1.4e-103	347.7	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_373404141	3.1e-101	339.9	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_319629142	1.1e-101	341.3	31	420	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_150341776	3.1e-101	339.9	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_209739907	1.3e-102	344.4	33	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_188028209	1.3e-103	347.7	33	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_323087927	3.1e-101	339.9	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_172870346	1.3e-103	347.7	33	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_181590013	1.3e-103	347.7	33	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_181874669	1.3e-103	347.7	33	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_305200074	1.3e-103	347.7	33	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_182250397	1.3e-103	347.7	33	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_238640972	2.1e-103	347.0	33	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_181876955	1.3e-103	347.7	33	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_238641094	6.4e-103	345.4	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_235154195	1.1e-103	348.0	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_219714451	2.2e-103	347.0	33	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_062913612	1.4e-103	347.6	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_396085763	2.5e-103	346.8	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_174491340	2.5e-103	346.8	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_181948810	3.1e-102	343.2	33	422	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_241407768	2.5e-103	346.8	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_222689632	1.4e-101	341.1	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_209392441	2.5e-103	346.8	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_181877452	2.5e-103	346.8	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_170973680	2.5e-103	346.8	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_147824193	5.6e-103	345.6	38	427	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_247176985	2.5e-103	346.8	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_174491135	2.5e-103	346.8	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_027663104	2.4e-103	346.8	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_172948505	3.8e-103	346.2	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_186298816	1.1e-102	344.7	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_213855181	2.5e-103	346.8	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_176210974	2.4e-103	346.8	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_353520550	2.3e-103	346.9	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_243052653	2.5e-103	346.8	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_237990502	2.5e-103	346.8	29	418	YobI-like P-loop NTPase
YobI-ATPase	PF20693.3	WP_175566493	2.5e-103	346.8	29	418	YobI-like P-loop NTPase
