Target Name	Accession	Description	Occurrences
HTH_18	PF12833.13	Helix-turn-helix domain	88
DJ-1_PfpI	PF01965.30	DJ-1/PfpI family	19
HTH_AraC	PF00165.29	Bacterial regulatory helix-turn-helix proteins, AraC family	143
SusD-like_3	PF14322.12	Starch-binding associating with outer membrane	19
SusD_RagB	PF07980.17	SusD family	19
DUF6080	PF19558.4	Family of unknown function (DUF6080)	1
Hydrolase_4	PF12146.14	Serine aminopeptidase, S33	91
Abhydrolase_1	PF00561.26	alpha/beta hydrolase fold	86
Abhydrolase_6	PF12697.13	Alpha/beta hydrolase family	61
Peptidase_S9	PF00326.27	Prolyl oligopeptidase family	54
Abhydrolase_3	PF07859.19	alpha/beta hydrolase fold	26
AAA	PF00004.35	ATPase family associated with various cellular activities (AAA)	157
Peptidase_M41	PF01434.24	Peptidase family M41	8
AAA_18	PF13238.12	AAA domain	40
RuvB_N	PF05496.18	Holliday junction DNA helicase RuvB P-loop domain	31
PIN	PF01850.27	PIN domain	35
Choline_bind_1	PF01473.26	Putative cell wall binding repeat	5
Choline_bind_2	PF19085.6	Choline-binding repeat	5
Choline_bind_3	PF19127.6	Choline-binding repeat	3
DEAD	PF00270.35	DEAD/DEAH box helicase	256
Helicase_C	PF00271.37	Helicase conserved C-terminal domain	164
ResIII	PF04851.21	Type III restriction enzyme, res subunit	276
SBP_bac_5	PF00496.27	Bacterial extracellular solute-binding proteins, family 5 Middle	8
N6_N4_Mtase	PF01555.24	DNA methylase	357
DUF447_N	PF04289.18	Protein of unknown function (DUF447) N-terminal domain	1
DUF447_C	PF20766.2	Protein of unknown function (DUF447)	1
SMODS	PF18144.7	Second Messenger Oligonucleotide or Dinucleotide Synthetase domain	14
ACR_tran	PF00873.25	AcrB/AcrD/AcrF family	26
MMPL	PF03176.21	MMPL family	21
SecD_SecF	PF02355.22	Protein export membrane protein	27
DNA_processg_A	PF02481.20	DNA recombination-mediator protein A	10
Ferric_reduct	PF01794.24	Ferric reductase like transmembrane component	5
FAD_binding_8	PF08022.18	FAD-binding domain	3
FAD_binding_6	PF00970.30	Oxidoreductase FAD-binding domain	12
SLFN_AlbA_2	PF04326.19	Schlafen, AlbA_2	25
HATPase_c_4	PF13749.12	Putative ATP-dependent DNA helicase recG C-terminal	15
HTH_24	PF13412.12	Winged helix-turn-helix DNA-binding	78
HTH_AsnC-type	PF13404.12	AsnC-type helix-turn-helix domain	23
PTPS	PF01242.24	6-pyruvoyl tetrahydropterin synthase	2
DUF4357	PF14267.11	Domain of unknown function (DUF4357)	9
RAMA	PF18755.6	Restriction Enzyme Adenine Methylase Associated	5
GIY-YIG	PF01541.30	GIY-YIG catalytic domain	32
EcoEI_R_C	PF08463.15	EcoEI R protein C-terminal	28
SWI2_SNF2	PF18766.7	SWI2/SNF2 ATPase	110
HSDR_N	PF04313.20	Type I restriction enzyme R protein N terminus (HSDR_N)	98
HSDR_N_2	PF13588.12	Type I restriction enzyme R protein N terminus (HSDR_N)	28
TctC	PF03401.19	Tripartite tricarboxylate transporter family receptor	13
Porin_4	PF13609.12	Gram-negative porin	10
Porin_1	PF00267.27	Gram-negative porin	9
DUF5615	PF18480.7	Domain of unknown function (DUF5615)	3
Mut7-C	PF01927.22	Mut7-C RNAse domain	1
RNaseH_pPIWI_RE	PF13032.11	RNaseH domain of pPIWI_RE	3
pPIWI_RE_X	PF13111.11	pPIWI_RE module N-terminal domain	2
ABC2_membrane_3	PF12698.13	ABC-2 family transporter protein	7
ABC2_membrane	PF01061.29	ABC-2 type transporter	6
AAA_14	PF13173.12	AAA domain	88
Potass_KdpF	PF09604.15	F subunit of K+-transporting ATPase (Potass_KdpF)	1
Peptidase_S41	PF03572.23	Peptidase family S41	7
Peptidase_S41_N	PF11918.13	N-terminal domain of Peptidase_S41 in eukaryotic IRBP	1
CSD	PF00313.28	'Cold-shock' DNA-binding domain	18
OB_RNB	PF08206.17	Ribonuclease B OB domain	18
MmgE_PrpD_N	PF03972.19	MmgE/PrpD N-terminal domain	1
MmgE_PrpD_C	PF19305.4	MmgE/PrpD C-terminal domain	1
DUF3037	PF11236.13	Protein of unknown function (DUF3037)	4
Imm52	PF15579.11	Immunity protein 52	1
Biotin_lipoyl	PF00364.28	Biotin-requiring enzyme	35
Biotin_lipoyl_2	PF13533.12	Biotin-lipoyl like	47
RnfC_N	PF13375.12	RnfC Barrel sandwich hybrid domain	6
HlyD_3	PF13437.12	HlyD family secretion protein	60
HTH_45	PF14947.12	Winged helix-turn-helix	62
Putative_PNPOx_2	PF22696.2	Pyridoxamine 5'-phosphate oxidase-like	1
Putative_PNPOx	PF01243.26	Pyridoxamine 5'-phosphate oxidase	11
GyrI-like	PF06445.20	GyrI-like small molecule binding domain	4
Cass2	PF14526.11	Integron-associated effector binding protein	4
MC2	PF20288.3	ABC-three component (ABC-3C) system Middle Component 2	8
Na_Ca_ex	PF01699.29	Sodium/calcium exchanger protein	2
YCII	PF03795.20	YCII-related domain	5
MIase	PF02426.22	Muconolactone delta-isomerase	1
HTH_26	PF13443.12	Cro/C1-type HTH DNA-binding domain	214
UPF0020	PF01170.24	RMKL-like, methyltransferase domain	286
MethyltransfD12	PF02086.21	D12 class N6 adenine-specific DNA methyltransferase	92
bPH_1	PF08000.17	Bacterial PH domain	2
bPH_3	PF14470.12	Bacterial PH domain	4
DUF2971	PF11185.13	Protein of unknown function (DUF2971)	16
NA37	PF04245.18	37-kD nucleoid-associated bacterial protein	20
MatE	PF01554.23	MatE	36
Polysacc_synt_C	PF14667.11	Polysaccharide biosynthesis C-terminal domain	19
TauE	PF01925.25	Sulfite exporter TauE/SafE	5
Fic_N	PF13784.11	Fic/DOC family N-terminal	8
SoFic-like_C	PF21248.3	Protein adenylyltransferase SoFic-like, C-terminal domain	3
Fic	PF02661.23	Fic/DOC family	49
Cation_efflux	PF01545.26	Cation efflux family	13
TniQ	PF06527.16	TniQ	70
GrpB	PF04229.20	GrpB protein	5
DUF454	PF04304.18	Protein of unknown function (DUF454)	2
TetR_N	PF00440.29	Bacterial regulatory proteins, tetR family	78
TetR_C_24	PF17932.6	Tetracyclin repressor-like, C-terminal domain	3
YkuI_C	PF10388.15	EAL-domain associated signalling protein domain	2
EAL	PF00563.25	EAL domain	23
HigB-like_toxin	PF05015.19	RelE-like toxin of type II toxin-antitoxin system HigB	7
ParE_like	PF24732.1	ParE-like toxin domain	2
Imm33-like	PF24719.1	Imm33-like domain	1
adh_short	PF00106.31	short chain dehydrogenase	96
adh_short_C2	PF13561.12	Enoyl-(Acyl carrier protein) reductase	88
ABG_transport	PF03806.19	AbgT putative transporter family	2
PfkB	PF00294.29	pfkB family carbohydrate kinase	338
Bac_luciferase	PF00296.26	Luciferase-like monooxygenase	8
PNP_UDP_1	PF01048.26	Phosphorylase superfamily	7
HdeA	PF06411.16	HdeA/HdeB family	1
AAA_5	PF07728.20	AAA domain (dynein-related subfamily)	109
AAA_33	PF13671.12	AAA domain	37
IstB_IS21	PF01695.23	IstB-like ATP binding protein	65
AAA_28	PF13521.12	AAA domain	14
TctA	PF01970.21	Tripartite tricarboxylate transporter TctA family	4
DUF58	PF01882.24	Protein of unknown function DUF58	4
VWA_2	PF13519.12	von Willebrand factor type A domain	13
UvrD-helicase	PF00580.27	UvrD/REP helicase N-terminal domain	247
AAA_19	PF13245.12	AAA domain	230
DUF6597	PF20240.3	Domain of unknown function (DUF6597)	3
DUF5713	PF18977.5	Family of unknown function (DUF5713)	1
Sigma70_ner	PF04546.19	Sigma-70, non-essential region	9
Sigma70_r1_1	PF03979.19	Sigma-70 factor, region 1.1	9
Sigma70_r3	PF04539.22	Sigma-70 region 3	10
Sigma70_r2	PF04542.20	Sigma-70 region 2	52
Sigma70_r4	PF04545.22	Sigma-70, region 4	103
Sigma70_r1_2	PF00140.25	Sigma-70 factor, region 1.2	13
CBS	PF00571.33	CBS domain	47
SDF	PF00375.23	Sodium:dicarboxylate symporter family	6
HEPN_AbiU2	PF18734.6	AbiU2	4
Dak1	PF02733.22	Dak1 domain	1
HTH_34	PF13601.12	Winged helix DNA-binding domain	8
Eco57I	PF07669.17	Eco57I restriction-modification methylase	306
Methyltransf_12	PF08242.18	Methyltransferase domain	134
DUF2389	PF09493.15	Tryptophan-rich protein (DUF2389)	1
Gly_kinase	PF02595.20	Glycerate kinase family	2
MepB-like	PF08877.16	MepB-like	3
AbiH	PF14253.11	Bacteriophage abortive infection AbiH	13
YbjQ_1	PF01906.23	Putative heavy-metal-binding	5
YbjQ_2	PF23025.1	C2 domain-containing protein 5, YbjQ-like domain	3
4HBT	PF03061.28	Thioesterase superfamily	17
4HBT_3	PF13622.12	Acyl-CoA thioesterase N-terminal domain	8
DUF4442	PF14539.12	Domain of unknown function (DUF4442)	6
dUTPase	PF00692.24	dUTPase	21
DCD	PF22769.1	dCTP deaminase-like	23
Acetyltransf_3	PF13302.13	Acetyltransferase (GNAT) domain	42
Acetyltransf_1	PF00583.31	Acetyltransferase (GNAT) family	107
Acetyltransf_4	PF13420.13	Acetyltransferase (GNAT) domain	22
UPF0176_N	PF17773.7	UPF0176 acylphosphatase like domain	1
Rhodanese_C	PF12368.13	Rhodanase C-terminal	1
Rhodanese	PF00581.25	Rhodanese-like domain	6
DUF808	PF05661.17	Protein of unknown function (DUF808)	2
Competence	PF03772.21	Competence protein	1
Lactamase_B	PF00753.33	Metallo-beta-lactamase superfamily	49
Sigma70_r4_2	PF08281.18	Sigma-70, region 4	103
Oxidored_FMN	PF00724.26	NADH:flavin oxidoreductase / NADH oxidase family	7
NAD_binding_8	PF13450.12	NAD(P)-binding Rossmann-like domain	47
FAD_oxidored	PF12831.13	FAD dependent oxidoreductase	20
HI0933_like	PF03486.20	HI0933-like protein Rossmann domain	43
GIDA	PF01134.28	Glucose inhibited division protein A	27
DAO	PF01266.30	FAD dependent oxidoreductase	74
AlaDh_PNT_C	PF01262.27	Alanine dehydrogenase/PNT, C-terminal domain	19
OYE-like_second_a-b	PF22620.2	OYE-like second alpha/beta domain	1
VTT_dom	PF09335.16	VTT domain	9
META	PF03724.22	META domain	2
Beta-lactamase	PF00144.29	Beta-lactamase	32
Methylase_S	PF01420.25	Type I restriction modification DNA specificity domain	185
Glyoxalase_5	PF14696.12	Hydroxyphenylpyruvate dioxygenase, HPPD, N-terminal	1
Glyoxalase	PF00903.31	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	52
Glyoxalase_4	PF13669.12	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	19
PDH_E1_M	PF17831.6	Pyruvate dehydrogenase E1 component middle domain	5
Transketolase_C_1	PF22613.1	Transketolase-like TK C-terminal domain	7
Transketolase_N	PF00456.26	Transketolase, thiamine diphosphate binding domain	13
DUF6577	PF20217.3	Family of unknown function (DUF6577)	3
Mrr_N	PF14338.12	Mrr N-terminal domain	8
DNA_pol_B	PF00136.26	DNA polymerase family B	1
TPR_12	PF13424.12	Tetratricopeptide repeat	126
TPR_10	PF13374.12	Tetratricopeptide repeat	46
TPR_1	PF00515.34	Tetratricopeptide repeat	71
TPR_16	PF13432.12	Tetratricopeptide repeat	53
TPR_19	PF14559.12	Tetratricopeptide repeat	85
ARC6	PF23468.1	Plastid division regulator alpha solenoid domain	1
Alpha-amylase	PF00128.30	Alpha amylase, catalytic domain	21
DUF3459	PF11941.14	Domain of unknown function (DUF3459)	2
YgjP-like	PF01863.23	YgjP-like, metallopeptidase domain	14
BPD_transp_1_N	PF19300.4	Binding-prot-dependent transport system membrane comp, N-term	7
SspB	PF04386.18	Stringent starvation protein B	2
Peptidase_M3	PF01432.26	Peptidase family M3	10
NifU_N	PF01592.21	NifU-like N terminal domain	1
GFO_IDH_MocA	PF01408.28	Oxidoreductase family, NAD-binding Rossmann fold	13
GFO_IDH_MocA_C3	PF22725.1	GFO/IDH/MocA C-terminal domain	11
GFO_IDH_MocA_C	PF02894.22	Oxidoreductase family, C-terminal alpha/beta domain	9
DUF772	PF05598.16	Transposase domain (DUF772)	34
DDE_Tnp_1_6	PF13751.12	Transposase DDE domain	32
DDE_Tnp_1	PF01609.27	Transposase DDE domain	104
TM1586_NiRdase	PF14512.11	Putative TM nitroreductase	11
CENP-B_N	PF04218.19	CENP-B N-terminal DNA-binding domain	11
Peptidase_C14	PF00656.27	Caspase domain	13
EAD1	PF19955.5	Effector-associated domain 1	5
CHAT	PF12770.12	CHAT domain	11
KR	PF08659.16	KR domain	86
Epimerase	PF01370.27	NAD dependent epimerase/dehydratase family	87
DOPA_dioxygen	PF08883.16	Dopa 4,5-dioxygenase family	2
tRNA-synt_2d	PF01409.25	tRNA synthetases class II core domain (F)	12
Phe_tRNA-synt_N	PF02912.23	Aminoacyl tRNA synthetase class II, N-terminal domain	5
HEPN_RES_NTD1	PF18870.6	HEPN/RES N-terminal domain 1	4
HEPN_RiboL-PSP	PF18735.6	RiboL-PSP-HEPN	13
FA_desaturase	PF00487.30	Fatty acid desaturase	9
TauD	PF02668.22	Taurine catabolism dioxygenase TauD, TfdA family	6
MMR_HSR1	PF01926.29	50S ribosome-binding GTPase	61
KH_2	PF07650.23	KH domain	2
GTP_EFTU	PF00009.33	Elongation factor Tu GTP binding domain	30
FeoB_N	PF02421.24	Ferrous iron transport protein B	27
Dynamin_N	PF00350.29	Dynamin family	43
PduV-EutP	PF10662.15	Ethanolamine utilisation - propanediol utilisation	8
RsgA_GTPase	PF03193.22	RsgA GTPase	94
AIG1	PF04548.22	AIG1 family	14
MMR_HSR1_Xtn	PF16897.10	C-terminal region of MMR_HSR1 domain	2
Ras	PF00071.28	Ras family	17
Arf	PF00025.27	ADP-ribosylation factor family	9
Rv2179c-like	PF16473.11	3'-5' exoribonuclease Rv2179c-like domain	5
PLDc_2	PF13091.12	PLD-like domain	48
PLDc	PF00614.28	Phospholipase D Active site motif	8
Aminotran_5	PF00266.25	Aminotransferase class-V	26
Aminotran_1_2	PF00155.27	Aminotransferase class I and II	40
MZB	PF09369.15	MrfA Zn-binding domain	8
MFS_1	PF07690.21	Major Facilitator Superfamily	210
Sugar_tr	PF00083.30	Sugar (and other) transporter	76
MFS_1_like	PF12832.13	MFS_1 like family	21
TRCF	PF03461.20	TRCF domain	1
CarD_TRCF_RID	PF02559.22	CarD-like/TRCF RID domain	2
UvrB_inter	PF17757.6	UvrB interaction domain	10
AAA_30	PF13604.12	AAA domain	185
MFD_D3	PF21132.2	MFD, D3 domain	1
nSTAND_NTPase7	PF24404.1	Novel STAND NTPase 7	15
nSTAND3	PF20720.3	Novel STAND NTPase 3	137
GCV_T	PF01571.26	Aminomethyltransferase folate-binding domain	5
Fer2_4	PF13510.11	2Fe-2S iron-sulfur cluster binding domain	6
GCV_T_C	PF08669.17	Glycine cleavage T-protein C-terminal barrel domain	5
ABC_trans_aux	PF03886.18	ABC-type transport auxiliary lipoprotein component	1
DUF7660	PF24693.1	Family of unknown function (DUF7660)	3
SAICAR_synt	PF01259.23	SAICAR synthetase	3
APH	PF01636.29	Phosphotransferase enzyme family	36
IncFII_repA	PF02387.20	IncFII RepA protein family	8
Dus	PF01207.23	Dihydrouridine synthase (Dus)	12
HemN_C	PF06969.22	HemN C-terminal domain	7
DivIC	PF04977.20	Septum formation initiator	10
HTH_21	PF13276.12	HTH-like domain	87
AMP-binding	PF00501.34	AMP-binding enzyme	27
Condensation	PF00668.25	Condensation domain	13
AMP-binding_C	PF13193.12	AMP-binding enzyme C-terminal domain	20
PP-binding	PF00550.31	Phosphopantetheine attachment site	14
RNAse_A_bac	PF18431.6	Bacterial CdiA-CT RNAse A domain	2
DUF501	PF04417.17	Protein of unknown function (DUF501)	4
Flavodoxin_NdrI	PF07972.16	NrdI Flavodoxin like	1
Cellulase	PF00150.24	Cellulase (glycosyl hydrolase family 5)	4
CBM_6	PF03422.21	Carbohydrate binding module (family 6)	7
CBM_35_2	PF18099.7	Carbohydrate binding module (family 35)	6
Dcc1	PF09724.14	Sister chromatid cohesion protein Dcc1	2
Cpn10	PF00166.26	Chaperonin 10 Kd subunit	11
FtsJ	PF01728.25	FtsJ-like methyltransferase	31
Methyltransf_23	PF13489.12	Methyltransferase domain	86
Peptidase_S28	PF05577.18	Serine carboxypeptidase S28	1
EamA	PF00892.26	EamA-like transporter family	68
RmlD_sub_bind	PF04321.23	RmlD substrate binding domain	41
GDP_Man_Dehyd	PF16363.11	GDP-mannose 4,6 dehydratase	42
