Protein1	Protein2	Percent_Identity
WP_001112278.1	WP_057694017.1	98.507
WP_001112278.1	WP_065726015.1	98.01
WP_001112278.1	WP_023896951.1	98.01
WP_001112278.1	WP_001112282.1	97.512
WP_001112276.1	WP_001112278.1	97.512
WP_001112278.1	WP_029424194.1	97.015
WP_001112278.1	WP_348916516.1	96.517
WP_001112278.1	WP_272237236.1	96.517
WP_001112278.1	WP_069370956.1	96.517
WP_001112278.1	WP_284072652.1	96.02
WP_001112278.1	WP_039244927.1	95.522
WP_316312126.1	WP_353630803.1	99.848
WP_300751510.1	WP_304642925.1	96.911
WP_082604292.1	WP_093352836.1	97.966
WP_082604292.1	WP_093209961.1	98.435
WP_082604292.1	WP_133156753.1	97.027
WP_082138112.1	WP_082604292.1	95.931
WP_124550273.1	WP_175781032.1	99.135
WP_081086881.1	WP_124550273.1	98.559
WP_080498804.1	WP_124550273.1	98.559
WP_124550273.1	WP_175887602.1	97.983
WP_151762786.1	WP_284118934.1	97.959
WP_016143181.1	WP_151762786.1	96.928
WP_151762786.1	WP_240296499.1	96.587
WP_005122823.1	WP_151762786.1	97.27
WP_072101968.1	WP_235296452.1	99.313
WP_015344938.1	WP_072101968.1	99.652
WP_072101968.1	WP_405001224.1	99.303
WP_072101968.1	WP_369741467.1	98.955
WP_013023768.1	WP_072101968.1	98.932
WP_023317514.1	WP_072101968.1	98.577
WP_004152386.1	WP_072101968.1	98.221
WP_072101968.1	WP_182158421.1	98.221
WP_004200825.1	WP_072101968.1	98.577
WP_072101968.1	WP_407257447.1	98.221
WP_004152292.1	WP_072101968.1	98.221
WP_072101968.1	WP_227665768.1	98.221
WP_032249431.1	WP_072101968.1	97.509
WP_072101968.1	WP_124038216.1	97.865
WP_072101968.1	WP_114266347.1	97.509
WP_004099067.1	WP_072101968.1	96.797
WP_072101968.1	WP_277967612.1	96.441
WP_072101968.1	WP_117047248.1	96.853
WP_072101968.1	WP_235123382.1	96.441
WP_013213997.1	WP_072101968.1	96.441
WP_023307528.1	WP_072101968.1	97.153
WP_072101968.1	WP_266097627.1	98.675
WP_072101968.1	WP_262390845.1	96.622
WP_221123290.1	WP_221124024.1	100.0
WP_348454628.1	WP_348455307.1	100.0
WP_154845627.1	WP_305493164.1	99.769
WP_128740883.1	WP_128993611.1	99.6
WP_000744750.1	WP_000744751.1	99.465
WP_022651882.1	WP_033487686.1	98.844
WP_084553097.1	WP_216353400.1	100.0
WP_322639180.1	WP_334779956.1	95.809
WP_289795975.1	WP_322639180.1	96.639
WP_219014809.1	WP_261635291.1	96.118
WP_005102097.1	WP_219014809.1	100.0
WP_048254464.1	WP_289467245.1	98.658
WP_119062789.1	WP_153560620.1	99.672
WP_085351675.1	WP_256805476.1	95.652
WP_160209861.1	WP_369883201.1	99.553
WP_303791150.1	WP_369883201.1	99.329
WP_059956692.1	WP_155639371.1	95.761
WP_179255564.1	WP_196317507.1	99.512
WP_179255564.1	WP_348636537.1	99.512
WP_179255564.1	WP_308378298.1	99.02
WP_179255564.1	WP_410028803.1	99.512
WP_157845837.1	WP_179255564.1	99.512
WP_179255564.1	WP_223369473.1	99.512
WP_177332180.1	WP_179255564.1	99.512
WP_179255564.1	WP_319839101.1	99.512
WP_013213998.1	WP_179255564.1	99.512
WP_171996528.1	WP_179255564.1	99.512
WP_014343474.1	WP_179255564.1	99.512
WP_074160419.1	WP_179255564.1	99.512
WP_179255564.1	WP_222859269.1	99.024
WP_179255564.1	WP_355493117.1	99.024
WP_179255564.1	WP_330190108.1	99.512
WP_179255564.1	WP_210472969.1	99.5
WP_179255564.1	WP_407205213.1	99.024
WP_179255564.1	WP_214593189.1	97.073
WP_174561797.1	WP_179255564.1	98.969
WP_179255564.1	WP_336196029.1	96.098
WP_179255564.1	WP_181216577.1	96.098
WP_179255564.1	WP_201282763.1	99.479
WP_179255564.1	WP_210531048.1	99.435
WP_172481283.1	WP_179255564.1	99.355
WP_179255564.1	WP_224267728.1	99.351
WP_179255564.1	WP_226659826.1	99.306
WP_179255564.1	WP_264928071.1	99.231
WP_172488753.1	WP_179255564.1	99.231
WP_179255564.1	WP_180354942.1	99.213
WP_179255564.1	WP_321154163.1	99.194
WP_179255564.1	WP_183129369.1	99.123
WP_172881786.1	WP_179255564.1	98.947
WP_179255564.1	WP_238142485.1	98.701
WP_179255564.1	WP_218452272.1	98.684
WP_179255564.1	WP_410397569.1	97.619
WP_179255564.1	WP_192873694.1	97.619
WP_179255564.1	WP_253603391.1	97.619
WP_179255564.1	WP_407221220.1	100.0
WP_179255564.1	WP_259390400.1	100.0
WP_179255564.1	WP_407210669.1	100.0
WP_012951252.1	WP_185450388.1	95.902
WP_185450388.1	WP_311177629.1	95.495
WP_006042568.1	WP_011932093.1	97.333
WP_256065656.1	WP_378445859.1	99.639
WP_039244927.1	WP_272237236.1	97.512
WP_001112276.1	WP_039244927.1	97.015
WP_032061006.1	WP_039244927.1	96.517
WP_001112282.1	WP_039244927.1	97.015
WP_039244927.1	WP_065726015.1	97.015
WP_001112281.1	WP_039244927.1	97.015
WP_029424194.1	WP_039244927.1	96.517
WP_039244927.1	WP_069370956.1	96.02
WP_023896951.1	WP_039244927.1	95.522
WP_032059093.1	WP_039244927.1	96.02
WP_039244927.1	WP_057694017.1	96.02
WP_039244927.1	WP_284072652.1	95.522
WP_057193900.1	WP_249399367.1	100.0
WP_249399367.1	WP_260797521.1	100.0
WP_249399367.1	WP_252322637.1	100.0
WP_249399367.1	WP_279369674.1	100.0
WP_228138089.1	WP_249399367.1	100.0
WP_228139108.1	WP_249399367.1	100.0
WP_050591753.1	WP_249399367.1	100.0
WP_249399367.1	WP_265091382.1	100.0
WP_130111491.1	WP_249399367.1	100.0
WP_143243501.1	WP_249399367.1	100.0
WP_171251031.1	WP_249399367.1	100.0
WP_228138786.1	WP_249399367.1	100.0
WP_198080947.1	WP_249399367.1	100.0
WP_249399367.1	WP_272342476.1	100.0
WP_057689869.1	WP_249399367.1	100.0
WP_249399367.1	WP_272401256.1	100.0
WP_148108544.1	WP_249399367.1	100.0
WP_249399367.1	WP_306220003.1	100.0
WP_099755447.1	WP_249399367.1	100.0
WP_249399367.1	WP_277556746.1	100.0
WP_057694244.1	WP_249399367.1	100.0
WP_057091188.1	WP_249399367.1	100.0
WP_133447470.1	WP_249399367.1	100.0
WP_099769520.1	WP_249399367.1	100.0
WP_057061105.1	WP_249399367.1	100.0
WP_249399367.1	WP_272396957.1	100.0
WP_057691087.1	WP_249399367.1	100.0
WP_057066348.1	WP_249399367.1	100.0
WP_057692513.1	WP_249399367.1	100.0
WP_198073723.1	WP_249399367.1	100.0
WP_057690140.1	WP_249399367.1	100.0
WP_078208045.1	WP_249399367.1	100.0
WP_099770223.1	WP_249399367.1	100.0
WP_198131398.1	WP_249399367.1	100.0
WP_068920957.1	WP_249399367.1	100.0
WP_148792969.1	WP_249399367.1	100.0
WP_099745566.1	WP_249399367.1	100.0
WP_228258017.1	WP_249399367.1	100.0
WP_249399367.1	WP_264515957.1	100.0
WP_198064314.1	WP_249399367.1	100.0
WP_002108265.1	WP_249399367.1	100.0
WP_086379547.1	WP_249399367.1	100.0
WP_249399367.1	WP_348916518.1	98.837
WP_240485668.1	WP_249399367.1	100.0
WP_249399367.1	WP_264753085.1	100.0
WP_249399367.1	WP_427775339.1	98.551
WP_240489289.1	WP_249399367.1	100.0
WP_064697785.1	WP_327208377.1	100.0
WP_326893029.1	WP_327208377.1	100.0
WP_140330219.1	WP_146537659.1	95.96
WP_036945735.1	WP_050753997.1	100.0
WP_050753997.1	WP_154673521.1	99.16
WP_050753997.1	WP_160317775.1	97.917
WP_201203331.1	WP_280077498.1	99.663
WP_201203331.1	WP_227696670.1	97.98
WP_049036837.1	WP_076884806.1	98.684
WP_049036837.1	WP_124550272.1	98.684
WP_049036837.1	WP_175781030.1	97.368
WP_110825647.1	WP_214544133.1	98.028
WP_110825647.1	WP_284175579.1	99.582
WP_031755526.1	WP_273655082.1	97.753
WP_031755526.1	WP_121202198.1	97.753
WP_031755526.1	WP_086937300.1	97.753
WP_031755526.1	WP_094007101.1	97.753
WP_031755526.1	WP_086008657.1	97.753
WP_003112211.1	WP_031755526.1	100.0
WP_019372064.1	WP_031755526.1	100.0
WP_031755526.1	WP_060853142.1	100.0
WP_031755526.1	WP_070656343.1	100.0
WP_044422766.1	WP_180073525.1	96.96
WP_044422766.1	WP_148826979.1	96.657
WP_024742386.1	WP_406746824.1	99.65
WP_406743001.1	WP_406746824.1	99.301
WP_176587527.1	WP_313013540.1	99.843
WP_131706095.1	WP_222064192.1	99.638
WP_043128372.1	WP_317841983.1	96.712
WP_419617794.1	WP_419652287.1	100.0
WP_294030746.1	WP_419652287.1	100.0
WP_295538309.1	WP_419652287.1	100.0
WP_419636161.1	WP_419652287.1	100.0
WP_305802211.1	WP_419652287.1	100.0
WP_305801737.1	WP_419652287.1	100.0
WP_419612356.1	WP_419652287.1	100.0
WP_419630772.1	WP_419652287.1	100.0
WP_305802731.1	WP_419652287.1	100.0
WP_419631751.1	WP_419652287.1	99.846
WP_419625096.1	WP_419652287.1	99.846
WP_305802044.1	WP_419652287.1	100.0
WP_305801916.1	WP_419652287.1	100.0
WP_419644781.1	WP_419652287.1	99.538
WP_419616970.1	WP_419652287.1	99.846
WP_419620850.1	WP_419652287.1	99.692
WP_419611087.1	WP_419652287.1	99.846
WP_305802840.1	WP_419652287.1	99.384
WP_419592802.1	WP_419652287.1	98.921
WP_419624666.1	WP_419652287.1	98.767
WP_419590890.1	WP_419652287.1	98.921
WP_419628363.1	WP_419652287.1	98.921
WP_419606917.1	WP_419652287.1	98.767
WP_294041604.1	WP_419652287.1	98.613
WP_419616092.1	WP_419652287.1	98.459
WP_305801415.1	WP_419652287.1	100.0
WP_419602363.1	WP_419652287.1	99.836
WP_419586017.1	WP_419652287.1	99.836
WP_419637801.1	WP_419652287.1	100.0
WP_419634370.1	WP_419652287.1	100.0
WP_305802988.1	WP_419652287.1	100.0
WP_419595086.1	WP_419652287.1	99.441
WP_419594736.1	WP_419652287.1	100.0
WP_293725571.1	WP_419652287.1	100.0
WP_005265675.1	WP_219014810.1	98.198
WP_004780063.1	WP_005265675.1	97.297
WP_004691519.1	WP_005265675.1	96.396
WP_005265675.1	WP_104499309.1	97.03
WP_046236950.1	WP_116826694.1	98.99
WP_046276267.1	WP_047662028.1	100.0
WP_046092923.1	WP_047662028.1	100.0
WP_062865902.1	WP_258668324.1	99.852
WP_239945533.1	WP_258668324.1	99.704
WP_089122621.1	WP_258668324.1	95.858
WP_196122629.1	WP_258668324.1	95.858
WP_023983915.1	WP_315361943.1	97.818
WP_046543939.1	WP_175795892.1	97.97
WP_046543939.1	WP_174956897.1	97.716
WP_046543939.1	WP_077233538.1	97.716
WP_046543939.1	WP_105770944.1	97.716
WP_046543939.1	WP_242895094.1	97.462
WP_046543939.1	WP_143279111.1	97.681
WP_046543939.1	WP_212271098.1	98.63
WP_100554729.1	WP_317245295.1	98.113
WP_122218333.1	WP_122285217.1	98.795
WP_338402960.1	WP_341274688.1	98.0
WP_338154721.1	WP_341274688.1	100.0
WP_335618219.1	WP_341274688.1	100.0
WP_002086068.1	WP_057691950.1	99.78
WP_065905282.1	WP_346647615.1	99.712
WP_069517192.1	WP_346647615.1	96.542
WP_092180809.1	WP_346647615.1	95.677
WP_001797059.1	WP_071621402.1	98.113
WP_071621402.1	WP_367670821.1	98.113
WP_001557499.1	WP_071621402.1	100.0
WP_285160114.1	WP_368462365.1	99.167
WP_368462365.1	WP_370611813.1	98.333
WP_025760250.1	WP_368462365.1	96.667
WP_133816107.1	WP_368462365.1	95.0
WP_000855179.1	WP_368462365.1	95.833
WP_255403445.1	WP_368462365.1	95.0
WP_004584038.1	WP_013815593.1	97.917
WP_004584038.1	WP_088492416.1	97.945
WP_093209962.1	WP_093352834.1	96.419
WP_082604293.1	WP_093352834.1	95.652
WP_157729003.1	WP_205387972.1	100.0
WP_032933012.1	WP_284273110.1	99.764
WP_140660714.1	WP_284273110.1	97.163
WP_027033475.1	WP_284273110.1	96.69
WP_027062878.1	WP_284273110.1	96.454
WP_098714021.1	WP_224992132.1	98.095
WP_293154352.1	WP_293369931.1	100.0
WP_293354462.1	WP_293369931.1	97.936
WP_408338738.1	WP_408474739.1	96.769
WP_408373217.1	WP_408474739.1	95.692
WP_252105720.1	WP_321154164.1	100.0
WP_181238489.1	WP_321154164.1	100.0
WP_177952012.1	WP_321154164.1	100.0
WP_019706024.1	WP_321154164.1	100.0
WP_321154164.1	WP_407257446.1	100.0
WP_114266346.1	WP_321154164.1	100.0
WP_289171287.1	WP_321154164.1	98.649
WP_321154164.1	WP_336196027.1	100.0
WP_181216580.1	WP_321154164.1	100.0
WP_013213995.1	WP_321154164.1	100.0
WP_193051882.1	WP_321154164.1	95.946
WP_227649609.1	WP_321154164.1	100.0
WP_057006262.1	WP_103734102.1	96.585
WP_003195812.1	WP_057006262.1	96.098
WP_096855500.1	WP_265093427.1	98.969
WP_265093427.1	WP_332377795.1	98.969
WP_335618219.1	WP_338154721.1	100.0
WP_335618219.1	WP_338402960.1	100.0
WP_025651659.1	WP_201577258.1	99.597
WP_003111415.1	WP_174133817.1	99.554
WP_108517011.1	WP_291614793.1	99.401
WP_108517011.1	WP_404548074.1	97.006
WP_080314647.1	WP_323101450.1	99.741
WP_154902328.1	WP_323101450.1	99.482
WP_131096075.1	WP_323101450.1	99.482
WP_087728439.1	WP_323101450.1	99.482
WP_216502339.1	WP_323101450.1	99.482
WP_308063285.1	WP_323101450.1	99.482
WP_193149588.1	WP_323101450.1	98.964
WP_320728654.1	WP_323101450.1	99.223
WP_110191954.1	WP_323101450.1	96.623
WP_117115354.1	WP_323101450.1	96.364
WP_228932421.1	WP_323101450.1	96.104
WP_133816103.1	WP_323101450.1	95.844
WP_193863123.1	WP_323101450.1	95.844
WP_285160118.1	WP_323101450.1	95.844
WP_088244079.1	WP_323101450.1	96.104
WP_149377099.1	WP_323101450.1	95.584
WP_079927709.1	WP_323101450.1	95.844
WP_088717867.1	WP_323101450.1	96.57
WP_130993823.1	WP_323101450.1	97.419
WP_251854117.1	WP_323101450.1	98.007
WP_200577292.1	WP_201108994.1	99.425
WP_049885783.1	WP_077911057.1	99.741
WP_007664854.1	WP_049885783.1	98.446
WP_049885783.1	WP_368470828.1	98.187
WP_326156964.1	WP_366970725.1	99.261
WP_326156964.1	WP_326350852.1	99.015
WP_100676161.1	WP_316948684.1	99.497
WP_316948684.1	WP_349526226.1	99.246
WP_000746635.1	WP_149889682.1	98.762
WP_227031489.1	WP_294145099.1	95.833
WP_141953148.1	WP_402795944.1	98.94
WP_155024532.1	WP_410390090.1	99.541
WP_142448071.1	WP_410390090.1	98.165
WP_290094412.1	WP_410390090.1	97.706
WP_312926204.1	WP_410390090.1	97.706
WP_062865902.1	WP_239945533.1	99.852
WP_089122621.1	WP_239945533.1	95.858
WP_196122629.1	WP_239945533.1	95.858
WP_105828954.1	WP_186095304.1	96.33
WP_144221401.1	WP_234500710.1	99.537
WP_044734887.1	WP_234500710.1	99.383
WP_101059827.1	WP_234500710.1	99.383
WP_234500710.1	WP_345880450.1	99.383
WP_234500710.1	WP_345873395.1	99.228
WP_005303072.1	WP_017780915.1	99.571
WP_005303072.1	WP_139474239.1	99.571
WP_005303072.1	WP_049048959.1	98.712
WP_134240913.1	WP_208217651.1	98.592
WP_128677674.1	WP_134240913.1	97.887
WP_121373434.1	WP_134240913.1	96.479
WP_324012206.1	WP_374851359.1	97.0
WP_230798163.1	WP_377400788.1	96.802
WP_110177003.1	WP_239945346.1	99.734
WP_102370367.1	WP_239945346.1	99.202
WP_020904094.1	WP_239945346.1	99.468
WP_239945346.1	WP_394293821.1	95.745
WP_129146597.1	WP_239945346.1	95.479
WP_182956102.1	WP_239945346.1	95.327
WP_080773715.1	WP_239945346.1	99.495
WP_052484241.1	WP_239945346.1	100.0
WP_128677678.1	WP_241294959.1	97.816
WP_128677678.1	WP_134240915.1	97.725
WP_121373432.1	WP_128677678.1	97.225
WP_128677678.1	WP_208217650.1	97.134
WP_268678881.1	WP_409438339.1	96.629
WP_268678881.1	WP_372383775.1	97.326
WP_149617834.1	WP_400361156.1	99.117
WP_371339657.1	WP_400361156.1	98.94
WP_197832532.1	WP_400361156.1	99.117
WP_334272656.1	WP_400361156.1	98.94
WP_124988809.1	WP_400361156.1	98.94
WP_259005116.1	WP_400361156.1	98.94
WP_221002050.1	WP_400361156.1	98.763
WP_260514446.1	WP_400361156.1	98.94
WP_048292126.1	WP_400361156.1	98.763
WP_225287592.1	WP_400361156.1	98.587
WP_400361156.1	WP_414476831.1	98.763
WP_233964566.1	WP_400361156.1	96.113
WP_067700757.1	WP_400361156.1	95.583
WP_275148294.1	WP_400361156.1	99.18
WP_309354932.1	WP_400361156.1	98.649
WP_227043863.1	WP_278663445.1	99.683
WP_227043863.1	WP_412214210.1	97.945
WP_227043863.1	WP_412214211.1	99.213
WP_024716275.1	WP_164972490.1	100.0
WP_164972490.1	WP_410490201.1	99.693
WP_069964142.1	WP_164972490.1	99.693
WP_052720004.1	WP_164972490.1	100.0
WP_164972490.1	WP_224588726.1	99.62
WP_186583825.1	WP_186596031.1	98.945
WP_186472341.1	WP_186583825.1	98.309
WP_156783769.1	WP_186583825.1	99.147
WP_308005425.1	WP_336719052.1	97.81
WP_003316223.1	WP_116826693.1	99.405
WP_013691803.1	WP_126242935.1	98.205
WP_013691803.1	WP_225781136.1	96.124
WP_140280883.1	WP_274683933.1	99.592
WP_140280883.1	WP_239945534.1	99.184
WP_085478556.1	WP_403683541.1	98.225
WP_054896098.1	WP_194439644.1	98.639
WP_000995341.1	WP_000995342.1	99.561
WP_000995336.1	WP_000995341.1	98.684
WP_000995333.1	WP_000995341.1	98.246
WP_000995341.1	WP_111811284.1	96.93
WP_000995341.1	WP_280043483.1	96.93
WP_147264252.1	WP_209358790.1	99.197
WP_047486152.1	WP_230041239.1	98.529
WP_130654262.1	WP_174010474.1	95.938
WP_130654262.1	WP_156612850.1	95.312
WP_019372064.1	WP_060853142.1	100.0
WP_003112211.1	WP_060853142.1	100.0
WP_060853142.1	WP_121202198.1	100.0
WP_060853142.1	WP_086008657.1	100.0
WP_060853142.1	WP_086937300.1	100.0
WP_060853142.1	WP_273655082.1	100.0
WP_060853142.1	WP_094007101.1	100.0
WP_060853142.1	WP_070656343.1	100.0
WP_035823780.1	WP_046681977.1	99.778
WP_113871777.1	WP_141046848.1	95.495
WP_042845677.1	WP_181489921.1	95.332
WP_042845677.1	WP_272571140.1	95.332
WP_042845677.1	WP_094961627.1	95.332
WP_004907539.1	WP_042845677.1	95.086
WP_042845677.1	WP_110591073.1	95.086
WP_105134489.1	WP_105179884.1	99.887
WP_105179884.1	WP_170241374.1	99.66
WP_105179884.1	WP_205013730.1	99.32
WP_105179884.1	WP_136628083.1	99.32
WP_029171414.1	WP_105179884.1	99.206
WP_105120615.1	WP_105179884.1	99.092
WP_105179884.1	WP_238708662.1	98.867
WP_105179884.1	WP_277291519.1	96.838
WP_014839937.1	WP_100112216.1	99.689
WP_004099053.1	WP_014839937.1	98.447
WP_014839937.1	WP_080688381.1	98.137
WP_013815099.1	WP_014839937.1	98.137
WP_014839937.1	WP_193408145.1	97.826
WP_013362812.1	WP_014839937.1	97.205
WP_014839937.1	WP_181586357.1	97.205
WP_014839937.1	WP_181852543.1	96.585
WP_014839937.1	WP_368296288.1	95.833
WP_014839937.1	WP_157669359.1	100.0
WP_014839937.1	WP_047353200.1	100.0
WP_014839937.1	WP_223349232.1	100.0
WP_014839937.1	WP_225385476.1	95.0
WP_268301966.1	WP_268304133.1	97.26
WP_015150603.1	WP_368012920.1	97.491
WP_015150603.1	WP_254566473.1	97.133
WP_156612842.1	WP_174010490.1	97.6
WP_053288255.1	WP_171865701.1	98.214
WP_161469999.1	WP_171865701.1	97.857
WP_171865701.1	WP_180911128.1	97.857
WP_043156463.1	WP_171865701.1	97.857
WP_000280761.1	WP_321993094.1	99.697
WP_195201760.1	WP_321993094.1	99.394
WP_000984615.1	WP_321993094.1	98.347
WP_225510875.1	WP_321993094.1	99.571
WP_025464676.1	WP_321993094.1	99.379
WP_301005472.1	WP_321993094.1	98.261
WP_000280760.1	WP_321993094.1	97.872
WP_001130240.1	WP_321993094.1	98.795
WP_029528619.1	WP_337137673.1	95.754
WP_000893266.1	WP_000893278.1	99.52
WP_000893255.1	WP_000893266.1	99.041
WP_000893262.1	WP_000893266.1	98.561
WP_085212043.1	WP_397864431.1	97.436
WP_231130873.1	WP_232457805.1	99.774
WP_202947024.1	WP_231130873.1	96.84
WP_305802753.1	WP_419601640.1	100.0
WP_293653370.1	WP_305802753.1	100.0
WP_305802753.1	WP_419609050.1	98.837
WP_305802753.1	WP_419638136.1	98.837
WP_305801950.1	WP_305802753.1	98.837
WP_305802753.1	WP_419642028.1	98.837
WP_305802753.1	WP_419640856.1	98.837
WP_305802753.1	WP_419636160.1	98.837
WP_017691463.1	WP_289390781.1	99.371
WP_081028744.1	WP_346697104.1	97.087
WP_058697631.1	WP_233528050.1	100.0
WP_034129302.1	WP_086353519.1	96.35
WP_034129302.1	WP_273795602.1	96.35
WP_004683630.1	WP_034129302.1	96.168
WP_034129302.1	WP_087540316.1	96.168
WP_034129302.1	WP_288491436.1	96.168
WP_320395759.1	WP_330212561.1	98.99
WP_320395759.1	WP_414916344.1	98.99
WP_320395759.1	WP_326427237.1	97.966
WP_179840141.1	WP_320395759.1	97.288
WP_320395759.1	WP_320403966.1	96.271
WP_170057488.1	WP_320395759.1	96.271
WP_177433945.1	WP_320395759.1	95.932
WP_129449912.1	WP_320395759.1	95.767
WP_149278264.1	WP_234529055.1	98.276
WP_179728834.1	WP_345099738.1	99.623
WP_244357791.1	WP_265897414.1	100.0
WP_244357791.1	WP_269567185.1	100.0
WP_032453056.1	WP_244357791.1	98.237
WP_115656503.1	WP_244357791.1	98.489
WP_130993825.1	WP_244357791.1	97.733
WP_048978578.1	WP_244357791.1	97.985
WP_052250612.1	WP_193149616.1	99.138
WP_193149616.1	WP_241174700.1	98.276
WP_193149616.1	WP_214599082.1	97.414
WP_131096124.1	WP_193149616.1	97.414
WP_159236087.1	WP_193149616.1	96.552
WP_022631532.1	WP_023340918.1	97.814
WP_018482016.1	WP_027511051.1	98.529
WP_099756768.1	WP_427120280.1	99.383
WP_131713892.1	WP_222064193.1	99.47
WP_131706094.1	WP_222064193.1	99.294
WP_066759202.1	WP_230652714.1	99.738
WP_326156967.1	WP_326350849.1	99.703
WP_268413649.1	WP_326350849.1	98.22
WP_228258017.1	WP_252322637.1	100.0
WP_228258017.1	WP_260797521.1	100.0
WP_228138786.1	WP_228258017.1	100.0
WP_057193900.1	WP_228258017.1	100.0
WP_228139108.1	WP_228258017.1	100.0
WP_228258017.1	WP_279369674.1	100.0
WP_228138089.1	WP_228258017.1	100.0
WP_050591753.1	WP_228258017.1	100.0
WP_228258017.1	WP_265091382.1	100.0
WP_143243501.1	WP_228258017.1	100.0
WP_130111491.1	WP_228258017.1	100.0
