Source File,Main Protein,Found Protein,Position,Product
WP_210408756_neighbors.csv,WP_210408756.1,WP_368762290.1,downstream,P-loop NTPase fold protein
WP_264752709_neighbors.csv,WP_264752709.1,WP_264752710.1,downstream,hypothetical protein
WP_249534031_neighbors.csv,WP_249534031.1,WP_249534032.1,downstream,hypothetical protein
WP_243053488_neighbors.csv,WP_243053488.1,WP_243053487.1,downstream,hypothetical protein
WP_208373680_neighbors.csv,WP_208373680.1,WP_208373678.1,upstream,hypothetical protein
WP_290942967_neighbors.csv,WP_290942967.1,WP_290942965.1,upstream,hypothetical protein
WP_257123132_neighbors.csv,WP_257123132.1,WP_257123131.1,upstream,hypothetical protein
WP_119973127_neighbors.csv,WP_119973127.1,WP_119973129.1,downstream,hypothetical protein
WP_268720942_neighbors.csv,WP_268720942.1,WP_268720943.1,downstream,hypothetical protein
WP_233481521_neighbors.csv,WP_233481521.1,WP_233481520.1,downstream,hypothetical protein
WP_378235516_neighbors.csv,WP_378235516.1,WP_378235514.1,upstream,hypothetical protein
WP_378235516_neighbors.csv,WP_378235516.1,WP_378235515.1,downstream,hypothetical protein
WP_237023563_neighbors.csv,WP_237023563.1,WP_334198866.1,downstream,hypothetical protein
WP_317580145_neighbors.csv,WP_317580145.1,WP_317580146.1,downstream,hypothetical protein
WP_243045638_neighbors.csv,WP_243045638.1,WP_243045640.1,downstream,hypothetical protein
WP_331722856_neighbors.csv,WP_331722856.1,WP_405498885.1,downstream,hypothetical protein
WP_332679050_neighbors.csv,WP_332679050.1,WP_332679047.1,upstream,hypothetical protein
WP_332679050_neighbors.csv,WP_332679050.1,WP_332679052.1,downstream,hypothetical protein
WP_236941985_neighbors.csv,WP_236941985.1,WP_250376678.1,downstream,hypothetical protein
WP_236941985_neighbors.csv,WP_236941985.1,WP_250376679.1,downstream,hypothetical protein
WP_236941985_neighbors.csv,WP_236941985.1,WP_250668008.1,downstream,hypothetical protein
WP_236941985_neighbors.csv,WP_236941985.1,WP_236941986.1,downstream,hypothetical protein
WP_397006107_neighbors.csv,WP_397006107.1,WP_397006105.1,downstream,hypothetical protein
WP_227515271_neighbors.csv,WP_227515271.1,WP_180814337.1,downstream,hypothetical protein
WP_227515271_neighbors.csv,WP_227515271.1,WP_228299879.1,downstream,hypothetical protein
WP_333485618_neighbors.csv,WP_333485618.1,WP_270331634.1,downstream,hypothetical protein
WP_369099776_neighbors.csv,WP_369099776.1,WP_369099783.1,downstream,DNA-binding protein
WP_343439077_neighbors.csv,WP_343439077.1,WP_343439078.1,downstream,hypothetical protein
WP_407251037_neighbors.csv,WP_407251037.1,WP_333954075.1,upstream,hypothetical protein
WP_368762290_neighbors.csv,WP_368762290.1,WP_210408756.1,upstream,hypothetical protein
WP_181611842_neighbors.csv,WP_181611842.1,WP_181611843.1,downstream,hypothetical protein
WP_227013145_neighbors.csv,WP_227013145.1,WP_227013147.1,downstream,hypothetical protein
WP_332578609_neighbors.csv,WP_332578609.1,WP_332578608.1,downstream,hypothetical protein
WP_247152052_neighbors.csv,WP_247152052.1,WP_247152053.1,downstream,hypothetical protein
WP_332679047_neighbors.csv,WP_332679047.1,WP_332679050.1,downstream,hypothetical protein
WP_332679047_neighbors.csv,WP_332679047.1,WP_332679052.1,downstream,hypothetical protein
WP_337211743_neighbors.csv,WP_337211743.1,WP_337211742.1,upstream,hypothetical protein
WP_337211743_neighbors.csv,WP_337211743.1,WP_337211744.1,downstream,P-loop NTPase fold protein
WP_302280787_neighbors.csv,WP_302280787.1,WP_302280788.1,downstream,hypothetical protein
WP_358056290_neighbors.csv,WP_358056290.1,WP_358056292.1,downstream,hypothetical protein
WP_271342746_neighbors.csv,WP_271342746.1,WP_271342745.1,upstream,hypothetical protein
WP_231527658_neighbors.csv,WP_231527658.1,WP_231527659.1,downstream,hypothetical protein
WP_375222484_neighbors.csv,WP_375222484.1,WP_329601897.1,upstream,hypothetical protein
WP_191077687_neighbors.csv,WP_191077687.1,WP_191077686.1,upstream,hypothetical protein
WP_249534032_neighbors.csv,WP_249534032.1,WP_249534031.1,downstream,hypothetical protein
WP_346981556_neighbors.csv,WP_346981556.1,WP_138297004.1,downstream,hypothetical protein
WP_228023574_neighbors.csv,WP_228023574.1,WP_228023580.1,downstream,P-loop NTPase fold protein
WP_246842276_neighbors.csv,WP_246842276.1,WP_246842274.1,upstream,hypothetical protein
WP_246842276_neighbors.csv,WP_246842276.1,WP_246842275.1,upstream,hypothetical protein
WP_331716283_neighbors.csv,WP_331716283.1,WP_101377910.1,downstream,hypothetical protein
WP_255597447_neighbors.csv,WP_255597447.1,WP_375336885.1,downstream,hypothetical protein
WP_255597447_neighbors.csv,WP_255597447.1,WP_255597449.1,downstream,hypothetical protein
WP_346352369_neighbors.csv,WP_346352369.1,WP_346352367.1,upstream,hypothetical protein
WP_369691315_neighbors.csv,WP_369691315.1,WP_256359760.1,downstream,DNA-binding protein
WP_337211744_neighbors.csv,WP_337211744.1,WP_337211742.1,upstream,hypothetical protein
WP_337211744_neighbors.csv,WP_337211744.1,WP_337211743.1,upstream,hypothetical protein
WP_368092249_neighbors.csv,WP_368092249.1,WP_138297004.1,downstream,hypothetical protein
WP_407259533_neighbors.csv,WP_407259533.1,WP_407259124.1,upstream,hypothetical protein
WP_407259533_neighbors.csv,WP_407259533.1,WP_407259125.1,downstream,hypothetical protein
WP_147348911_neighbors.csv,WP_147348911.1,WP_118370843.1,downstream,hypothetical protein
WP_180814337_neighbors.csv,WP_180814337.1,WP_226339348.1,upstream,P-loop NTPase fold protein
WP_180814337_neighbors.csv,WP_180814337.1,WP_227515271.1,downstream,P-loop NTPase fold protein
WP_180814337_neighbors.csv,WP_180814337.1,WP_253990845.1,downstream,P-loop NTPase fold protein
WP_180814337_neighbors.csv,WP_180814337.1,WP_256769287.1,downstream,P-loop NTPase fold protein
WP_317580146_neighbors.csv,WP_317580146.1,WP_317580145.1,downstream,hypothetical protein
WP_259272204_neighbors.csv,WP_259272204.1,WP_374221955.1,upstream,hypothetical protein
WP_259272204_neighbors.csv,WP_259272204.1,WP_259272203.1,upstream,hypothetical protein
WP_312216039_neighbors.csv,WP_312216039.1,WP_312216035.1,upstream,hypothetical protein
WP_265496313_neighbors.csv,WP_265496313.1,WP_409231151.1,downstream,hypothetical protein
WP_265496313_neighbors.csv,WP_265496313.1,WP_265496319.1,downstream,hypothetical protein
WP_124040463_neighbors.csv,WP_124040463.1,WP_228709504.1,downstream,hypothetical protein
WP_124040463_neighbors.csv,WP_124040463.1,WP_407251314.1,downstream,hypothetical protein
WP_124040463_neighbors.csv,WP_124040463.1,WP_407251256.1,downstream,hypothetical protein
WP_349251982_neighbors.csv,WP_349251982.1,WP_248784181.1,downstream,hypothetical protein
WP_378235515_neighbors.csv,WP_378235515.1,WP_378235514.1,downstream,hypothetical protein
WP_378235515_neighbors.csv,WP_378235515.1,WP_378235516.1,downstream,hypothetical protein
WP_257123131_neighbors.csv,WP_257123131.1,WP_257123132.1,downstream,P-loop NTPase fold protein
WP_256359760_neighbors.csv,WP_256359760.1,WP_369691315.1,upstream,hypothetical protein
WP_147788642_neighbors.csv,WP_147788642.1,WP_147788643.1,downstream,P-loop NTPase fold protein
WP_240616130_neighbors.csv,WP_240616130.1,WP_167390208.1,upstream,ATP-binding protein
WP_367244421_neighbors.csv,WP_367244421.1,WP_291631742.1,downstream,hypothetical protein
WP_134658159_neighbors.csv,WP_134658159.1,WP_167769315.1,downstream,P-loop NTPase fold protein
WP_227538379_neighbors.csv,WP_227538379.1,WP_210408756.1,upstream,hypothetical protein
WP_227538379_neighbors.csv,WP_227538379.1,WP_262361641.1,upstream,hypothetical protein
WP_227538379_neighbors.csv,WP_227538379.1,WP_259272383.1,upstream,hypothetical protein
WP_118615442_neighbors.csv,WP_118615442.1,WP_118615440.1,downstream,hypothetical protein
WP_080022188_neighbors.csv,WP_080022188.1,WP_080022187.1,upstream,hypothetical protein
WP_166137735_neighbors.csv,WP_166137735.1,WP_166137738.1,downstream,hypothetical protein
WP_286488962_neighbors.csv,WP_286488962.1,WP_286488964.1,downstream,hypothetical protein
WP_236941986_neighbors.csv,WP_236941986.1,WP_236941985.1,upstream,hypothetical protein
WP_237113177_neighbors.csv,WP_237113177.1,WP_237113178.1,downstream,hypothetical protein
WP_322973493_neighbors.csv,WP_322973493.1,WP_248784181.1,downstream,hypothetical protein
WP_279460459_neighbors.csv,WP_279460459.1,WP_341536418.1,upstream,hypothetical protein
WP_368471378_neighbors.csv,WP_368471378.1,WP_228709039.1,downstream,hypothetical protein
WP_287303136_neighbors.csv,WP_287303136.1,WP_287303138.1,downstream,hypothetical protein
WP_241033306_neighbors.csv,WP_241033306.1,WP_338106985.1,upstream,hypothetical protein
WP_228023580_neighbors.csv,WP_228023580.1,WP_228023574.1,upstream,hypothetical protein
WP_039525475_neighbors.csv,WP_039525475.1,WP_039525471.1,upstream,hypothetical protein
WP_339484389_neighbors.csv,WP_339484389.1,WP_339484391.1,downstream,hypothetical protein
WP_236130785_neighbors.csv,WP_236130785.1,WP_236130784.1,upstream,hypothetical protein
WP_392559456_neighbors.csv,WP_392559456.1,WP_392559455.1,upstream,hypothetical protein
WP_223080513_neighbors.csv,WP_223080513.1,WP_223080512.1,upstream,hypothetical protein
WP_289942673_neighbors.csv,WP_289942673.1,WP_277388826.1,upstream,hypothetical protein
WP_322339629_neighbors.csv,WP_322339629.1,WP_322339625.1,upstream,P-loop NTPase fold protein
WP_222952436_neighbors.csv,WP_222952436.1,WP_222952439.1,downstream,hypothetical protein
WP_222952436_neighbors.csv,WP_222952436.1,WP_222952440.1,downstream,hypothetical protein
WP_072980546_neighbors.csv,WP_072980546.1,WP_072980545.1,upstream,hypothetical protein
WP_039525471_neighbors.csv,WP_039525471.1,WP_039525475.1,downstream,hypothetical protein
WP_072693693_neighbors.csv,WP_072693693.1,WP_072693696.1,downstream,hypothetical protein
WP_232536210_neighbors.csv,WP_232536210.1,WP_232536208.1,upstream,hypothetical protein
WP_228267452_neighbors.csv,WP_228267452.1,WP_228267451.1,upstream,hypothetical protein
WP_369024705_neighbors.csv,WP_369024705.1,WP_369024707.1,downstream,hypothetical protein
WP_185428257_neighbors.csv,WP_185428257.1,WP_185428258.1,downstream,hypothetical protein
WP_340125808_neighbors.csv,WP_340125808.1,WP_340125809.1,downstream,DNA-binding protein
WP_118370843_neighbors.csv,WP_118370843.1,WP_147348911.1,upstream,hypothetical protein
WP_251301791_neighbors.csv,WP_251301791.1,WP_231530261.1,downstream,hypothetical protein
WP_063455856_neighbors.csv,WP_063455856.1,WP_252866462.1,downstream,hypothetical protein
WP_277839544_neighbors.csv,WP_277839544.1,WP_324826158.1,upstream,hypothetical protein
WP_400452636_neighbors.csv,WP_400452636.1,WP_400452634.1,upstream,hypothetical protein
WP_026764597_neighbors.csv,WP_026764597.1,WP_026764596.1,upstream,hypothetical protein
WP_023702787_neighbors.csv,WP_023702787.1,WP_023702786.1,upstream,hypothetical protein
WP_249928821_neighbors.csv,WP_249928821.1,WP_231793536.1,upstream,hypothetical protein
WP_249928821_neighbors.csv,WP_249928821.1,WP_349665052.1,upstream,hypothetical protein
WP_348580155_neighbors.csv,WP_348580155.1,WP_348580157.1,downstream,hypothetical protein
WP_353177924_neighbors.csv,WP_353177924.1,WP_353177926.1,downstream,hypothetical protein
WP_320769106_neighbors.csv,WP_320769106.1,WP_320769107.1,downstream,hypothetical protein
WP_347452325_neighbors.csv,WP_347452325.1,WP_347452326.1,downstream,hypothetical protein
WP_245483271_neighbors.csv,WP_245483271.1,WP_245483272.1,downstream,hypothetical protein
WP_245483271_neighbors.csv,WP_245483271.1,WP_348629873.1,downstream,hypothetical protein
WP_232627577_neighbors.csv,WP_232627577.1,WP_232627578.1,downstream,hypothetical protein
WP_287303138_neighbors.csv,WP_287303138.1,WP_287303136.1,downstream,P-loop NTPase fold protein
WP_331687766_neighbors.csv,WP_331687766.1,WP_331687765.1,downstream,hypothetical protein
WP_258962584_neighbors.csv,WP_258962584.1,WP_258962585.1,downstream,hypothetical protein
WP_225395866_neighbors.csv,WP_225395866.1,WP_225395865.1,downstream,hypothetical protein
WP_050592433_neighbors.csv,WP_050592433.1,WP_348625836.1,downstream,hypothetical protein
WP_191918210_neighbors.csv,WP_191918210.1,WP_191918211.1,downstream,P-loop NTPase fold protein
WP_369098563_neighbors.csv,WP_369098563.1,WP_369098562.1,upstream,hypothetical protein
WP_274122697_neighbors.csv,WP_274122697.1,WP_274122695.1,upstream,hypothetical protein
WP_332560846_neighbors.csv,WP_332560846.1,WP_332560845.1,upstream,hypothetical protein
WP_270462657_neighbors.csv,WP_270462657.1,WP_333519608.1,upstream,hypothetical protein
WP_378803206_neighbors.csv,WP_378803206.1,WP_378803205.1,upstream,hypothetical protein
WP_289241161_neighbors.csv,WP_289241161.1,WP_289241162.1,downstream,hypothetical protein
WP_142956017_neighbors.csv,WP_142956017.1,WP_376765587.1,downstream,hypothetical protein
WP_228709039_neighbors.csv,WP_228709039.1,WP_250391431.1,downstream,hypothetical protein
WP_228709039_neighbors.csv,WP_228709039.1,WP_368471378.1,upstream,hypothetical protein
WP_228709039_neighbors.csv,WP_228709039.1,WP_228730065.1,downstream,hypothetical protein
WP_228709039_neighbors.csv,WP_228709039.1,WP_228709038.1,upstream,hypothetical protein
WP_286404597_neighbors.csv,WP_286404597.1,WP_286404600.1,downstream,hypothetical protein
WP_251950508_neighbors.csv,WP_251950508.1,WP_350028107.1,upstream,hypothetical protein
WP_193547010_neighbors.csv,WP_193547010.1,WP_193547011.1,downstream,P-loop NTPase fold protein
WP_228710992_neighbors.csv,WP_228710992.1,WP_228710994.1,downstream,hypothetical protein
WP_228710992_neighbors.csv,WP_228710992.1,WP_228710995.1,downstream,hypothetical protein
WP_169057873_neighbors.csv,WP_169057873.1,WP_169057872.1,upstream,hypothetical protein
WP_259652724_neighbors.csv,WP_259652724.1,WP_259652723.1,downstream,pcar
WP_407906407_neighbors.csv,WP_407906407.1,WP_407906406.1,upstream,hypothetical protein
WP_252866462_neighbors.csv,WP_252866462.1,WP_063455856.1,downstream,hypothetical protein
WP_367144218_neighbors.csv,WP_367144218.1,WP_367144217.1,upstream,hypothetical protein
WP_240016793_neighbors.csv,WP_240016793.1,WP_341775342.1,downstream,hypothetical protein
WP_228477421_neighbors.csv,WP_228477421.1,WP_228477420.1,upstream,hypothetical protein
WP_227627403_neighbors.csv,WP_227627403.1,WP_227627404.1,downstream,hypothetical protein
WP_392440335_neighbors.csv,WP_392440335.1,WP_392440336.1,downstream,hypothetical protein
WP_308525843_neighbors.csv,WP_308525843.1,WP_308525842.1,upstream,hypothetical protein
WP_167803807_neighbors.csv,WP_167803807.1,WP_167803806.1,upstream,P-loop NTPase fold protein
WP_270545754_neighbors.csv,WP_270545754.1,WP_270545755.1,downstream,hypothetical protein
WP_199961117_neighbors.csv,WP_199961117.1,WP_199961118.1,downstream,P-loop NTPase fold protein
WP_316364037_neighbors.csv,WP_316364037.1,WP_316364038.1,downstream,hypothetical protein
WP_270788738_neighbors.csv,WP_270788738.1,WP_270788739.1,downstream,hypothetical protein
WP_050747991_neighbors.csv,WP_050747991.1,WP_050747990.1,downstream,hypothetical protein
WP_265496319_neighbors.csv,WP_265496319.1,WP_265496313.1,upstream,hypothetical protein
WP_265496319_neighbors.csv,WP_265496319.1,WP_409231151.1,downstream,hypothetical protein
WP_240733373_neighbors.csv,WP_240733373.1,WP_240733372.1,upstream,hypothetical protein
WP_309998798_neighbors.csv,WP_309998798.1,WP_309998799.1,downstream,hypothetical protein
WP_339649860_neighbors.csv,WP_339649860.1,WP_339649862.1,downstream,DNA-binding protein
WP_252514363_neighbors.csv,WP_252514363.1,WP_252514362.1,upstream,hypothetical protein
WP_274720579_neighbors.csv,WP_274720579.1,WP_274720578.1,downstream,hypothetical protein
WP_277446040_neighbors.csv,WP_277446040.1,WP_247146909.1,downstream,hypothetical protein
WP_255212045_neighbors.csv,WP_255212045.1,WP_255212044.1,downstream,hypothetical protein
WP_378003246_neighbors.csv,WP_378003246.1,WP_378003247.1,downstream,P-loop NTPase fold protein
WP_225370228_neighbors.csv,WP_225370228.1,WP_225370227.1,upstream,hypothetical protein
WP_225370228_neighbors.csv,WP_225370228.1,WP_225370230.1,downstream,hypothetical protein
WP_407858515_neighbors.csv,WP_407858515.1,WP_407858432.1,downstream,hypothetical protein
WP_341536464_neighbors.csv,WP_341536464.1,WP_279475432.1,upstream,hypothetical protein
WP_341536464_neighbors.csv,WP_341536464.1,WP_341536481.1,downstream,hypothetical protein
WP_313479617_neighbors.csv,WP_313479617.1,WP_313479614.1,upstream,P-loop NTPase fold protein
WP_409071510_neighbors.csv,WP_409071510.1,WP_311040696.1,upstream,pcar domain protein
WP_409071510_neighbors.csv,WP_409071510.1,WP_252514362.1,downstream,hypothetical protein
WP_409071510_neighbors.csv,WP_409071510.1,WP_311040698.1,downstream,hypothetical protein
WP_255597449_neighbors.csv,WP_255597449.1,WP_255597447.1,upstream,hypothetical protein
WP_255597449_neighbors.csv,WP_255597449.1,WP_375336885.1,upstream,hypothetical protein
WP_001559860_neighbors.csv,WP_001559860.1,WP_243053487.1,upstream,hypothetical protein
WP_001559860_neighbors.csv,WP_001559860.1,WP_249423630.1,upstream,hypothetical protein
WP_346352367_neighbors.csv,WP_346352367.1,WP_346352369.1,downstream,hypothetical protein
WP_133092126_neighbors.csv,WP_133092126.1,WP_094601533.1,downstream,hypothetical protein
WP_133092126_neighbors.csv,WP_133092126.1,WP_133092127.1,downstream,hypothetical protein
WP_241223931_neighbors.csv,WP_241223931.1,WP_241223930.1,downstream,hypothetical protein
WP_250115251_neighbors.csv,WP_250115251.1,WP_250115250.1,upstream,hypothetical protein
WP_250115251_neighbors.csv,WP_250115251.1,WP_250115252.1,downstream,hypothetical protein
WP_006086307_neighbors.csv,WP_006086307.1,WP_006086306.1,upstream,hypothetical protein
WP_407259125_neighbors.csv,WP_407259125.1,WP_407259124.1,upstream,hypothetical protein
WP_407259125_neighbors.csv,WP_407259125.1,WP_407259533.1,upstream,hypothetical protein
WP_251361772_neighbors.csv,WP_251361772.1,WP_251361773.1,downstream,hypothetical protein
WP_251361772_neighbors.csv,WP_251361772.1,WP_251361775.1,downstream,hypothetical protein
WP_372433453_neighbors.csv,WP_372433453.1,WP_372433454.1,downstream,hypothetical protein
WP_235284814_neighbors.csv,WP_235284814.1,WP_235284815.1,downstream,hypothetical protein
WP_400840539_neighbors.csv,WP_400840539.1,WP_400840538.1,downstream,hypothetical protein
WP_277156275_neighbors.csv,WP_277156275.1,WP_277156276.1,downstream,hypothetical protein
WP_228712064_neighbors.csv,WP_228712064.1,WP_228712786.1,downstream,hypothetical protein
WP_228712064_neighbors.csv,WP_228712064.1,WP_323807818.1,downstream,hypothetical protein
WP_228712064_neighbors.csv,WP_228712064.1,WP_228712065.1,downstream,hypothetical protein
WP_089014502_neighbors.csv,WP_089014502.1,WP_089014503.1,downstream,hypothetical protein
WP_248784181_neighbors.csv,WP_248784181.1,WP_349251982.1,downstream,pcar
WP_248784181_neighbors.csv,WP_248784181.1,WP_349251642.1,downstream,pcar
WP_248784181_neighbors.csv,WP_248784181.1,WP_322973493.1,downstream,pcar
WP_285827101_neighbors.csv,WP_285827101.1,WP_285827102.1,downstream,P-loop NTPase fold protein
WP_265003198_neighbors.csv,WP_265003198.1,WP_265003197.1,upstream,hypothetical protein
WP_213923223_neighbors.csv,WP_213923223.1,WP_347813926.1,upstream,hypothetical protein
WP_257965518_neighbors.csv,WP_257965518.1,WP_227549693.1,downstream,hypothetical protein
WP_228496539_neighbors.csv,WP_228496539.1,WP_228496541.1,downstream,hypothetical protein
WP_346802862_neighbors.csv,WP_346802862.1,WP_346802863.1,downstream,hypothetical protein
WP_228308203_neighbors.csv,WP_228308203.1,WP_228308204.1,downstream,DNA-binding protein
WP_228308203_neighbors.csv,WP_228308203.1,WP_270981301.1,downstream,DNA-binding protein
WP_228308203_neighbors.csv,WP_228308203.1,WP_239647792.1,downstream,DNA-binding protein
WP_221364346_neighbors.csv,WP_221364346.1,WP_183984910.1,downstream,hypothetical protein
WP_302498320_neighbors.csv,WP_302498320.1,WP_302498321.1,downstream,hypothetical protein
WP_349251642_neighbors.csv,WP_349251642.1,WP_248784181.1,downstream,hypothetical protein
WP_119525418_neighbors.csv,WP_119525418.1,WP_119525417.1,upstream,hypothetical protein
WP_353395125_neighbors.csv,WP_353395125.1,WP_353395123.1,upstream,hypothetical protein
WP_370751179_neighbors.csv,WP_370751179.1,WP_370751178.1,downstream,hypothetical protein
WP_372433454_neighbors.csv,WP_372433454.1,WP_372433453.1,downstream,DNA-binding protein
WP_251361775_neighbors.csv,WP_251361775.1,WP_251361772.1,upstream,hypothetical protein
WP_251361775_neighbors.csv,WP_251361775.1,WP_251361773.1,upstream,hypothetical protein
WP_341472629_neighbors.csv,WP_341472629.1,WP_142413860.1,upstream,hypothetical protein
WP_239647200_neighbors.csv,WP_239647200.1,WP_239647199.1,upstream,hypothetical protein
WP_110606500_neighbors.csv,WP_110606500.1,WP_110606501.1,downstream,hypothetical protein
WP_392440336_neighbors.csv,WP_392440336.1,WP_392440335.1,upstream,P-loop NTPase fold protein
WP_264752710_neighbors.csv,WP_264752710.1,WP_264752709.1,upstream,hypothetical protein
WP_313479614_neighbors.csv,WP_313479614.1,WP_313479617.1,downstream,hypothetical protein
WP_271423236_neighbors.csv,WP_271423236.1,WP_271423237.1,downstream,hypothetical protein
WP_228308204_neighbors.csv,WP_228308204.1,WP_228308203.1,downstream,hypothetical protein
WP_315683057_neighbors.csv,WP_315683057.1,WP_315683058.1,downstream,hypothetical protein
WP_119225658_neighbors.csv,WP_119225658.1,WP_119225659.1,downstream,hypothetical protein
WP_277156276_neighbors.csv,WP_277156276.1,WP_277156275.1,downstream,hypothetical protein
WP_250376679_neighbors.csv,WP_250376679.1,WP_236941985.1,upstream,hypothetical protein
WP_250376679_neighbors.csv,WP_250376679.1,WP_250376678.1,downstream,hypothetical protein
WP_251258108_neighbors.csv,WP_251258108.1,WP_251258109.1,downstream,pcar
WP_228730065_neighbors.csv,WP_228730065.1,WP_228709039.1,upstream,hypothetical protein
WP_155979077_neighbors.csv,WP_155979077.1,WP_016323765.1,upstream,hypothetical protein
WP_155979077_neighbors.csv,WP_155979077.1,WP_016323767.1,downstream,hypothetical protein
WP_097426660_neighbors.csv,WP_097426660.1,WP_097426659.1,upstream,hypothetical protein
WP_119973129_neighbors.csv,WP_119973129.1,WP_119973127.1,upstream,hypothetical protein
WP_227165825_neighbors.csv,WP_227165825.1,WP_227165824.1,downstream,hypothetical protein
WP_332424139_neighbors.csv,WP_332424139.1,WP_332424138.1,downstream,hypothetical protein
WP_408850818_neighbors.csv,WP_408850818.1,WP_408850817.1,downstream,hypothetical protein
WP_250115252_neighbors.csv,WP_250115252.1,WP_250115250.1,upstream,hypothetical protein
WP_250115252_neighbors.csv,WP_250115252.1,WP_250115251.1,upstream,hypothetical protein
