ClusterID,Proteins
Cluster_11,"WP_000566930.1, WP_000566931.1, WP_147401580.1, WP_162894284.1, WP_198065216.1, WP_213384199.1, WP_225489092.1, WP_225513946.1, WP_280043492.1, WP_289678421.1, WP_289679102.1, WP_289679236.1, WP_289685381.1, WP_289687049.1, WP_306219936.1, WP_331400707.1, WP_342040237.1, WP_342040238.1, WP_420923884.1"
Cluster_12,"WP_007666382.1, WP_096855505.1, WP_160873643.1, WP_210172025.1, WP_217751287.1, WP_217781508.1, WP_237723688.1, WP_248062813.1, WP_273953990.1, WP_282626051.1, WP_323087298.1, WP_325794907.1, WP_332377797.1, WP_345769465.1, WP_407199702.1, WP_407208828.1, WP_410738621.1, WP_427048667.1"
Cluster_13,"WP_046543941.1, WP_077038495.1, WP_105770946.1, WP_134257471.1, WP_174956895.1, WP_174990707.1, WP_175011395.1, WP_175795894.1, WP_176042950.1, WP_226147315.1, WP_226238211.1, WP_226285525.1, WP_241302718.1, WP_283923673.1, WP_301843077.1, WP_321908061.1, WP_423258289.1"
Cluster_14,"WP_004584209.1, WP_023847573.1, WP_041590832.1, WP_061868255.1, WP_074453291.1, WP_088475137.1, WP_097560345.1, WP_102698279.1, WP_196005304.1, WP_278587532.1, WP_287375317.1, WP_302258991.1, WP_315334420.1, WP_315359558.1, WP_337517060.1, WP_337788230.1, WP_368335846.1"
Cluster_15,"WP_190030393.1, WP_209521977.1, WP_302186192.1, WP_308299822.1, WP_322871263.1, WP_328775499.1, WP_355796519.1, WP_381151545.1, WP_388007196.1, WP_390351173.1, WP_390412960.1, WP_390426452.1, WP_390546903.1, WP_392245564.1, WP_392941092.1, WP_397716777.1, WP_399796550.1"
Cluster_16,"WP_048292126.1, WP_067700757.1, WP_124988809.1, WP_149617834.1, WP_197832532.1, WP_221002050.1, WP_225287592.1, WP_233964566.1, WP_259005116.1, WP_260514446.1, WP_275148294.1, WP_309354932.1, WP_334272656.1, WP_371339657.1, WP_400361156.1, WP_414476831.1"
Cluster_17,"WP_001112276.1, WP_001112278.1, WP_001112281.1, WP_001112282.1, WP_023896951.1, WP_029424194.1, WP_032059093.1, WP_032061006.1, WP_039244927.1, WP_057694017.1, WP_065726015.1, WP_069370956.1, WP_272237236.1, WP_284072652.1, WP_348916516.1"
Cluster_18,"WP_004584211.1, WP_061868253.1, WP_097531132.1, WP_097560346.1, WP_230322047.1, WP_244262904.1, WP_245686350.1, WP_257013088.1, WP_278587534.1, WP_287375321.1, WP_293588780.1, WP_302258988.1, WP_315547910.1, WP_368335844.1, WP_413566295.1"
Cluster_19,"WP_079927711.1, WP_088244080.1, WP_149377097.1, WP_193863119.1, WP_219606325.1, WP_228932416.1, WP_242688739.1, WP_255403447.1, WP_262864142.1, WP_270816682.1, WP_285160116.1, WP_342168178.1, WP_368462366.1, WP_393967822.1, WP_420268956.1"
Cluster_20,"WP_125034234.1, WP_148673775.1, WP_153459205.1, WP_158414493.1, WP_159088873.1, WP_159089469.1, WP_162543741.1, WP_162543953.1, WP_219280012.1, WP_241506326.1, WP_255055022.1, WP_270993885.1, WP_275349696.1, WP_342139703.1"
Cluster_21,"WP_013213995.1, WP_019706024.1, WP_114266346.1, WP_174561796.1, WP_177952012.1, WP_181216580.1, WP_181238489.1, WP_193051882.1, WP_227649609.1, WP_252105720.1, WP_289171287.1, WP_321154164.1, WP_336196027.1, WP_407257446.1"
Cluster_22,"WP_004099053.1, WP_013362812.1, WP_013815099.1, WP_014839937.1, WP_047353200.1, WP_080688381.1, WP_100112216.1, WP_157669359.1, WP_181586357.1, WP_181852543.1, WP_193408145.1, WP_223349232.1, WP_225385476.1, WP_368296288.1"
Cluster_23,"WP_038982930.1, WP_154902331.1, WP_159235868.1, WP_193149585.1, WP_198360711.1, WP_207307640.1, WP_214599071.1, WP_216502337.1, WP_241174695.1, WP_320728518.1, WP_320740718.1, WP_323101448.1, WP_346589520.1, WP_421080084.1"
Cluster_24,"WP_032984061.1, WP_096855504.1, WP_105291726.1, WP_108454227.1, WP_116835151.1, WP_117039133.1, WP_181586355.1, WP_252055772.1, WP_309243168.1, WP_325794908.1, WP_345769466.1, WP_352487350.1, WP_407199703.1, WP_427382439.1"
Cluster_25,"WP_006873054.1, WP_024731431.1, WP_087216740.1, WP_087302589.1, WP_147326821.1, WP_148355478.1, WP_195463998.1, WP_195556716.1, WP_196037652.1, WP_278942989.1, WP_283118387.1, WP_302776257.1, WP_302779665.1, WP_418421513.1"
Cluster_26,"WP_002010310.1, WP_188141420.1, WP_213073929.1, WP_267285651.1, WP_267285653.1, WP_280043486.1, WP_289672257.1, WP_289678422.1, WP_301005474.1, WP_306219935.1, WP_306219937.1, WP_354671341.1, WP_420923883.1"
Cluster_27,"WP_025760270.1, WP_038982934.1, WP_131096076.1, WP_149377100.1, WP_180791972.1, WP_215715022.1, WP_241174697.1, WP_255403448.1, WP_262864140.1, WP_285160119.1, WP_320728653.1, WP_323101452.1, WP_326003617.1"
Cluster_28,"WP_004584212.1, WP_061868252.1, WP_074453294.1, WP_196005301.1, WP_211599734.1, WP_287375323.1, WP_300737855.1, WP_302258987.1, WP_315334422.1, WP_337517056.1, WP_337788233.1, WP_368335843.1, WP_413566296.1"
Cluster_29,"WP_046543934.1, WP_077019766.1, WP_134257478.1, WP_143279109.1, WP_146126393.1, WP_158077535.1, WP_174956903.1, WP_176042944.1, WP_226238202.1, WP_241302711.1, WP_249215616.1, WP_264161218.1, WP_301843090.1"
Cluster_30,"WP_123081236.1, WP_209521980.1, WP_322871266.1, WP_328775497.1, WP_332759170.1, WP_355796417.1, WP_359518239.1, WP_381151541.1, WP_388007187.1, WP_390351128.1, WP_390384051.1, WP_392941088.1, WP_399796548.1"
Cluster_31,"WP_038982932.1, WP_157669361.1, WP_159235869.1, WP_165476241.1, WP_177952598.1, WP_193149586.1, WP_193149587.1, WP_214599072.1, WP_241174696.1, WP_267691069.1, WP_320740717.1, WP_346589521.1, WP_368282999.1"
Cluster_32,"WP_077182390.1, WP_082139528.1, WP_105770940.1, WP_134257477.1, WP_174956902.1, WP_175011402.1, WP_175795891.1, WP_176042945.1, WP_226238204.1, WP_241302712.1, WP_249215615.1, WP_301843088.1, WP_428845418.1"
Cluster_33,"WP_000091601.1, WP_001054892.1, WP_001054893.1, WP_046882808.1, WP_119956317.1, WP_130171919.1, WP_225484898.1, WP_280043489.1, WP_289678367.1, WP_301005473.1, WP_321998716.1, WP_350499311.1"
Cluster_34,"WP_006873050.1, WP_024731432.1, WP_055246197.1, WP_162612411.1, WP_181968866.1, WP_181968867.1, WP_191440965.1, WP_195463997.1, WP_278942987.1, WP_302779663.1, WP_418421509.1, WP_418421511.1"
Cluster_35,"WP_023280423.1, WP_135726249.1, WP_201991209.1, WP_219154290.1, WP_223176971.1, WP_223332461.1, WP_227532920.1, WP_227533019.1, WP_239059174.1, WP_241506329.1, WP_342139706.1, WP_429913206.1"
Cluster_36,"WP_004152294.1, WP_013213996.1, WP_029497507.1, WP_038806863.1, WP_041165539.1, WP_060598885.1, WP_227637288.1, WP_267459592.1, WP_316944975.1, WP_320159437.1, WP_353493196.1, WP_369068090.1"
Cluster_37,"WP_001171041.1, WP_001171042.1, WP_002009255.1, WP_002156372.1, WP_004747622.1, WP_017897252.1, WP_023896950.1, WP_029424193.1, WP_061875045.1, WP_280039410.1, WP_348916517.1, WP_420198658.1"
Cluster_38,"WP_000496773.1, WP_001348715.1, WP_001401901.1, WP_001498750.1, WP_001509131.1, WP_001554957.1, WP_001680212.1, WP_071528444.1, WP_094106546.1, WP_223174630.1, WP_223355457.1, WP_407210886.1"
Cluster_39,"WP_045260801.1, WP_136484646.1, WP_198886716.1, WP_214594924.1, WP_232949021.1, WP_248225814.1, WP_259386865.1, WP_264881898.1, WP_323307446.1, WP_348568742.1, WP_395278108.1, WP_400405764.1"
Cluster_40,"WP_079927712.1, WP_088244081.1, WP_133816106.1, WP_149377096.1, WP_180791975.1, WP_193863117.1, WP_215715230.1, WP_228932412.1, WP_255403446.1, WP_262864143.1, WP_285160115.1, WP_342168179.1"
Cluster_41,"WP_024648491.1, WP_122377199.1, WP_166406174.1, WP_169844579.1, WP_177009528.1, WP_202696357.1, WP_217386153.1, WP_235812464.1, WP_235812465.1, WP_249721206.1, WP_346638023.1, WP_368942969.1"
Cluster_42,"WP_085956071.1, WP_087759146.1, WP_088295922.1, WP_099501636.1, WP_104456885.1, WP_117039132.1, WP_130960768.1, WP_148673124.1, WP_167876294.1, WP_193408147.1, WP_368294979.1"
Cluster_43,"WP_036413145.1, WP_046024140.1, WP_110591074.1, WP_110706787.1, WP_144139660.1, WP_277257149.1, WP_287468512.1, WP_350398693.1, WP_350406398.1, WP_415886821.1, WP_421545810.1"
Cluster_44,"WP_052760140.1, WP_077019764.1, WP_105770937.1, WP_134257479.1, WP_174956905.1, WP_175011404.1, WP_176042942.1, WP_176331317.1, WP_226238198.1, WP_241302709.1, WP_321908067.1"
Cluster_45,"WP_046543937.1, WP_077019769.1, WP_077038497.1, WP_077233540.1, WP_105770942.1, WP_134257475.1, WP_174956899.1, WP_175011399.1, WP_226238207.1, WP_241302714.1, WP_301843084.1"
Cluster_46,"WP_229895199.1, WP_245252467.1, WP_250569549.1, WP_322871261.1, WP_351073517.1, WP_355796409.1, WP_387986748.1, WP_390351131.1, WP_390358412.1, WP_390546906.1, WP_392245568.1"
Cluster_47,"WP_293647654.1, WP_293653216.1, WP_294042005.1, WP_294045927.1, WP_305800621.1, WP_305801577.1, WP_305802986.1, WP_419592270.1, WP_419596336.1, WP_419630773.1, WP_419652288.1"
Cluster_48,"WP_001285275.1, WP_001285288.1, WP_004099297.1, WP_004144574.1, WP_004204699.1, WP_008805306.1, WP_013095745.1, WP_020882782.1, WP_025760272.1, WP_089598125.1, WP_159235870.1"
Cluster_49,"WP_045260802.1, WP_063437862.1, WP_063957943.1, WP_121426038.1, WP_198886717.1, WP_236307480.1, WP_248225815.1, WP_262814853.1, WP_264881896.1, WP_320460645.1, WP_400405761.1"
Cluster_50,"WP_077306018.1, WP_173696136.1, WP_173696137.1, WP_173712683.1, WP_173712684.1, WP_173712853.1, WP_173782359.1, WP_179438221.1, WP_179438223.1, WP_179440392.1, WP_179440394.1"
Cluster_51,"WP_033523409.1, WP_042893639.1, WP_151711589.1, WP_154650415.1, WP_161401524.1, WP_162540366.1, WP_165492547.1, WP_194596956.1, WP_215903000.1, WP_234114304.1, WP_420923540.1"
Cluster_52,"WP_014881972.1, WP_023309879.1, WP_042714436.1, WP_045260073.1, WP_047071111.1, WP_136484640.1, WP_232949120.1, WP_320460648.1, WP_333486119.1, WP_400405767.1"
Cluster_53,"WP_023847574.1, WP_041590833.1, WP_061868251.1, WP_074453295.1, WP_077491247.1, WP_097616287.1, WP_211599733.1, WP_287375325.1, WP_314110086.1, WP_315334423.1"
Cluster_54,"WP_003112211.1, WP_019372064.1, WP_031755526.1, WP_060853142.1, WP_070656343.1, WP_086008657.1, WP_086937300.1, WP_094007101.1, WP_121202198.1, WP_273655082.1"
Cluster_55,"WP_020904094.1, WP_052484241.1, WP_080773715.1, WP_102370367.1, WP_110177003.1, WP_129146597.1, WP_182956102.1, WP_239945346.1, WP_328705859.1, WP_394293821.1"
Cluster_56,"WP_000377855.1, WP_000377856.1, WP_000377857.1, WP_000377865.1, WP_029424195.1, WP_087749528.1, WP_206649341.1, WP_302564691.1, WP_311071634.1, WP_410205187.1"
Cluster_57,"WP_124988806.1, WP_135718556.1, WP_149618112.1, WP_156484917.1, WP_197832535.1, WP_225287591.1, WP_233964563.1, WP_259005120.1, WP_400361153.1, WP_422703771.1"
Cluster_58,"WP_004584210.1, WP_014225378.1, WP_061868254.1, WP_074451945.1, WP_074453292.1, WP_097531131.1, WP_278587533.1, WP_287375319.1, WP_293588781.1, WP_315547913.1"
Cluster_59,"WP_004147253.1, WP_004191830.1, WP_004213853.1, WP_016160355.1, WP_022065078.1, WP_023302256.1, WP_032453061.1, WP_069603757.1, WP_117106392.1, WP_230138695.1"
Cluster_60,"WP_036413143.1, WP_048822776.1, WP_110591075.1, WP_210850694.1, WP_217992460.1, WP_369100814.1, WP_369114864.1, WP_373261449.1, WP_407298977.1, WP_410918033.1"
Cluster_61,"WP_032056933.1, WP_045131337.1, WP_130136367.1, WP_163114288.1, WP_228287303.1, WP_228287309.1, WP_250619951.1, WP_284106151.1, WP_284106153.1, WP_284106155.1"
Cluster_62,"WP_000610887.1, WP_004760346.1, WP_004760348.1, WP_151779138.1, WP_227518415.1, WP_246893071.1, WP_273795599.1, WP_283688192.1, WP_283688193.1, WP_288491431.1"
Cluster_63,"WP_059661053.1, WP_059958393.1, WP_175831356.1, WP_198432530.1, WP_208453920.1, WP_228905266.1, WP_250504278.1, WP_408338736.1, WP_408373215.1, WP_408474741.1"
Cluster_64,"WP_007901093.1, WP_025214500.1, WP_027604120.1, WP_027912535.1, WP_032803416.1, WP_047542353.1, WP_053158235.1, WP_074845805.1, WP_096143053.1, WP_174395415.1"
Cluster_65,"WP_123081237.1, WP_209521981.1, WP_322871267.1, WP_328775496.1, WP_332759169.1, WP_359518241.1, WP_381151540.1, WP_388007184.1, WP_392941086.1, WP_399796546.1"
Cluster_66,"WP_006873052.1, WP_087216739.1, WP_087302592.1, WP_160209859.1, WP_162222046.1, WP_191440966.1, WP_278942988.1, WP_283118386.1, WP_290882341.1, WP_369883202.1"
Cluster_67,"WP_072072205.1, WP_124988808.1, WP_149617833.1, WP_165430131.1, WP_197832533.1, WP_259005117.1, WP_333709820.1, WP_371339658.1, WP_400361155.1, WP_422703772.1"
Cluster_68,"WP_123081234.1, WP_209521978.1, WP_214353272.1, WP_322871264.1, WP_328775498.1, WP_355796413.1, WP_381151544.1, WP_388007193.1, WP_390351129.1, WP_390384053.1"
Cluster_69,"WP_124988810.1, WP_135718557.1, WP_156484916.1, WP_197832531.1, WP_225287593.1, WP_259005115.1, WP_275148362.1, WP_371339656.1, WP_400361157.1, WP_414476832.1"
Cluster_70,"WP_157377904.1, WP_157382008.1, WP_157649789.1, WP_175831358.1, WP_186148967.1, WP_228905261.1, WP_408338738.1, WP_408373217.1, WP_408474739.1"
Cluster_71,"WP_004907539.1, WP_042845677.1, WP_094961627.1, WP_109912100.1, WP_110591073.1, WP_144139663.1, WP_181489921.1, WP_272513504.1, WP_272571140.1"
Cluster_72,"WP_029171414.1, WP_105120615.1, WP_105134489.1, WP_105179884.1, WP_136628083.1, WP_170241374.1, WP_205013730.1, WP_238708662.1, WP_277291519.1"
Cluster_73,"WP_000280760.1, WP_000280761.1, WP_000984615.1, WP_001130240.1, WP_025464676.1, WP_195201760.1, WP_225510875.1, WP_301005472.1, WP_321993094.1"
Cluster_74,"WP_293653370.1, WP_305801950.1, WP_305802753.1, WP_419601640.1, WP_419609050.1, WP_419636160.1, WP_419638136.1, WP_419640856.1, WP_419642028.1"
Cluster_75,"WP_129449912.1, WP_170057488.1, WP_177433945.1, WP_179840141.1, WP_320395759.1, WP_320403966.1, WP_326427237.1, WP_330212561.1, WP_414916344.1"
Cluster_76,"WP_004381203.1, WP_018920949.1, WP_036869326.1, WP_232000426.1, WP_234398198.1, WP_278786129.1, WP_298765762.1, WP_315255059.1, WP_315396062.1"
Cluster_77,"WP_000670324.1, WP_000670336.1, WP_045899928.1, WP_065184222.1, WP_098732783.1, WP_272411634.1, WP_279979465.1, WP_353716984.1, WP_427775267.1"
Cluster_78,"WP_069534877.1, WP_077282567.1, WP_146537663.1, WP_157933889.1, WP_161459278.1, WP_199450852.1, WP_268678879.1, WP_371714768.1, WP_372383773.1"
Cluster_79,"WP_077208743.1, WP_135370848.1, WP_146126394.1, WP_174956896.1, WP_175795893.1, WP_212271096.1, WP_222180891.1, WP_241302717.1, WP_301843079.1"
Cluster_80,"WP_073772802.1, WP_073796679.1, WP_123081229.1, WP_359233061.1, WP_388007214.1, WP_390351133.1, WP_390384063.1, WP_390546907.1, WP_392941098.1"
Cluster_81,"WP_028015006.1, WP_136484642.1, WP_198886715.1, WP_259386866.1, WP_264881900.1, WP_323307445.1, WP_348568741.1, WP_395278109.1, WP_420299080.1"
Cluster_82,"WP_021539893.1, WP_045616271.1, WP_062729625.1, WP_112067092.1, WP_137230140.1, WP_244566025.1, WP_251255954.1, WP_346721569.1, WP_353418395.1"
Cluster_83,"WP_080218258.1, WP_097573887.1, WP_130097548.1, WP_195818251.1, WP_211743963.1, WP_234565742.1, WP_313752514.1, WP_367633214.1, WP_404695262.1"
Cluster_84,"WP_021539894.1, WP_045616272.1, WP_062729626.1, WP_109866045.1, WP_112886781.1, WP_137244785.1, WP_205939664.1, WP_251255956.1, WP_311095086.1"
Cluster_85,"WP_024723245.1, WP_033118536.1, WP_195307343.1, WP_195325421.1, WP_195457362.1, WP_257592044.1, WP_271956690.1, WP_347551525.1, WP_423219536.1"
Cluster_86,"WP_048292124.1, WP_065772055.1, WP_067700763.1, WP_124988807.1, WP_197832534.1, WP_221002053.1, WP_233964564.1, WP_259005118.1, WP_400361154.1"
Cluster_87,"WP_155024535.1, WP_163361749.1, WP_204270044.1, WP_208852109.1, WP_211354178.1, WP_213333340.1, WP_220132852.1, WP_312926207.1, WP_410390088.1"
Cluster_88,"WP_021499436.1, WP_061377473.1, WP_079932514.1, WP_079982177.1, WP_095427764.1, WP_114049383.1, WP_137561112.1, WP_194207679.1, WP_419149760.1"
Cluster_89,"WP_046543939.1, WP_077233538.1, WP_105770944.1, WP_143279111.1, WP_174956897.1, WP_175795892.1, WP_212271098.1, WP_242895094.1"
Cluster_90,"WP_000855179.1, WP_025760250.1, WP_089618205.1, WP_133816107.1, WP_255403445.1, WP_285160114.1, WP_368462365.1, WP_370611813.1"
Cluster_91,"WP_001063716.1, WP_001063722.1, WP_001063723.1, WP_001063774.1, WP_031982766.1, WP_086240132.1, WP_114271928.1, WP_408698370.1"
Cluster_92,"WP_000019403.1, WP_000019473.1, WP_004172904.1, WP_023279681.1, WP_040175718.1, WP_059346264.1, WP_264881256.1, WP_337258618.1"
Cluster_93,"WP_004099298.1, WP_004129421.1, WP_004144576.1, WP_004204700.1, WP_008805307.1, WP_017901340.1, WP_110191955.1, WP_323101454.1"
Cluster_94,"WP_085478557.1, WP_242576370.1, WP_242576371.1, WP_266621947.1, WP_382953092.1, WP_392628472.1, WP_403231021.1, WP_403683542.1"
Cluster_95,"WP_262508683.1, WP_362078781.1, WP_382009580.1, WP_388315101.1, WP_389143592.1, WP_397748948.1, WP_401394407.1, WP_406729679.1"
Cluster_96,"WP_050772053.1, WP_080458308.1, WP_083545813.1, WP_088672642.1, WP_168246329.1, WP_175480280.1, WP_274560675.1, WP_339404793.1"
Cluster_97,"WP_077306028.1, WP_173695955.1, WP_173695956.1, WP_173712633.1, WP_173714684.1, WP_173714685.1, WP_173714767.1, WP_179446120.1"
Cluster_98,"WP_001988464.1, WP_005804963.1, WP_010326927.1, WP_014538385.1, WP_031973989.1, WP_031977437.1, WP_230400570.1, WP_242103174.1"
Cluster_99,"WP_023280427.1, WP_125034231.1, WP_135681621.1, WP_162545313.1, WP_193408146.1, WP_241506327.1, WP_255089149.1, WP_315964798.1"
Cluster_100,"WP_004584215.1, WP_014225381.1, WP_074453296.1, WP_256824555.1, WP_278587539.1, WP_287375330.1, WP_314110087.1, WP_315334425.1"
Cluster_101,"WP_355373381.1, WP_356368082.1, WP_363142854.1, WP_386312001.1, WP_390753997.1, WP_391260762.1, WP_398698423.1, WP_399171165.1"
Cluster_102,"WP_044350593.1, WP_046888472.1, WP_126329477.1, WP_200083954.1, WP_201520467.1, WP_224378687.1, WP_410674747.1, WP_410674749.1"
Cluster_103,"WP_045382596.1, WP_069534878.1, WP_102385188.1, WP_146537662.1, WP_199450851.1, WP_371714769.1, WP_372383772.1, WP_420028988.1"
Cluster_104,"WP_070273688.1, WP_077914480.1, WP_077915365.1, WP_077948210.1, WP_077955653.1, WP_077956371.1, WP_194346446.1, WP_311177713.1"
Cluster_105,"WP_033523413.1, WP_109426807.1, WP_121975888.1, WP_151731008.1, WP_227504096.1, WP_228129333.1, WP_257514727.1, WP_318156220.1"
Cluster_106,"WP_029171417.1, WP_029752735.1, WP_044760984.1, WP_044778410.1, WP_074391578.1, WP_105119218.1, WP_105179886.1, WP_136628079.1"
Cluster_107,"WP_004760350.1, WP_034129305.1, WP_076879223.1, WP_151779140.1, WP_228133982.1, WP_252406598.1, WP_252406599.1, WP_272313306.1"
Cluster_108,"WP_000130134.1, WP_000130149.1, WP_001663263.1, WP_073418927.1, WP_103153642.1, WP_190282553.1, WP_216712420.1, WP_276209937.1"
Cluster_109,"WP_182408717.1, WP_201203340.1, WP_227696675.1, WP_280077501.1, WP_367394429.1, WP_397461379.1, WP_416736322.1, WP_427603207.1"
Cluster_110,"WP_001094416.1, WP_005095133.1, WP_005102097.1, WP_031980635.1, WP_033917530.1, WP_219014809.1, WP_261635291.1"
Cluster_111,"WP_023809274.1, WP_027033475.1, WP_027062878.1, WP_032933012.1, WP_063170038.1, WP_140660714.1, WP_284273110.1"
Cluster_112,"WP_032453056.1, WP_048978578.1, WP_115656503.1, WP_130993825.1, WP_244357791.1, WP_265897414.1, WP_269567185.1"
