psi_protein,neighbor_protein,neighbor_pident,genome_protein,genome_pident
WP_242647603,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_084818649,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_084818649,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_216350583,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_216350583,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_199212461,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_199212461,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_276376830,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_276376830,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_253180042,WP_409997804.1,98.985,WP_261307172.1,100.0
WP_253180042,WP_410401005.1,100.0,WP_249509501.1,99.012
WP_170982610,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_170982610,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_170318072,WP_409997804.1,99.492,WP_261307172.1,100.0
WP_170318072,WP_410401005.1,100.0,WP_249509501.1,99.506
WP_409447007,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_409447007,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_225379887,WP_409997804.1,99.391,WP_261307172.1,100.0
WP_225379887,WP_410401005.1,100.0,WP_249509501.1,99.407
WP_247168704,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_247168704,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_174217756,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_174217756,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_180410669,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_180410669,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_261630093,WP_409997804.1,99.898,WP_261307172.1,100.0
WP_261630093,WP_410401005.1,100.0,WP_249509501.1,99.604
WP_407491123,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_407491123,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_172906558,WP_409997804.1,99.391,WP_261307172.1,99.627
WP_172906558,WP_410401005.1,99.587,WP_249509501.1,99.407
WP_001696646,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_001696646,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_172950547,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_172950547,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_204362917,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_204362917,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_200524206,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_200524206,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_001144731,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_001144731,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_256786839,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_256786839,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_046952374,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_046952374,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_028120407,WP_409997804.1,98.68,WP_261307172.1,99.627
WP_028120407,WP_410401005.1,99.587,WP_249509501.1,98.715
WP_349511316,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_349511316,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_404999138,WP_409997804.1,99.898,WP_261307172.1,99.627
WP_404999138,WP_410401005.1,99.587,WP_249509501.1,99.901
WP_205246975,WP_409997804.1,98.579,WP_261307172.1,99.627
WP_205246975,WP_410401005.1,99.587,WP_249509501.1,98.617
WP_216348389,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_216348389,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_251361768,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_251361768,WP_410401005.1,100.0,WP_249509501.1,99.801
WP_190319101,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_190319101,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_176686621,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_176686621,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_409222345,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_409222345,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_001144732,WP_409997804.1,99.898,WP_261307172.1,100.0
WP_001144732,WP_410401005.1,100.0,WP_249509501.1,99.901
WP_226199426,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_226199426,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_172812044,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_172812044,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_221686811,WP_409997804.1,99.795,WP_261307172.1,100.0
WP_221686811,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_204362517,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_204362517,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_196615575,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_196615575,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_263062562,WP_409997804.1,99.594,WP_261307172.1,100.0
WP_263062562,WP_410401005.1,100.0,WP_249509501.1,99.605
WP_276357374,WP_409997804.1,98.782,WP_261307172.1,99.627
WP_276357374,WP_410401005.1,99.587,WP_249509501.1,98.814
WP_172901318,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_172901318,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_201356797,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_201356797,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_262256915,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_262256915,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_171991444,WP_409997804.1,99.898,WP_261307172.1,99.627
WP_171991444,WP_410401005.1,99.587,WP_249509501.1,99.901
WP_267615558,WP_409997804.1,99.898,WP_261307172.1,99.627
WP_267615558,WP_410401005.1,99.587,WP_249509501.1,99.901
WP_021534945,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_021534945,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_346720336,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_346720336,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_171003983,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_171003983,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_194840983,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_194840983,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_211196987,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_211196987,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_172949737,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_172949737,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_205258594,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_205258594,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_001144733,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_001144733,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_170930870,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_170930870,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_206356488,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_206356488,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_176215828,WP_409997804.1,99.797,WP_261307172.1,99.627
WP_176215828,WP_410401005.1,99.587,WP_249509501.1,99.802
WP_233129549,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_233129549,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_176142865,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_176142865,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_216348523,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_216348523,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_368459775,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_368459775,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_202847757,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_202847757,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_001723031,WP_409997804.1,99.594,WP_261307172.1,100.0
WP_001723031,WP_410401005.1,100.0,WP_249509501.1,99.605
WP_337452952,WP_409997804.1,99.797,WP_261307172.1,99.627
WP_337452952,WP_410401005.1,99.587,WP_249509501.1,99.802
WP_248947365,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_248947365,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_185723220,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_185723220,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_259904975,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_259904975,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_200919269,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_200919269,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_171921991,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_171921991,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_259637667,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_259637667,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_248902140,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_248902140,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_262943872,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_262943872,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_258096157,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_258096157,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_192841203,WP_409997804.1,98.883,WP_261307172.1,99.627
WP_192841203,WP_410401005.1,99.587,WP_249509501.1,98.913
WP_170995639,WP_409997804.1,98.579,WP_261307172.1,99.627
WP_170995639,WP_410401005.1,99.587,WP_249509501.1,98.617
WP_199353508,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_199353508,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_394628124,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_394628124,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_247163508,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_247163508,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_044061684,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_044061684,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_176556738,WP_409997804.1,99.898,WP_261307172.1,99.627
WP_176556738,WP_410401005.1,99.587,WP_249509501.1,99.901
WP_233969931,WP_409997804.1,99.594,WP_261307172.1,100.0
WP_233969931,WP_410401005.1,100.0,WP_249509501.1,99.605
WP_409226388,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_409226388,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_198290410,WP_409997804.1,99.695,WP_261307172.1,99.627
WP_198290410,WP_410401005.1,99.587,WP_249509501.1,99.704
WP_226196623,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_226196623,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_271096029,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_271096029,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_181567430,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_181567430,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_233324485,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_233324485,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_170988291,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_170988291,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_172907112,WP_409997804.1,99.695,WP_261307172.1,100.0
WP_172907112,WP_410401005.1,100.0,WP_249509501.1,99.704
WP_353524257,WP_409997804.1,99.594,WP_261307172.1,100.0
WP_353524257,WP_410401005.1,100.0,WP_249509501.1,99.605
WP_348919630,WP_409997804.1,99.797,WP_261307172.1,100.0
WP_348919630,WP_410401005.1,100.0,WP_249509501.1,99.802
WP_176557544,WP_409997804.1,99.594,WP_261307172.1,100.0
WP_176557544,WP_410401005.1,100.0,WP_249509501.1,99.605
WP_260838386,WP_409997804.1,99.587,WP_261307172.1,100.0
WP_260838386,WP_410401005.1,100.0,WP_249509501.1,99.594
WP_349816124,WP_409997804.1,99.898,WP_261307172.1,99.567
WP_349816124,WP_410401005.1,99.524,WP_249509501.1,99.901
WP_274802806,WP_409997804.1,99.893,WP_261307172.1,100.0
WP_274802806,WP_410401005.1,100.0,WP_249509501.1,99.895
WP_366984376,WP_409997804.1,99.891,WP_261307172.1,100.0
WP_366984376,WP_410401005.1,100.0,WP_249509501.1,99.894
WP_404855401,WP_409997804.1,99.898,WP_261307172.1,99.083
WP_404855401,WP_410401005.1,98.985,WP_249509501.1,99.901
WP_226382740,WP_409997804.1,99.888,WP_261307172.1,100.0
WP_226382740,WP_410401005.1,100.0,WP_249509501.1,99.78
WP_023148495,WP_409997804.1,99.888,WP_261307172.1,100.0
WP_023148495,WP_410401005.1,100.0,WP_249509501.1,99.89
WP_186238490,WP_409997804.1,99.887,WP_261307172.1,100.0
WP_186238490,WP_410401005.1,100.0,WP_249509501.1,99.89
WP_353516489,WP_409997804.1,99.886,WP_261307172.1,100.0
WP_353516489,WP_410401005.1,100.0,WP_249509501.1,99.888
WP_208487661,WP_409997804.1,99.886,WP_261307172.1,100.0
WP_208487661,WP_410401005.1,100.0,WP_249509501.1,99.889
WP_181048191,WP_409997804.1,99.882,WP_261307172.1,100.0
WP_181048191,WP_410401005.1,100.0,WP_249509501.1,99.885
WP_172452267,WP_409997804.1,99.882,WP_261307172.1,100.0
WP_172452267,WP_410401005.1,100.0,WP_249509501.1,99.888
WP_277887387,WP_409997804.1,99.882,WP_261307172.1,100.0
WP_277887387,WP_410401005.1,100.0,WP_249509501.1,99.886
WP_340078439,WP_409997804.1,99.898,WP_261307172.1,100.0
WP_340078439,WP_410401005.1,100.0,WP_249509501.1,99.901
WP_199901126,WP_409997804.1,99.872,WP_261307172.1,100.0
WP_199901126,WP_410401005.1,100.0,WP_249509501.1,99.875
WP_349251982,WP_409997804.1,99.898,WP_261307172.1,99.333
WP_349251982,WP_410401005.1,99.225,WP_249509501.1,99.901
WP_176557374,WP_409997804.1,99.863,WP_261307172.1,100.0
WP_176557374,WP_410401005.1,100.0,WP_249509501.1,99.867
WP_349251642,WP_409997804.1,99.898,WP_261307172.1,99.296
WP_349251642,WP_410401005.1,99.174,WP_249509501.1,99.901
WP_322973493,WP_409997804.1,99.797,WP_261307172.1,99.296
WP_322973493,WP_410401005.1,99.174,WP_249509501.1,99.802
WP_201752314,WP_409997804.1,99.861,WP_261307172.1,100.0
WP_201752314,WP_410401005.1,100.0,WP_249509501.1,99.865
WP_249942391,WP_409997804.1,99.391,WP_261307172.1,99.254
WP_249942391,WP_410401005.1,100.0,WP_249509501.1,99.407
WP_240534263,WP_409997804.1,99.898,WP_261307172.1,99.254
WP_240534263,WP_410401005.1,100.0,WP_249509501.1,99.901
WP_249418449,WP_409997804.1,99.289,WP_261307172.1,99.254
WP_249418449,WP_410401005.1,100.0,WP_249509501.1,99.308
WP_251258109,WP_409997804.1,99.859,WP_261307172.1,100.0
WP_251258109,WP_410401005.1,100.0,WP_249509501.1,99.862
WP_249939233,WP_409997804.1,99.797,WP_261307172.1,99.194
WP_249939233,WP_410401005.1,99.029,WP_249509501.1,99.802
WP_337444784,WP_409997804.1,99.898,WP_261307172.1,100.0
WP_337444784,WP_410401005.1,100.0,WP_249509501.1,99.901
WP_239637978,WP_409997804.1,99.898,WP_261307172.1,100.0
WP_239637978,WP_410401005.1,100.0,WP_249509501.1,99.901
WP_176557940,WP_409997804.1,99.845,WP_261307172.1,100.0
WP_176557940,WP_410401005.1,100.0,WP_249509501.1,99.849
WP_252384634,WP_409997804.1,99.898,WP_261307172.1,100.0
WP_252384634,WP_410401005.1,100.0,WP_249509501.1,99.901
WP_181211389,WP_409997804.1,99.894,WP_261307172.1,100.0
WP_181211389,WP_410401005.1,100.0,WP_249509501.1,99.896
WP_289693744,WP_409997804.1,99.833,WP_261307172.1,100.0
WP_289693744,WP_410401005.1,100.0,WP_249509501.1,99.838
WP_204163318,WP_409997804.1,99.833,WP_261307172.1,100.0
WP_204163318,WP_410401005.1,100.0,WP_249509501.1,99.839
WP_252391305,WP_409997804.1,99.826,WP_261307172.1,100.0
WP_252391305,WP_410401005.1,100.0,WP_249509501.1,99.833
WP_250668008,WP_409997804.1,99.815,WP_261307172.1,100.0
WP_250668008,WP_410401005.1,100.0,WP_249509501.1,99.821
WP_348270668,WP_409997804.1,99.898,WP_261307172.1,97.368
WP_236941986,WP_409997804.1,99.778,WP_261307172.1,100.0
WP_236941986,WP_410401005.1,100.0,WP_249509501.1,99.815
WP_250110846,WP_409997804.1,99.778,WP_261307172.1,100.0
WP_250110846,WP_410401005.1,100.0,WP_249509501.1,99.277
WP_252385678,WP_409997804.1,99.898,WP_261307172.1,100.0
WP_252354387,WP_409997804.1,99.769,WP_261307172.1,100.0
WP_252354387,WP_410401005.1,100.0,WP_249509501.1,99.778
WP_256137181,WP_409997804.1,98.144,WP_261307172.1,100.0
WP_256137181,WP_410401005.1,100.0,WP_249509501.1,98.218
WP_228594996,WP_409997804.1,99.761,WP_261307172.1,100.0
WP_228594996,WP_410401005.1,100.0,WP_249509501.1,99.772
WP_347403489,WP_409997804.1,99.695,WP_261307172.1,93.75
WP_242811562,WP_409997804.1,99.755,WP_261307172.1,100.0
WP_242811562,WP_410401005.1,100.0,WP_249509501.1,99.766
WP_249509501,WP_409997804.1,99.898,WP_261307172.1,93.75
WP_237158990,WP_409997804.1,99.659,WP_261307172.1,100.0
WP_237158990,WP_410401005.1,100.0,WP_249509501.1,99.681
WP_249534032,WP_409997804.1,99.659,WP_261307172.1,100.0
WP_249534032,WP_410401005.1,100.0,WP_249509501.1,98.734
WP_231530261,WP_409997804.1,99.659,WP_261307172.1,100.0
WP_231530261,WP_410401005.1,100.0,WP_249509501.1,99.681
WP_241223930,WP_409997804.1,98.983,WP_261307172.1,100.0
WP_241223930,WP_410401005.1,100.0,WP_249509501.1,99.042
WP_247146909,WP_409997804.1,99.645,WP_261307172.1,100.0
WP_247146909,WP_410401005.1,100.0,WP_249509501.1,99.667
WP_289942673,WP_410401005.1,100.0,WP_249509501.1,99.65
WP_289942673,WP_409997804.1,99.595,WP_261307172.1,100.0
WP_250221809,WP_410401005.1,100.0,WP_249509501.1,99.643
WP_250221809,WP_409997804.1,99.595,WP_261307172.1,100.0
WP_251257918,WP_410401005.1,100.0,WP_249509501.1,98.955
WP_251257918,WP_409997804.1,99.595,WP_261307172.1,100.0
WP_258404751,WP_410401005.1,100.0,WP_249509501.1,99.291
WP_258404751,WP_409997804.1,99.595,WP_261307172.1,100.0
WP_231527658,WP_410401005.1,100.0,WP_249509501.1,98.936
WP_231527658,WP_409997804.1,99.595,WP_261307172.1,100.0
WP_227165825,WP_410401005.1,100.0,WP_249509501.1,99.543
WP_227165825,WP_409997804.1,99.502,WP_261307172.1,100.0
WP_231841201,WP_410401005.1,100.0,WP_249509501.1,98.157
WP_231841201,WP_409997804.1,99.476,WP_261307172.1,100.0
WP_368471378,WP_410401005.1,100.0,WP_249509501.1,99.497
WP_368471378,WP_409997804.1,99.435,WP_261307172.1,100.0
WP_228730065,WP_410401005.1,100.0,WP_249509501.1,99.438
WP_228730065,WP_409997804.1,99.371,WP_261307172.1,100.0
WP_250391431,WP_410401005.1,100.0,WP_249509501.1,97.949
WP_250391431,WP_409997804.1,97.74,WP_261307172.1,100.0
WP_228709038,WP_410401005.1,100.0,WP_249509501.1,99.441
WP_228709038,WP_409997804.1,99.371,WP_261307172.1,100.0
WP_247152052,WP_410401005.1,99.048,WP_249509501.1,98.333
WP_247152052,WP_409997804.1,98.598,WP_261307172.1,99.134
WP_246863463,WP_410401005.1,100.0,WP_249509501.1,99.401
WP_246863463,WP_409997804.1,99.329,WP_261307172.1,100.0
WP_226134092,WP_410401005.1,100.0,WP_249509501.1,99.371
WP_226134092,WP_409997804.1,99.291,WP_261307172.1,100.0
WP_250376678,WP_409997804.1,99.738,WP_261307172.1,100.0
WP_250376678,WP_410401005.1,100.0,WP_249509501.1,99.75
WP_079905833,WP_152692415.1,95.394,WP_049007989.1,89.908
WP_043000468,WP_152692415.1,95.128,WP_049007989.1,89.908
WP_131341027,WP_152692415.1,95.748,WP_049007989.1,93.578
WP_252368114,WP_410401005.1,100.0,WP_249509501.1,99.2
WP_252368114,WP_409997804.1,99.065,WP_261307172.1,100.0
WP_349633029,WP_409997804.1,99.659,WP_261307172.1,99.296
WP_349633029,WP_410401005.1,99.174,WP_249509501.1,99.681
WP_064765931,WP_410401005.1,100.0,WP_249509501.1,95.556
WP_064765931,WP_409997804.1,97.143,WP_261307172.1,100.0
WP_109232707,WP_247095357.1,99.882,WP_247095355.1,100.0
WP_227910269,WP_410401005.1,100.0,WP_249509501.1,87.778
WP_137963353,WP_247095357.1,95.028,WP_247095355.1,95.411
WP_223524295,WP_421666502.1,96.97,WP_301696169.1,82.601
WP_129993656,WP_421666502.1,96.97,WP_301696169.1,82.691
WP_346404633,WP_421666502.1,96.97,WP_301696169.1,82.78
WP_266237378,WP_417064782.1,99.217,WP_232627577.1,95.564
WP_266237378,WP_332606491.1,95.2,WP_332606490.1,96.463
WP_266237378,WP_409240751.1,95.122,WP_124065251.1,95.833
WP_241374247,WP_417064782.1,100.0,WP_232627577.1,99.848
WP_241374247,WP_332606491.1,99.2,WP_332606490.1,100.0
WP_241374247,WP_409240751.1,97.561,WP_124065251.1,100.0
WP_241374247,WP_260479442.1,100.0,WP_124065251.1,100.0
WP_226339348,WP_228710993.1,95.105,WP_228710992.1,100.0
WP_226339348,WP_323808049.1,97.222,WP_228712064.1,99.554
WP_161636153,WP_228710993.1,95.105,WP_228710992.1,100.0
WP_161636153,WP_323808049.1,97.222,WP_228712064.1,99.554
WP_064174929,WP_417064782.1,100.0,WP_232627577.1,99.763
WP_064174929,WP_332606491.1,99.2,WP_332606490.1,99.123
WP_064174929,WP_124065253.1,98.701,WP_124065251.1,100.0
WP_064174929,WP_409240751.1,97.561,WP_124065251.1,100.0
WP_064174929,WP_260479442.1,97.059,WP_124065251.1,100.0
WP_133318502,WP_417064782.1,100.0,WP_232627577.1,99.644
WP_133318502,WP_332606491.1,99.2,WP_332606490.1,99.123
WP_133318502,WP_409240751.1,97.561,WP_124065251.1,100.0
WP_133318502,WP_260479442.1,97.059,WP_124065251.1,100.0
WP_256769287,WP_323808049.1,97.222,WP_228712064.1,99.554
WP_229264966,WP_323808049.1,97.222,WP_228712064.1,99.554
WP_185775539,WP_417064782.1,99.739,WP_232627577.1,98.462
WP_185775539,WP_332606491.1,96.8,WP_332606490.1,97.598
WP_185775539,WP_409240751.1,97.561,WP_124065251.1,97.917
WP_185775539,WP_260479442.1,100.0,WP_124065251.1,97.917
WP_102059840,WP_228710993.1,95.105,WP_228710992.1,100.0
WP_102059840,WP_323808049.1,97.222,WP_228712064.1,99.554
WP_200074259,WP_417064782.1,100.0,WP_232627577.1,99.763
WP_200074259,WP_332606491.1,99.2,WP_332606490.1,99.123
WP_200074259,WP_409240751.1,97.561,WP_124065251.1,100.0
WP_200074259,WP_260479442.1,100.0,WP_124065251.1,100.0
WP_227515271,WP_228710993.1,95.105,WP_228710992.1,100.0
WP_227515271,WP_323808049.1,97.222,WP_228712064.1,99.554
WP_117109324,WP_417064782.1,100.0,WP_232627577.1,99.644
WP_117109324,WP_332606491.1,98.4,WP_332606490.1,99.342
WP_117109324,WP_124065253.1,100.0,WP_124065251.1,99.306
WP_117109324,WP_409240751.1,97.561,WP_124065251.1,99.306
WP_117109324,WP_260479442.1,100.0,WP_124065251.1,99.306
WP_277460970,WP_323808049.1,97.222,WP_228712064.1,99.554
WP_217324719,WP_417064782.1,100.0,WP_232627577.1,99.763
WP_217324719,WP_332606491.1,98.4,WP_332606490.1,99.342
WP_217324719,WP_409240751.1,97.561,WP_124065251.1,99.306
WP_217324719,WP_260479442.1,100.0,WP_124065251.1,99.306
WP_277449982,WP_323808049.1,97.222,WP_228712064.1,99.554
WP_065773256,WP_228710993.1,95.105,WP_228710992.1,100.0
WP_065773256,WP_323808049.1,97.222,WP_228712064.1,99.554
WP_310663721,WP_417064782.1,100.0,WP_232627577.1,99.763
WP_310663721,WP_332606491.1,99.2,WP_332606490.1,99.342
WP_310663721,WP_409240751.1,97.561,WP_124065251.1,100.0
WP_228710589,WP_228710993.1,95.105,WP_228710992.1,100.0
WP_228710589,WP_323808049.1,97.222,WP_228712064.1,99.554
WP_322396468,WP_323808049.1,97.222,WP_228712064.1,99.554
WP_032434699,WP_417064782.1,100.0,WP_232627577.1,99.881
WP_032434699,WP_332606491.1,99.2,WP_332606490.1,99.342
WP_032434699,WP_124065253.1,100.0,WP_124065251.1,100.0
