Protein1	Protein2	Percent_Identity
WP_084818649	WP_410401005.1	100.0
WP_216350583	WP_409997804.1	99.797
WP_216350583	WP_410401005.1	100.0
WP_199212461	WP_409997804.1	99.797
WP_199212461	WP_410401005.1	100.0
WP_276376830	WP_409997804.1	99.695
WP_276376830	WP_410401005.1	100.0
WP_253180042	WP_409997804.1	98.985
WP_253180042	WP_410401005.1	100.0
WP_170982610	WP_409997804.1	99.797
WP_170982610	WP_410401005.1	100.0
WP_170318072	WP_409997804.1	99.492
WP_170318072	WP_410401005.1	100.0
WP_409447007	WP_409997804.1	99.695
WP_409447007	WP_410401005.1	100.0
WP_225379887	WP_409997804.1	99.391
WP_225379887	WP_410401005.1	100.0
WP_247168704	WP_409997804.1	99.695
WP_247168704	WP_410401005.1	100.0
WP_174217756	WP_409997804.1	99.797
WP_174217756	WP_410401005.1	100.0
WP_180410669	WP_409997804.1	99.797
WP_180410669	WP_410401005.1	100.0
WP_261630093	WP_409997804.1	99.898
WP_261630093	WP_410401005.1	100.0
WP_407491123	WP_409997804.1	99.797
WP_407491123	WP_410401005.1	100.0
WP_172906558	WP_409997804.1	99.391
WP_172906558	WP_410401005.1	99.587
WP_001696646	WP_409997804.1	99.797
WP_001696646	WP_410401005.1	100.0
WP_172950547	WP_409997804.1	99.797
WP_172950547	WP_410401005.1	100.0
WP_204362917	WP_409997804.1	99.797
WP_204362917	WP_410401005.1	100.0
WP_200524206	WP_409997804.1	99.797
WP_200524206	WP_410401005.1	100.0
WP_001144731	WP_409997804.1	99.797
WP_001144731	WP_410401005.1	100.0
WP_256786839	WP_409997804.1	99.695
WP_256786839	WP_410401005.1	100.0
WP_046952374	WP_409997804.1	99.797
WP_046952374	WP_410401005.1	100.0
WP_028120407	WP_409997804.1	98.68
WP_028120407	WP_410401005.1	99.587
WP_349511316	WP_409997804.1	99.797
WP_349511316	WP_410401005.1	100.0
WP_404999138	WP_409997804.1	99.898
WP_404999138	WP_410401005.1	99.587
WP_205246975	WP_409997804.1	98.579
WP_205246975	WP_410401005.1	99.587
WP_216348389	WP_409997804.1	99.797
WP_216348389	WP_410401005.1	100.0
WP_251361768	WP_409997804.1	99.797
WP_251361768	WP_410401005.1	100.0
WP_190319101	WP_409997804.1	99.797
WP_190319101	WP_410401005.1	100.0
WP_176686621	WP_409997804.1	99.695
WP_176686621	WP_410401005.1	100.0
WP_409222345	WP_409997804.1	99.797
WP_409222345	WP_410401005.1	100.0
WP_001144732	WP_409997804.1	99.898
WP_001144732	WP_410401005.1	100.0
WP_226199426	WP_409997804.1	99.695
WP_226199426	WP_410401005.1	100.0
WP_172812044	WP_409997804.1	99.797
WP_172812044	WP_410401005.1	100.0
WP_221686811	WP_409997804.1	99.795
WP_221686811	WP_410401005.1	100.0
WP_204362517	WP_409997804.1	99.797
WP_204362517	WP_410401005.1	100.0
WP_196615575	WP_409997804.1	99.797
WP_196615575	WP_410401005.1	100.0
WP_263062562	WP_409997804.1	99.594
WP_263062562	WP_410401005.1	100.0
WP_276357374	WP_409997804.1	98.782
WP_276357374	WP_410401005.1	99.587
WP_172901318	WP_409997804.1	99.797
WP_172901318	WP_410401005.1	100.0
WP_201356797	WP_409997804.1	99.797
WP_201356797	WP_410401005.1	100.0
WP_262256915	WP_409997804.1	99.695
WP_262256915	WP_410401005.1	100.0
WP_171991444	WP_409997804.1	99.898
WP_171991444	WP_410401005.1	99.587
WP_267615558	WP_409997804.1	99.898
WP_267615558	WP_410401005.1	99.587
WP_021534945	WP_409997804.1	99.797
WP_021534945	WP_410401005.1	100.0
WP_346720336	WP_409997804.1	99.797
WP_346720336	WP_410401005.1	100.0
WP_171003983	WP_409997804.1	99.797
WP_171003983	WP_410401005.1	100.0
WP_194840983	WP_409997804.1	99.695
WP_194840983	WP_410401005.1	100.0
WP_211196987	WP_409997804.1	99.797
WP_211196987	WP_410401005.1	100.0
WP_172949737	WP_409997804.1	99.797
WP_172949737	WP_410401005.1	100.0
WP_205258594	WP_409997804.1	99.797
WP_205258594	WP_410401005.1	100.0
WP_001144733	WP_409997804.1	99.797
WP_001144733	WP_410401005.1	100.0
WP_170930870	WP_409997804.1	99.797
WP_170930870	WP_410401005.1	100.0
WP_206356488	WP_409997804.1	99.797
WP_206356488	WP_410401005.1	100.0
WP_176215828	WP_409997804.1	99.797
WP_176215828	WP_410401005.1	99.587
WP_233129549	WP_409997804.1	99.797
WP_233129549	WP_410401005.1	100.0
WP_176142865	WP_409997804.1	99.695
WP_176142865	WP_410401005.1	100.0
WP_216348523	WP_409997804.1	99.797
WP_216348523	WP_410401005.1	100.0
WP_368459775	WP_409997804.1	99.695
WP_368459775	WP_410401005.1	100.0
WP_202847757	WP_409997804.1	99.695
WP_202847757	WP_410401005.1	100.0
WP_001723031	WP_409997804.1	99.594
WP_001723031	WP_410401005.1	100.0
WP_337452952	WP_409997804.1	99.797
WP_337452952	WP_410401005.1	99.587
WP_248947365	WP_409997804.1	99.695
WP_248947365	WP_410401005.1	100.0
WP_185723220	WP_409997804.1	99.695
WP_185723220	WP_410401005.1	100.0
WP_259904975	WP_409997804.1	99.797
WP_259904975	WP_410401005.1	100.0
WP_200919269	WP_409997804.1	99.797
WP_200919269	WP_410401005.1	100.0
WP_171921991	WP_409997804.1	99.797
WP_171921991	WP_410401005.1	100.0
WP_259637667	WP_409997804.1	99.695
WP_259637667	WP_410401005.1	100.0
WP_248902140	WP_409997804.1	99.797
WP_248902140	WP_410401005.1	100.0
WP_262943872	WP_409997804.1	99.797
WP_262943872	WP_410401005.1	100.0
WP_258096157	WP_409997804.1	99.797
WP_258096157	WP_410401005.1	100.0
WP_192841203	WP_409997804.1	98.883
WP_192841203	WP_410401005.1	99.587
WP_170995639	WP_409997804.1	98.579
WP_170995639	WP_410401005.1	99.587
WP_199353508	WP_409997804.1	99.797
WP_199353508	WP_410401005.1	100.0
WP_394628124	WP_409997804.1	99.797
WP_394628124	WP_410401005.1	100.0
WP_247163508	WP_409997804.1	99.797
WP_247163508	WP_410401005.1	100.0
WP_044061684	WP_409997804.1	99.797
WP_044061684	WP_410401005.1	100.0
WP_176556738	WP_409997804.1	99.898
WP_176556738	WP_410401005.1	99.587
WP_233969931	WP_409997804.1	99.594
WP_233969931	WP_410401005.1	100.0
WP_409226388	WP_409997804.1	99.797
WP_409226388	WP_410401005.1	100.0
WP_198290410	WP_409997804.1	99.695
WP_198290410	WP_410401005.1	99.587
WP_226196623	WP_409997804.1	99.797
WP_226196623	WP_410401005.1	100.0
WP_271096029	WP_409997804.1	99.797
WP_271096029	WP_410401005.1	100.0
WP_181567430	WP_409997804.1	99.695
WP_181567430	WP_410401005.1	100.0
WP_233324485	WP_409997804.1	99.797
WP_233324485	WP_410401005.1	100.0
WP_170988291	WP_409997804.1	99.797
WP_170988291	WP_410401005.1	100.0
WP_172907112	WP_409997804.1	99.695
WP_172907112	WP_410401005.1	100.0
WP_353524257	WP_409997804.1	99.594
WP_353524257	WP_410401005.1	100.0
WP_348919630	WP_409997804.1	99.797
WP_348919630	WP_410401005.1	100.0
WP_176557544	WP_409997804.1	99.594
WP_176557544	WP_410401005.1	100.0
WP_260838386	WP_409997804.1	99.587
WP_260838386	WP_410401005.1	100.0
WP_349816124	WP_409997804.1	99.898
WP_349816124	WP_410401005.1	99.524
WP_274802806	WP_409997804.1	99.893
WP_274802806	WP_410401005.1	100.0
WP_366984376	WP_409997804.1	99.891
WP_366984376	WP_410401005.1	100.0
WP_404855401	WP_409997804.1	99.898
WP_404855401	WP_410401005.1	98.985
WP_226382740	WP_409997804.1	99.888
WP_226382740	WP_410401005.1	100.0
WP_023148495	WP_409997804.1	99.888
WP_023148495	WP_410401005.1	100.0
WP_186238490	WP_409997804.1	99.887
WP_186238490	WP_410401005.1	100.0
WP_353516489	WP_409997804.1	99.886
WP_353516489	WP_410401005.1	100.0
WP_208487661	WP_409997804.1	99.886
WP_208487661	WP_410401005.1	100.0
WP_181048191	WP_409997804.1	99.882
WP_181048191	WP_410401005.1	100.0
WP_172452267	WP_409997804.1	99.882
WP_172452267	WP_410401005.1	100.0
WP_277887387	WP_409997804.1	99.882
WP_277887387	WP_410401005.1	100.0
WP_340078439	WP_409997804.1	99.898
WP_340078439	WP_410401005.1	100.0
WP_199901126	WP_409997804.1	99.872
WP_199901126	WP_410401005.1	100.0
WP_349251982	WP_409997804.1	99.898
WP_349251982	WP_410401005.1	99.225
WP_176557374	WP_409997804.1	99.863
WP_176557374	WP_410401005.1	100.0
WP_349251642	WP_409997804.1	99.898
WP_349251642	WP_410401005.1	99.174
WP_322973493	WP_409997804.1	99.797
WP_322973493	WP_410401005.1	99.174
WP_201752314	WP_409997804.1	99.861
WP_201752314	WP_410401005.1	100.0
WP_249942391	WP_409997804.1	99.391
WP_249942391	WP_410401005.1	100.0
WP_240534263	WP_409997804.1	99.898
WP_240534263	WP_410401005.1	100.0
WP_249418449	WP_409997804.1	99.289
WP_249418449	WP_410401005.1	100.0
WP_251258109	WP_409997804.1	99.859
WP_251258109	WP_410401005.1	100.0
WP_249939233	WP_409997804.1	99.797
WP_249939233	WP_410401005.1	99.029
WP_337444784	WP_409997804.1	99.898
WP_337444784	WP_410401005.1	100.0
WP_239637978	WP_409997804.1	99.898
WP_239637978	WP_410401005.1	100.0
WP_176557940	WP_409997804.1	99.845
WP_176557940	WP_410401005.1	100.0
WP_069985718.1	WP_336511296	100.0
WP_252384634	WP_409997804.1	99.898
WP_252384634	WP_410401005.1	100.0
WP_181211389	WP_409997804.1	99.894
WP_181211389	WP_410401005.1	100.0
WP_289693744	WP_409997804.1	99.833
WP_289693744	WP_410401005.1	100.0
WP_204163318	WP_409997804.1	99.833
WP_204163318	WP_410401005.1	100.0
WP_252391305	WP_409997804.1	99.826
WP_252391305	WP_410401005.1	100.0
WP_250668008	WP_409997804.1	99.815
WP_250668008	WP_410401005.1	100.0
WP_348270668	WP_409997804.1	99.898
WP_236941986	WP_409997804.1	99.778
WP_236941986	WP_410401005.1	100.0
WP_250110846	WP_409997804.1	99.778
WP_250110846	WP_410401005.1	100.0
WP_252385678	WP_409997804.1	99.898
WP_252354387	WP_409997804.1	99.769
WP_252354387	WP_410401005.1	100.0
WP_256137181	WP_409997804.1	98.144
WP_256137181	WP_410401005.1	100.0
WP_228594996	WP_409997804.1	99.761
WP_228594996	WP_410401005.1	100.0
WP_347403489	WP_409997804.1	99.695
WP_242811562	WP_409997804.1	99.755
WP_242811562	WP_410401005.1	100.0
WP_249509501	WP_409997804.1	99.898
WP_069985718.1	WP_259652723	99.699
WP_342456535	WP_409997804.1	99.898
WP_254909217	WP_409997804.1	100.0
WP_369009900	WP_409997804.1	99.897
WP_369009270	WP_409997804.1	99.897
WP_237158990	WP_409997804.1	99.659
WP_237158990	WP_410401005.1	100.0
WP_249534032	WP_409997804.1	99.659
WP_249534032	WP_410401005.1	100.0
WP_404855223	WP_409997804.1	99.896
WP_231530261	WP_409997804.1	99.659
WP_231530261	WP_410401005.1	100.0
WP_069985718.1	WP_274122695	98.63
WP_241223930	WP_409997804.1	98.983
WP_241223930	WP_410401005.1	100.0
WP_247146909	WP_409997804.1	99.645
WP_247146909	WP_410401005.1	100.0
WP_289942673	WP_410401005.1	100.0
WP_289942673	WP_409997804.1	99.595
WP_250221809	WP_410401005.1	100.0
WP_250221809	WP_409997804.1	99.595
WP_251257918	WP_410401005.1	100.0
WP_251257918	WP_409997804.1	99.595
WP_258404751	WP_410401005.1	100.0
WP_258404751	WP_409997804.1	99.595
WP_231527658	WP_410401005.1	100.0
WP_231527658	WP_409997804.1	99.595
WP_342365430	WP_409997804.1	100.0
WP_366952702	WP_409997804.1	99.895
WP_372906853	WP_409997804.1	100.0
WP_227165825	WP_410401005.1	100.0
WP_227165825	WP_409997804.1	99.502
WP_336886884	WP_409997804.1	100.0
WP_231841201	WP_410401005.1	100.0
WP_231841201	WP_409997804.1	99.476
WP_368471378	WP_410401005.1	100.0
WP_368471378	WP_409997804.1	99.435
WP_228730065	WP_410401005.1	100.0
WP_228730065	WP_409997804.1	99.371
WP_250391431	WP_410401005.1	100.0
WP_250391431	WP_409997804.1	97.74
WP_228709038	WP_410401005.1	100.0
WP_228709038	WP_409997804.1	99.371
WP_247152052	WP_410401005.1	99.048
WP_247152052	WP_409997804.1	98.598
WP_227910275	WP_409997804.1	99.892
WP_246863463	WP_410401005.1	100.0
WP_246863463	WP_409997804.1	99.329
WP_032492269	WP_409997804.1	100.0
WP_305868322	WP_409997804.1	99.89
WP_224479652	WP_409997804.1	99.891
WP_226134092	WP_410401005.1	100.0
WP_226134092	WP_409997804.1	99.291
WP_305207801	WP_409997804.1	100.0
WP_275235079	WP_409997804.1	100.0
WP_233983835	WP_409997804.1	99.889
WP_250376678	WP_409997804.1	99.738
WP_250376678	WP_410401005.1	100.0
WP_079905833	WP_152692415.1	95.394
WP_043000468	WP_152692415.1	95.128
WP_131341027	WP_152692415.1	95.748
WP_152692415.1	WP_313652124	95.394
WP_252368106	WP_409997804.1	99.773
WP_252368114	WP_410401005.1	100.0
WP_252368114	WP_409997804.1	99.065
WP_349633029	WP_409997804.1	99.659
WP_349633029	WP_410401005.1	99.174
WP_203161997	WP_409997804.1	100.0
WP_049007987	WP_152692415.1	99.911
WP_064765931	WP_410401005.1	100.0
WP_064765931	WP_409997804.1	97.143
WP_109232707	WP_247095357.1	99.882
WP_226134090	WP_409997804.1	100.0
WP_227910269	WP_410401005.1	100.0
WP_224153804	WP_409997804.1	100.0
WP_137963353	WP_247095357.1	95.028
WP_247095357.1	WP_373857347	95.166
WP_247095357.1	WP_256791197	95.065
WP_228709039	WP_409997804.1	99.874
WP_274431392	WP_409997804.1	99.748
WP_223524295	WP_421666502.1	96.97
WP_129993656	WP_421666502.1	96.97
WP_346404633	WP_421666502.1	96.97
WP_309393036	WP_409997804.1	99.872
WP_266237378	WP_417064782.1	99.217
WP_266237378	WP_332606491.1	95.2
WP_266237378	WP_409240751.1	95.122
WP_260479442.1	WP_266237378	96.97
WP_241374247	WP_417064782.1	100.0
WP_241374247	WP_332606491.1	99.2
WP_124065253.1	WP_241374247	100.0
WP_241374247	WP_409240751.1	97.561
WP_241374247	WP_260479442.1	100.0
WP_283719093	WP_323808049.1	97.222
WP_309367925	WP_409997804.1	100.0
WP_323808049.1	WP_373859702	97.222
WP_226339348	WP_228710993.1	95.105
WP_226339348	WP_323808049.1	97.222
WP_161636153	WP_228710993.1	95.105
WP_161636153	WP_323808049.1	97.222
WP_064174929	WP_417064782.1	100.0
WP_064174929	WP_332606491.1	99.2
WP_064174929	WP_124065253.1	98.701
WP_064174929	WP_409240751.1	97.561
WP_064174929	WP_260479442.1	97.059
WP_133318502	WP_417064782.1	100.0
WP_133318502	WP_332606491.1	99.2
WP_124065253.1	WP_133318502	98.701
WP_133318502	WP_409240751.1	97.561
WP_133318502	WP_260479442.1	97.059
WP_228710993.1	WP_256769287	95.105
WP_256769287	WP_323808049.1	97.222
WP_228710993.1	WP_229264966	95.105
WP_229264966	WP_323808049.1	97.222
WP_228710993.1	WP_394500600	95.105
WP_323808049.1	WP_394500600	97.222
WP_185775539	WP_417064782.1	99.739
WP_185775539	WP_332606491.1	96.8
WP_124065253.1	WP_185775539	98.701
WP_185775539	WP_409240751.1	97.561
WP_185775539	WP_260479442.1	100.0
WP_102059840	WP_228710993.1	95.105
WP_102059840	WP_323808049.1	97.222
WP_200074259	WP_417064782.1	100.0
WP_200074259	WP_332606491.1	99.2
WP_124065253.1	WP_200074259	100.0
WP_200074259	WP_409240751.1	97.561
WP_200074259	WP_260479442.1	100.0
WP_227515271	WP_228710993.1	95.105
WP_227515271	WP_323808049.1	97.222
WP_117109324	WP_417064782.1	100.0
WP_117109324	WP_332606491.1	98.4
WP_117109324	WP_124065253.1	100.0
WP_117109324	WP_409240751.1	97.561
WP_117109324	WP_260479442.1	100.0
WP_228710993.1	WP_277460970	95.105
WP_277460970	WP_323808049.1	97.222
WP_217324719	WP_417064782.1	100.0
WP_217324719	WP_332606491.1	98.4
WP_124065253.1	WP_217324719	100.0
WP_217324719	WP_409240751.1	97.561
WP_217324719	WP_260479442.1	100.0
WP_228710993.1	WP_277449982	95.105
WP_277449982	WP_323808049.1	97.222
WP_065773256	WP_228710993.1	95.105
WP_065773256	WP_323808049.1	97.222
WP_228710993.1	WP_337092676	95.105
WP_323808049.1	WP_337092676	97.222
WP_310663721	WP_417064782.1	100.0
WP_310663721	WP_332606491.1	99.2
WP_124065253.1	WP_310663721	100.0
WP_310663721	WP_409240751.1	97.561
WP_260479442.1	WP_310663721	97.059
WP_228710589	WP_228710993.1	95.105
WP_228710589	WP_323808049.1	97.222
WP_228710993.1	WP_322396468	95.105
WP_322396468	WP_323808049.1	97.222
WP_032434699	WP_417064782.1	100.0
WP_032434699	WP_332606491.1	99.2
WP_032434699	WP_124065253.1	100.0
WP_032434699	WP_409240751.1	97.561
WP_032434699	WP_260479442.1	100.0
WP_065801005	WP_417064782.1	100.0
WP_065801005	WP_332606491.1	99.2
WP_065801005	WP_124065253.1	100.0
WP_065801005	WP_409240751.1	97.561
WP_065801005	WP_260479442.1	100.0
WP_320431381	WP_417064782.1	99.739
WP_320431381	WP_332606491.1	96.8
WP_124065253.1	WP_320431381	100.0
WP_320431381	WP_409240751.1	97.561
WP_260479442.1	WP_320431381	100.0
WP_281082104	WP_417064782.1	100.0
WP_281082104	WP_332606491.1	99.2
WP_124065253.1	WP_281082104	98.701
WP_281082104	WP_409240751.1	97.561
WP_260479442.1	WP_281082104	100.0
WP_301688583	WP_417064782.1	100.0
WP_301688583	WP_332606491.1	99.2
WP_124065253.1	WP_301688583	100.0
WP_301688583	WP_409240751.1	97.561
WP_260479442.1	WP_301688583	100.0
WP_253891988	WP_417064782.1	100.0
WP_253891988	WP_332606491.1	99.2
WP_124065253.1	WP_253891988	100.0
WP_253891988	WP_409240751.1	97.561
WP_253891988	WP_260479442.1	100.0
WP_318041159	WP_417064782.1	100.0
WP_318041159	WP_332606491.1	99.2
WP_124065253.1	WP_318041159	100.0
WP_318041159	WP_409240751.1	97.561
WP_260479442.1	WP_318041159	100.0
WP_117251240	WP_417064782.1	100.0
WP_117251240	WP_332606491.1	99.2
WP_117251240	WP_124065253.1	100.0
WP_117251240	WP_409240751.1	97.561
WP_117251240	WP_260479442.1	100.0
WP_064114836	WP_228710993.1	95.105
WP_064114836	WP_323808049.1	97.222
WP_305218327	WP_417064782.1	100.0
WP_305218327	WP_332606491.1	98.4
WP_124065253.1	WP_305218327	100.0
WP_305218327	WP_409240751.1	97.561
WP_260479442.1	WP_305218327	100.0
WP_227165824	WP_409997804.1	100.0
WP_020078153	WP_228710993.1	95.105
WP_020078153	WP_323808049.1	97.222
WP_065810061	WP_417064782.1	100.0
WP_065810061	WP_332606491.1	99.2
WP_065810061	WP_124065253.1	100.0
WP_065810061	WP_409240751.1	97.561
WP_065810061	WP_260479442.1	100.0
WP_202688260	WP_417064782.1	100.0
WP_202688260	WP_332606491.1	99.2
WP_124065253.1	WP_202688260	100.0
WP_202688260	WP_409240751.1	97.561
WP_202688260	WP_260479442.1	100.0
WP_102084251	WP_228710993.1	95.105
WP_102084251	WP_323808049.1	97.222
WP_117094331	WP_417064782.1	100.0
WP_117094331	WP_332606491.1	99.2
WP_117094331	WP_124065253.1	100.0
WP_117094331	WP_409240751.1	97.561
WP_117094331	WP_260479442.1	100.0
WP_318042167	WP_417064782.1	100.0
WP_318042167	WP_332606491.1	98.4
WP_124065253.1	WP_318042167	100.0
WP_318042167	WP_409240751.1	97.561
WP_260479442.1	WP_318042167	100.0
WP_136655222	WP_417064782.1	100.0
WP_136655222	WP_332606491.1	99.2
WP_124065253.1	WP_136655222	100.0
WP_136655222	WP_409240751.1	97.561
WP_136655222	WP_260479442.1	100.0
WP_096660655	WP_417064782.1	100.0
WP_096660655	WP_332606491.1	99.2
WP_096660655	WP_124065253.1	100.0
WP_096660655	WP_409240751.1	97.561
WP_096660655	WP_260479442.1	100.0
WP_117269405	WP_228710993.1	95.105
WP_117269405	WP_323808049.1	97.222
WP_045361418	WP_228710993.1	95.105
WP_045361418	WP_323808049.1	97.222
WP_140561723	WP_228710993.1	95.105
WP_140561723	WP_323808049.1	97.222
WP_213542299	WP_228710993.1	95.105
WP_213542299	WP_323808049.1	97.222
WP_032418459	WP_228710993.1	95.105
WP_032418459	WP_323808049.1	97.222
WP_032440245	WP_228710993.1	95.105
WP_032440245	WP_323808049.1	97.222
WP_124062342	WP_228710993.1	95.105
WP_124062342	WP_323808049.1	97.222
WP_236923979	WP_417064782.1	99.217
WP_236923979	WP_332606491.1	95.2
WP_165768430.1	WP_236923979	98.701
WP_236923979	WP_409240751.1	95.122
WP_200781392	WP_228710993.1	95.105
WP_200781392	WP_323808049.1	97.222
WP_228710993.1	WP_337086725	95.105
WP_323808049.1	WP_337086725	97.222
WP_186962252	WP_228710993.1	95.105
WP_186962252	WP_323808049.1	97.222
WP_374063457	WP_417064782.1	98.956
WP_332606491.1	WP_374063457	95.2
WP_165768430.1	WP_374063457	98.701
WP_374063457	WP_409240751.1	95.122
WP_107320995	WP_228710993.1	95.105
WP_107320995	WP_323808049.1	97.222
WP_022651754	WP_417064782.1	99.217
WP_022651754	WP_332606491.1	95.2
WP_022651754	WP_165768430.1	100.0
WP_022651754	WP_409240751.1	95.122
WP_161649391	WP_417064782.1	99.739
WP_161649391	WP_332606491.1	99.2
WP_124065253.1	WP_161649391	100.0
WP_161649391	WP_409240751.1	97.561
WP_161649391	WP_260479442.1	97.059
WP_181241439	WP_228710993.1	95.105
WP_181241439	WP_323808049.1	97.222
WP_219720750	WP_323808049.1	97.222
WP_130983528	WP_417064782.1	99.217
WP_130983528	WP_332606491.1	95.2
WP_130983528	WP_409240751.1	95.122
WP_130983528	WP_260479442.1	96.97
WP_228710993.1	WP_253990845	95.105
WP_253990845	WP_323808049.1	97.222
WP_159121403	WP_417064782.1	99.478
WP_159121403	WP_332606491.1	97.6
WP_124065253.1	WP_159121403	96.104
WP_159121403	WP_409240751.1	97.561
WP_159121403	WP_260479442.1	100.0
WP_100279070	WP_228710993.1	95.105
WP_100279070	WP_323808049.1	97.222
WP_149781699	WP_417064782.1	99.739
WP_149781699	WP_332606491.1	99.2
WP_124065253.1	WP_149781699	100.0
WP_149781699	WP_409240751.1	97.561
WP_149781699	WP_260479442.1	97.059
WP_284923873	WP_417064782.1	99.217
WP_284923873	WP_332606491.1	95.2
WP_165768430.1	WP_284923873	98.701
WP_284923873	WP_409240751.1	95.122
WP_169513222	WP_228710993.1	95.105
WP_169513222	WP_323808049.1	97.222
WP_200535721	WP_323808049.1	97.222
WP_228710993.1	WP_394606790	95.105
WP_323808049.1	WP_394606790	97.222
WP_228710993.1	WP_352516386	95.105
WP_323808049.1	WP_352516386	97.222
WP_154911401	WP_323808049.1	97.222
WP_203032329	WP_417064782.1	98.956
WP_203032329	WP_332606491.1	95.2
WP_165768430.1	WP_203032329	98.701
WP_203032329	WP_409240751.1	95.122
WP_228710993.1	WP_277465709	95.105
WP_117034245	WP_417064782.1	99.217
WP_117034245	WP_332606491.1	95.2
WP_117034245	WP_165768430.1	98.701
WP_117034245	WP_409240751.1	95.122
WP_139531028	WP_323808049.1	97.222
WP_305222780	WP_417064782.1	99.739
WP_305222780	WP_332606491.1	99.2
WP_124065253.1	WP_305222780	100.0
WP_305222780	WP_409240751.1	97.561
WP_260479442.1	WP_305222780	97.059
WP_114507568	WP_417064782.1	99.739
WP_114507568	WP_332606491.1	99.2
WP_114507568	WP_124065253.1	100.0
WP_114507568	WP_409240751.1	97.561
WP_114507568	WP_260479442.1	100.0
WP_380189034	WP_417064782.1	99.739
WP_332606491.1	WP_380189034	99.2
WP_124065253.1	WP_380189034	100.0
WP_380189034	WP_409240751.1	97.561
WP_260479442.1	WP_380189034	96.97
WP_269317264	WP_417064782.1	99.739
WP_269317264	WP_332606491.1	99.2
WP_124065253.1	WP_269317264	100.0
WP_269317264	WP_409240751.1	97.561
WP_260479442.1	WP_269317264	97.059
WP_242781012	WP_417064782.1	99.217
WP_242781012	WP_332606491.1	95.2
WP_165768430.1	WP_242781012	98.701
WP_242781012	WP_409240751.1	95.122
WP_225389120	WP_417064782.1	98.956
WP_225389120	WP_332606491.1	95.2
WP_165768430.1	WP_225389120	98.701
WP_225389120	WP_409240751.1	95.122
WP_203259513	WP_228710993.1	95.105
WP_203259513	WP_323808049.1	97.222
WP_228710993.1	WP_231539654	95.105
WP_231539654	WP_323808049.1	97.222
WP_284241428	WP_417064782.1	99.217
WP_165768430.1	WP_284241428	100.0
WP_284241428	WP_409240751.1	95.122
WP_228710993.1	WP_394606567	95.105
WP_323808049.1	WP_394606567	97.222
WP_117085420	WP_228710993.1	95.105
WP_117085420	WP_323808049.1	97.222
WP_259274880	WP_323808049.1	97.222
WP_227523594	WP_421666502.1	96.97
WP_312216037.1	WP_346436414	96.552
WP_117143544	WP_421666502.1	96.97
WP_241993750	WP_421666502.1	96.97
WP_114500429	WP_421666502.1	96.97
WP_408880899	WP_421666502.1	96.97
WP_101827569	WP_421666502.1	96.97
WP_228296296	WP_421666502.1	96.97
WP_264968274	WP_421666502.1	96.97
