Target Name	Accession	Description	Occurrences
HGPRTase	TIGR01203.1	JCVI: hypoxanthine phosphoribosyltransferase	5
PRK07199.1	NF005537.0	NCBI Protein Cluster (PRK): ribose-phosphate diphosphokinase	19
PRK11598.1	NF008619.0	NCBI Protein Cluster (PRK): phosphoethanolamine transferase EptA	1
P_eth_NH2_trans	NF028537.1	NCBIFAM: phosphoethanolamine--lipid A transferase	1
PRK06031.1	NF004689.0	NCBI Protein Cluster (PRK): phosphoribosyltransferase	1
IMP_dehydrog	TIGR01302.1	JCVI: IMP dehydrogenase	2
PRK05205.1-4	NF003548.0	NCBI Protein Cluster (PRK): bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	4
murC	TIGR01082.1	JCVI: UDP-N-acetylmuramate--L-alanine ligase	3
IS66_ISAeme5_TnpA	NF047593.1	NCBIFAM: IS66 family insertion sequence element accessory protein TnpA	1
effector_HPE1	NF041111.1	NCBIFAM: HPE1 family effector	1
PRK02304.1-3	NF002634.0	NCBI Protein Cluster (PRK): adenine phosphoribosyltransferase	20
PRK08558.1	NF006328.0	NCBI Protein Cluster (PRK): adenine phosphoribosyltransferase	14
MPN551_DNA_bnd	NF045868.1	NCBIFAM: MPN551 family DNA-binding protein	1
PRK05205.1-1	NF003545.0	NCBI Protein Cluster (PRK): bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	2
mob_BfmA_Nterm	NF041200.1	NCBIFAM: BfmA/BtgA family mobilization N-terminal domain	2
archaeo_artH	NF041736.1	NCBIFAM: archaeosortase H (Lokisortase)	1
pyrE	TIGR00336.1	JCVI: orotate phosphoribosyltransferase	3
PRK05205.1-3	NF003547.0	NCBI Protein Cluster (PRK): bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	1
PRK05205.1-5	NF003549.0	NCBI Protein Cluster (PRK): bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	1
PRK02304.1-1	NF002632.0	NCBI Protein Cluster (PRK): adenine phosphoribosyltransferase	5
XPRTase	TIGR01744.1	JCVI: xanthine phosphoribosyltransferase	3
apt	TIGR01090.1	JCVI: adenine phosphoribosyltransferase	4
PRK13809.1	NF010382.0	NCBI Protein Cluster (PRK): orotate phosphoribosyltransferase	7
PRK09219.1	NF006671.0	NCBI Protein Cluster (PRK): xanthine phosphoribosyltransferase	9
blaFRI	NF000428.4	NCBIFAM: FRI family carbapenem-hydrolyzing class A beta-lactamase	1
transregGfcR_Halo	NF045507.1	NCBIFAM: transcriptional regulator GfcR	1
PRK01059.1-3	NF002193.0	NCBI Protein Cluster (PRK): protein arginine kinase	2
PRK00455.1-3	NF001729.0	NCBI Protein Cluster (PRK): orotate phosphoribosyltransferase	1
PRK02304.1-2	NF002633.0	NCBI Protein Cluster (PRK): adenine phosphoribosyltransferase	1
met_A_Alw26	TIGR02987.1	JCVI: Alw26I/Eco31I/Esp3I family type II restriction adenine-specific DNA-methyltransferase	5
T6SS_PAAR_dom	NF033420.0	NCBIFAM: type VI secretion system PAAR domain	1
PRK03092.1	NF002844.0	NCBI Protein Cluster (PRK): ribose-phosphate diphosphokinase	2
LIMLP_15305_fam	NF047596.1	NCBIFAM: LIMLP_15305 family protein	1
PRK05205.1-2	NF003546.0	NCBI Protein Cluster (PRK): bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	1
CAS_Csx28	NF040556.1	NCBIFAM: CRISPR-associated protein Csx28	1

Total Sequences Processed: 3620
