Most Frequent Protein ID	Frequency	Description
WP_001818189.1	92	IS21 family transposase
WP_029528617.1	90	hypothetical protein
WP_004584210.1	89	nucleotidyl transferase AbiEii/AbiGii toxin family protein
WP_142448071.1	89	GIY-YIG nuclease family protein
Unknown	88	Fic family protein
Unknown	87	IS5 family transposase
WP_029528609.1	87	hypothetical protein
WP_013856829.1	86	Gfo/Idh/MocA family protein
WP_074391577.1	84	VOC family protein
WP_001069952.1	81	AraC family transcriptional regulator
WP_159235870.1	81	glutamate 5-kinase
WP_128878979.1	81	glutamate-5-semialdehyde dehydrogenase
WP_026027994.1	80	CoA-acylating methylmalonate-semialdehyde dehydrogenase
WP_010872452.1	80	DMT family transporter
WP_159236087.1	80	arsenite efflux transporter metallochaperone ArsD
Unknown	80	SymE family type I addiction module toxin
WP_000812686.1	77	hypothetical protein
WP_081352431.1	76	IS66 family insertion sequence element accessory protein TnpB
WP_138110706.1	75	class I SAM-dependent DNA methyltransferase
WP_017702478.1	75	SDR family oxidoreductase
Unknown	74	Tn7-like element transposition protein TnsE
Unknown	74	carboxypeptidase
Unknown	74	ArdC family protein
WP_133596292.1	74	phosphoporin PhoE
WP_119912760.1	73	ABC-three component system protein
WP_164455108.1	72	HEPN domain-containing protein
WP_032933012.1	72	ABC transporter substrate-binding protein
WP_071210488.1	72	valine--tRNA ligase
WP_221960839.1	71	RHE_PE00001 family protein
WP_006874592.1	71	MATE family efflux transporter
WP_077019763.1	71	DUF4942 domain-containing protein
WP_006341997.1	70	ABC transporter permease
WP_021499435.1	70	XRE family transcriptional regulator
WP_000130149.1	70	acetolactate synthase AlsS
Unknown	70	metalloregulator ArsR/SmtB family transcription factor
WP_041946958.1	70	hypothetical protein
WP_013856824.1	69	sulfite exporter TauE/SafE family protein
Unknown	69	ParB/RepB/Spo0J family partition protein
WP_155024528.1	68	WYL domain-containing protein
WP_000186134.1	68	acetolactate decarboxylase
Unknown	68	ISL3 family transposase
WP_096753038.1	66	methyl-accepting chemotaxis protein
Unknown	66	DUF3987 domain-containing protein
WP_000655241.1	66	hypothetical protein
WP_015386415.1	65	DUF932 domain-containing protein
WP_247378260.1	65	FAD-dependent thymidylate synthase
WP_005060472.1	65	response regulator transcription factor
WP_122517531.1	64	thymidylate synthase
WP_045260801.1	63	alpha-xylosidase
WP_135733573.1	62	DUF3800 domain-containing protein
WP_001282346.1	61	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
WP_074185563.1	61	toxin-antitoxin system HicB family antitoxin
WP_032740348.1	61	glycoside-pentoside-hexuronide family transporter
WP_001797059.1	60	HNH endonuclease signature motif containing protein
WP_036413138.1	60	Qat anti-phage system associated protein QatB
WP_020861697.1	60	KGK domain-containing protein
Unknown	59	DDE-type integrase/transposase/recombinase
WP_036413140.1	59	Qat anti-phage system QueC-like protein QatC
WP_338952323.1	58	winged helix-turn-helix domain-containing protein
Unknown	58	IS66 family transposase
WP_024945098.1	58	response regulator
WP_045616271.1	58	DUF3883 domain-containing protein
WP_016831068.1	57	plasmid replication initiator RepA
WP_223302425.1	57	Qat anti-phage system TatD family nuclease QatD
WP_000380671.1	57	phosphatidylglycerophosphatase A
WP_108638769.1	56	DUF262 domain-containing protein
WP_060555835.1	56	AlpA family transcriptional regulator
WP_260514446.1	55	zinc ribbon domain-containing protein
WP_306440256.1	55	GGDEF domain-containing protein
WP_009827072.1	54	HAD-IIB family hydrolase
WP_003105511.1	54	efflux RND transporter periplasmic adaptor subunit
WP_001026274.1	54	co-chaperone GroES
WP_024568375.1	54	chaperonin GroEL
WP_157178014.1	54	SDR family NAD(P)-dependent oxidoreductase
WP_019706024.1	54	hypothetical protein
WP_052131880.1	54	hypothetical protein
WP_293647658.1	54	hypothetical protein
WP_085546229.1	53	TniB family NTP-binding protein
Unknown	53	integrase core domain-containing protein
WP_259192719.1	53	type I restriction-modification system subunit M
WP_164455098.1	53	JAB domain-containing protein
WP_032952913.1	53	hypothetical protein
WP_020861699.1	52	cupin domain-containing protein
WP_005142261.1	52	DEAD/DEAH box helicase family protein
WP_064355271.1	52	TA system toxin CbtA family protein
WP_000528179.1	51	PAS domain-containing protein
WP_057280814.1	51	DUF6371 domain-containing protein
WP_096855500.1	51	caspase family protein
WP_036413134.1	51	Qat anti-phage system ATPase QatA
WP_016170732.1	51	hypothetical protein
WP_033986780.1	51	hypothetical protein
WP_232427286.1	50	pyrophosphatase
WP_326151848.1	50	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH
WP_305614629.1	50	HD domain-containing protein
WP_003095301.1	50	carbon-nitrogen hydrolase family protein
WP_240389531.1	50	type II toxin-antitoxin system HipA family toxin
WP_036413142.1	50	hypothetical protein
WP_160330069.1	49	nucleoid-associated protein
WP_079534421.1	49	3'-5' exonuclease
WP_000162574.1	49	SsrA-binding protein SmpB
WP_004246180.1	49	LPS export ABC transporter permease LptG
WP_041946960.1	49	hypothetical protein
Unknown	48	ATP-binding cassette domain-containing protein
WP_122517533.1	48	phosphotransferase
Unknown	47	IS5/IS1182 family transposase
WP_084553099.1	47	glutamine-hydrolyzing GMP synthase
WP_057280805.1	47	hypothetical protein
WP_123850228.1	46	Mu transposase C-terminal domain-containing protein
WP_003219122.1	46	CxxH/CxxC protein
WP_052224514.1	46	RNA polymerase sigma factor
WP_273253145.1	46	BPSL0761 family protein
WP_231360931.1	45	toprim domain-containing protein
Unknown	45	NAD(P)H-dependent oxidoreductase
WP_138425532.1	45	site-specific DNA-methyltransferase
WP_122517532.1	45	HIT family protein
WP_048292120.1	45	type IV secretory system conjugative DNA transfer family protein
WP_102288302.1	45	PIN domain-containing protein
WP_064141605.1	45	MarR family transcriptional regulator
WP_047720742.1	45	type IV toxin-antitoxin system YeeU family antitoxin
WP_110706786.1	45	hypothetical protein
WP_000997621.1	45	hypothetical protein
WP_061377476.1	44	helicase RepA family protein
WP_003114631.1	44	GrpB family protein
WP_071210492.1	44	molecular chaperone DnaJ
WP_232208693.1	44	LysR substrate-binding domain-containing protein
WP_048822775.1	44	phosphorothioated DNA-binding restriction endonuclease
WP_033851928.1	44	AEC family transporter
WP_000380671.1	44	phosphatidylglycerophosphatase A family protein
WP_305800621.1	44	hypothetical protein
WP_236645523.1	44	hypothetical protein
WP_110706784.1	44	hypothetical protein
WP_009827066.1	43	IS21-like element helper ATPase IstB
Unknown	43	MerR family transcriptional regulator
Unknown	43	mechanosensitive ion channel family protein
WP_096855499.1	43	TIR domain-containing protein
WP_076053578.1	43	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type
Unknown	42	M48 family metallopeptidase
WP_205672902.1	42	type II toxin-antitoxin system VapC family toxin
WP_034129303.1	42	TnsD family Tn7-like transposition protein
Unknown	42	IS256 family transposase
WP_008740216.1	42	nucleotidyltransferase family protein
Unknown	42	IS110 family transposase
WP_014916115.1	42	TauD/TfdA family dioxygenase
Unknown	42	ISNCY family transposase
WP_128538996.1	42	hypothetical protein
WP_057280806.1	42	hypothetical protein
WP_011167588.1	42	hypothetical protein
WP_012075818.1	42	hypothetical protein
Unknown	41	ATP/GTP-binding protein
WP_005060488.1	41	RsiV family protein
WP_305801940.1	41	hypothetical protein
WP_032984061.1	41	hypothetical protein
WP_041924415.1	41	hypothetical protein
WP_011167593.1	41	hypothetical protein
WP_041924414.1	41	hypothetical protein
WP_041924413.1	41	hypothetical protein
WP_011167590.1	41	hypothetical protein
WP_117074212.1	40	glycosyltransferase
WP_021510244.1	40	DUF4365 domain-containing protein
WP_131096073.1	40	metallophosphoesterase family protein
WP_060496451.1	40	replicative DNA helicase
Unknown	40	DUF3077 domain-containing protein
WP_010300175.1	40	acyl carrier protein
Unknown	40	Tn3 family transposase
WP_223174630.1	40	IS1 family transposase
WP_088435697.1	40	PadR family transcriptional regulator
WP_003121092.1	40	hypothetical protein
WP_077019765.1	40	hypothetical protein
WP_033986782.1	40	hypothetical protein
WP_079758768.1	39	HAD domain-containing protein
WP_018678740.1	39	efflux RND transporter permease subunit
WP_127637596.1	39	DUF4238 domain-containing protein
WP_000123653.1	39	hydroxymethylglutaryl-CoA lyase
WP_220132852.1	39	abortive infection system antitoxin AbiGi family protein
Unknown	39	aldo/keto reductase
WP_033986777.1	39	hypothetical protein
WP_032056932.1	38	darcynin family protein
WP_100676164.1	38	toll/interleukin-1 receptor domain-containing protein
WP_120151009.1	38	DUF3732 domain-containing protein
WP_017205412.1	38	TldD/PmbA family protein
WP_049792475.1	38	antitoxin Xre/MbcA/ParS toxin-binding domain-containing protein
WP_119871896.1	38	D-amino-acid transaminase
WP_094371117.1	38	DUF3772 domain-containing protein
WP_001664763.1	38	hypothetical protein
WP_011167589.1	38	hypothetical protein
WP_226342275.1	38	hypothetical protein
WP_005803276.1	37	ribonucleotide-diphosphate reductase subunit beta
WP_024640368.1	37	NAD-dependent epimerase/dehydratase family protein
WP_024945099.1	37	Crp/Fnr family transcriptional regulator
WP_036413148.1	37	RtcB family protein
WP_229614315.1	37	pentapeptide repeat-containing protein
WP_002001094.1	37	ammonium transporter
WP_119871891.1	37	FAD-binding protein
WP_071574374.1	37	hypothetical protein
WP_011167587.1	37	hypothetical protein
WP_119871892.1	37	hypothetical protein
WP_032056927.1	36	PhzF family isomerase
Unknown	36	IS630 family transposase
WP_024716279.1	36	DUF1433 domain-containing protein
WP_224588724.1	36	glycosyl hydrolase family 18 protein
WP_046160331.1	36	YkvR family protein
WP_079617495.1	36	DUF4153 domain-containing protein
WP_119871897.1	36	N-acetyl-D-Glu racemase DgcA
WP_014916108.1	36	alanine transaminase
WP_081002660.1	36	hypothetical protein
WP_011167585.1	36	hypothetical protein
WP_255210056.1	36	hypothetical protein
WP_004152383.1	36	hypothetical protein
WP_060805653.1	35	FRG domain-containing protein
WP_128993610.1	35	nucleotide pyrophosphohydrolase
Unknown	35	tryptophanase
WP_046160330.1	35	lipase
WP_024716276.1	35	hypothetical protein
WP_391515910.1	35	hypothetical protein
WP_391515913.1	35	hypothetical protein
WP_391515916.1	35	hypothetical protein
WP_391515917.1	35	hypothetical protein
WP_119871893.1	35	hypothetical protein
WP_025887263.1	34	patatin-like phospholipase family protein
WP_001796353.1	34	Mu transposase domain-containing protein
WP_005060475.1	34	HAMP domain-containing sensor histidine kinase
WP_226003792.1	34	sigma-70 family RNA polymerase sigma factor
WP_010257690.1	34	RnfH family protein
Unknown	34	NADPH-dependent 7-cyano-7-deazaguanine reductase
WP_073796679.1	34	GDP-mannose 4%2C6-dehydratase
WP_079617496.1	34	metallopeptidase TldD-related protein
WP_034031832.1	34	hypothetical protein
WP_336570202.1	33	P-loop NTPase fold protein
WP_005060475.1	33	sensor histidine kinase
WP_172606115.1	33	HipA domain-containing protein
WP_272579156.1	33	three component ABC system middle component
WP_000184465.1	33	phosphatase PAP2 family protein
WP_032446862.1	33	hypothetical protein
WP_032446861.1	33	hypothetical protein
WP_305801915.1	33	hypothetical protein
WP_295758707.1	32	amidohydrolase family protein
WP_074448456.1	32	sucrose-6-phosphate hydrolase
WP_003113525.1	32	TonB-dependent receptor
Unknown	32	IS200/IS605 family transposase
WP_074391578.1	32	helix-hairpin-helix domain-containing protein
WP_229895199.1	32	endo alpha-1%2C4 polygalactosaminidase
WP_154235288.1	32	hypothetical protein
WP_138922043.1	31	DUF1778 domain-containing protein
WP_079534427.1	31	amino acid permease
WP_128993609.1	31	DUF2075 domain-containing protein
WP_004584211.1	31	type IV toxin-antitoxin system AbiEi family antitoxin
WP_003110596.1	31	MarR family winged helix-turn-helix transcriptional regulator
WP_333983731.1	31	RES domain-containing protein
WP_073797007.1	31	spherulation-specific family 4 protein
WP_138425531.1	31	RadC family protein
WP_028340783.1	31	type I restriction-modification system endonuclease
WP_016895096.1	31	hypothetical protein
WP_183605404.1	30	LysE family translocator
Unknown	30	DUF3427 domain-containing protein
WP_003096179.1	30	dTDP-glucose 4%2C6-dehydratase
WP_241876740.1	30	siderophore-interacting protein
WP_105828954.1	30	H-NS family nucleoid-associated regulatory protein
WP_023435644.1	30	hypothetical protein
WP_131722413.1	30	hypothetical protein
WP_131722414.1	30	hypothetical protein
WP_134674886.1	30	hypothetical protein
WP_122517538.1	30	hypothetical protein
WP_122517537.1	30	hypothetical protein
WP_122517535.1	30	hypothetical protein
WP_262975633.1	30	hypothetical protein
WP_126315488.1	30	hypothetical protein
Unknown	29	SOS response-associated peptidase
WP_011808959.1	29	very short patch repair endonuclease
WP_037798657.1	29	NAD(P)-dependent oxidoreductase
WP_010872455.1	29	adenylate/guanylate cyclase domain-containing protein
WP_270957262.1	29	NAD(P)/FAD-dependent oxidoreductase
WP_302869778.1	29	plasmid partitioning protein RepB C-terminal domain-containing protein
WP_002120013.1	29	hypothetical protein
WP_203328826.1	29	hypothetical protein
WP_420902443.1	29	hypothetical protein
WP_016143185.1	29	hypothetical protein
WP_303029657.1	28	RagB/SusD family nutrient uptake outer membrane protein
WP_014165284.1	28	Lrp/AsnC family transcriptional regulator
WP_028015006.1	28	AsmA family protein
WP_041769753.1	28	AbrB/MazE/SpoVT family DNA-binding domain-containing protein
Unknown	28	RNA-directed DNA polymerase
Unknown	28	IS1182 family transposase
WP_238282756.1	28	ThiF family adenylyltransferase
WP_045260807.1	28	virulence RhuM family protein
WP_138425536.1	28	DUF3871 family protein
WP_084212304.1	28	DUF2256 domain-containing protein
Unknown	28	hydroxyacid dehydrogenase
WP_001078959.1	28	hypothetical protein
WP_007666384.1	28	hypothetical protein
WP_050679201.1	28	hypothetical protein
WP_032952916.1	28	hypothetical protein
WP_031285623.1	28	hypothetical protein
WP_224588728.1	28	hypothetical protein
WP_391515915.1	28	hypothetical protein
WP_052760140.1	28	hypothetical protein
WP_046543933.1	28	hypothetical protein
WP_046543939.1	28	hypothetical protein
WP_003113527.1	27	HigA family addiction module antitoxin
WP_003161206.1	27	glucose-1-phosphate thymidylyltransferase RfbA
WP_127596707.1	27	transporter substrate-binding domain-containing protein
Unknown	27	methionine synthase
Unknown	27	Y-family DNA polymerase
WP_015959185.1	27	hypothetical protein
WP_077019764.1	27	hypothetical protein
WP_077019768.1	27	hypothetical protein
WP_110706785.1	27	hypothetical protein
WP_055055507.1	26	(deoxy)nucleoside triphosphate pyrophosphohydrolase
WP_253593495.1	26	ROK family protein
WP_130097551.1	26	inovirus-type Gp2 protein
WP_001180283.1	26	cytochrome b/b6 domain-containing protein
WP_086274646.1	26	plasmid mobilization protein
WP_024217744.1	26	hypothetical protein
WP_235360719.1	26	hypothetical protein
WP_046543936.1	26	hypothetical protein
WP_046543937.1	26	hypothetical protein
WP_135370848.1	26	hypothetical protein
WP_062093393.1	25	DUF6088 family protein
WP_200813253.1	25	plasmid pRiA4b ORF-3 family protein
Unknown	25	IS30 family transposase
WP_000060257.1	25	As(III)-sensing metalloregulatory transcriptional repressor ArsR
WP_059349513.1	25	TrlF family AAA-like ATPase
WP_048292121.1	25	MobC family replication-relaxation protein
WP_041425962.1	25	DNA mismatch repair protein MutS
WP_346965574.1	25	serine/threonine-protein kinase
WP_127596710.1	25	amino acid ABC transporter permease
WP_022064768.1	25	PTS transporter subunit EIIC
WP_293647656.1	25	hypothetical protein
WP_006873048.1	25	hypothetical protein
WP_012075812.1	25	hypothetical protein
WP_022064688.1	25	hypothetical protein
WP_088717869.1	25	hypothetical protein
WP_071210491.1	25	hypothetical protein
WP_264187429.1	25	hypothetical protein
WP_396587734.1	24	type II toxin-antitoxin system Phd/YefM family antitoxin
WP_036094775.1	24	SMI1/KNR4 family protein
WP_126329479.1	24	DUF5677 domain-containing protein
WP_134257475.1	24	DUF7146 domain-containing protein
Unknown	24	NYN domain-containing protein
WP_183605397.1	24	YifB family Mg chelatase-like AAA ATPase
Unknown	24	Arm DNA-binding domain-containing protein
WP_033983833.1	24	dTDP-4-dehydrorhamnose reductase
WP_157081526.1	24	hypothetical protein
WP_164455094.1	24	hypothetical protein
WP_164455102.1	24	hypothetical protein
WP_373382902.1	23	PLP-dependent aminotransferase family protein
WP_126329487.1	23	GTPase family protein
WP_227043867.1	23	magnesium transporter
WP_012038916.1	23	class II fructose-bisphosphate aldolase
WP_131830132.1	23	hypothetical protein
WP_045260804.1	23	hypothetical protein
WP_036413141.1	23	hypothetical protein
WP_061377475.1	22	primase-helicase zinc-binding domain-containing protein
WP_221052354.1	22	nuclease-related domain-containing protein
WP_192188534.1	22	DUF5675 family protein
WP_118191153.1	22	DUF4145 domain-containing protein
WP_010257692.1	22	type II toxin-antitoxin system RatA family toxin
WP_080766454.1	22	IS66-like element accessory protein TnpA
WP_225140841.1	22	RidA family protein
WP_035196192.1	22	AIPR family protein
WP_023036848.1	22	50S ribosomal protein L9
WP_122985932.1	22	replication protein
WP_016706341.1	22	LacI family DNA-binding transcriptional regulator
WP_182654633.1	22	helicase-related protein
WP_062865893.1	22	DNA (cytosine-5-)-methyltransferase
WP_000050378.1	22	CaiB/BaiF CoA transferase family protein
WP_048292119.1	22	TrbM/KikA/MpfK family conjugal transfer protein
WP_032938028.1	22	DUF987 domain-containing protein
WP_069540689.1	22	ABC-three component system middle component 5
WP_076053572.1	22	XVIPCD domain-containing protein
WP_245503719.1	22	Hachiman antiphage defense system protein HamA
WP_000050378.1	22	CaiB/BaiF CoA-transferase family protein
WP_096753039.1	22	hypothetical protein
WP_096753035.1	22	hypothetical protein
WP_138110708.1	22	hypothetical protein
WP_138110702.1	22	hypothetical protein
WP_021510242.1	22	hypothetical protein
WP_052720003.1	22	hypothetical protein
WP_089625526.1	22	hypothetical protein
WP_071573398.1	22	hypothetical protein
WP_028340780.1	22	hypothetical protein
WP_155258501.1	22	hypothetical protein
WP_240453315.1	21	SusC/RagA family TonB-linked outer membrane protein
WP_003838773.1	21	EAL domain-containing protein
WP_022519926.1	21	IMP dehydrogenase
WP_005153248.1	21	S24 family peptidase
Unknown	21	mobilization protein
WP_011269853.1	21	CBS domain-containing protein
Unknown	21	homocysteine S-methyltransferase family protein
WP_043674613.1	21	redox-regulated ATPase YchF
WP_004329747.1	21	DJ-1/PfpI family protein
Unknown	21	ISAs1 family transposase
WP_004329748.1	21	winged helix-turn-helix transcriptional regulator
WP_017702485.1	21	DUF4427 domain-containing protein
WP_326151849.1	21	S1C family serine protease
WP_152603488.1	21	hypothetical protein
WP_065213560.1	21	hypothetical protein
WP_065213563.1	21	hypothetical protein
WP_101613894.1	20	threonine synthase
WP_005902715.1	20	N-acetylmuramoyl-L-alanine amidase
WP_175831428.1	20	FAD-dependent oxidoreductase
WP_285160113.1	20	arsenite efflux transporter ATPase subunit ArsA
Unknown	20	transposase domain-containing protein
WP_130097544.1	20	ShlB/FhaC/HecB family hemolysin secretion/activation protein
WP_060496445.1	20	FxLYD domain-containing protein
WP_060496453.1	20	DNA polymerase III subunit gamma/tau
Unknown	20	putative zinc ribbon protein
WP_128677680.1	20	DUF4917 family protein
WP_017702481.1	20	antibiotic biosynthesis monooxygenase family protein
WP_128094633.1	20	7-cyano-7-deazaguanine synthase
WP_002943432.1	20	DUF1912 family protein
Unknown	20	SOS response-associated peptidase family protein
WP_005382297.1	20	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD
WP_083824193.1	20	type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein
WP_010872454.1	20	DUF4079 domain-containing protein
WP_010872449.1	20	LPS export ABC transporter periplasmic protein LptC
WP_011154643.1	20	IS5-like element ISVa2 family transposase
WP_079534423.1	20	SCO1664 family protein
WP_001171042.1	20	hotdog fold thioesterase
WP_010872456.1	20	hypothetical protein
WP_013715605.1	20	hypothetical protein
WP_138110704.1	20	hypothetical protein
WP_088717868.1	20	hypothetical protein
WP_427120282.1	19	DUF6124 family protein
WP_074027181.1	19	anaerobic ribonucleoside-triphosphate reductase
WP_033636852.1	19	anaerobic ribonucleoside-triphosphate reductase-activating protein
WP_074026802.1	19	permease
WP_127637598.1	19	S8 family peptidase
WP_227043865.1	19	KilA-N domain-containing protein
WP_372098391.1	19	phenylalanine--tRNA ligase subunit beta
WP_004734764.1	19	phenylalanine--tRNA ligase subunit alpha
WP_294728248.1	19	DNA repair protein RadA
WP_068814602.1	19	TnsA endonuclease N-terminal domain-containing protein
WP_177480926.1	19	McrB family protein
WP_032834371.1	19	putative manganese-dependent inorganic diphosphatase
Unknown	19	translesion error-prone DNA polymerase V subunit UmuC
Unknown	19	histone-like nucleoid-structuring protein%2C MvaT/MvaU family
WP_373382905.1	19	pyridoxamine 5'-phosphate oxidase family protein
WP_000131911.1	19	low affinity tryptophan permease TnaB
WP_000085987.1	19	multidrug efflux MFS transporter MdtL
WP_220788591.1	19	DUF927 domain-containing protein
WP_003162365.1	19	efflux transporter outer membrane subunit
WP_390351128.1	19	discoidin domain-containing protein
WP_003226972.1	19	formaldehyde dehydrogenase%2C glutathione-independent
WP_225556148.1	19	DUF6943 family protein
WP_032056933.1	19	hypothetical protein
WP_001796353.1	19	hypothetical protein
WP_000409796.1	19	hypothetical protein
WP_139814606.1	19	hypothetical protein
WP_041769452.1	19	hypothetical protein
WP_073418923.1	19	hypothetical protein
WP_152603489.1	19	hypothetical protein
WP_088717870.1	19	hypothetical protein
WP_065213564.1	19	hypothetical protein
Unknown	18	IS481 family transposase
Unknown	18	primase-like DNA-binding domain-containing protein
WP_134240913.1	18	TetR family transcriptional regulator
WP_042227434.1	18	ATP-grasp domain-containing protein
WP_099286776.1	18	MobF family relaxase
WP_087216739.1	18	carbon starvation protein A
WP_329768121.1	18	cold-shock protein
WP_035997178.1	18	fumarylacetoacetate hydrolase family protein
WP_135917357.1	18	error-prone DNA polymerase
WP_170154331.1	18	uracil phosphoribosyltransferase
WP_003095295.1	18	bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG
WP_023755122.1	18	CHAT domain-containing protein
Unknown	18	sulfatase
WP_011269852.1	18	ankyrin repeat domain-containing protein
WP_060496450.1	18	peptidase U32 family protein
WP_057006707.1	18	DUF190 domain-containing protein
WP_080703813.1	18	ATPase domain-containing protein
