Protein ID	Frequency	Description
WP_125034234.1	106	hypothetical protein
WP_125034231.1	106	hypothetical protein
WP_012951252.1	105	DUF1304 domain-containing protein
WP_026749759.1	105	DHA2 family efflux MFS transporter permease subunit
WP_026749760.1	105	retron St85 family RNA-directed DNA polymerase
WP_026749762.1	103	hypothetical protein
WP_001063722.1	102	glutamate racemase
WP_000415726.1	101	HAD family hydrolase
WP_003721303.1	101	histidine phosphatase family protein
WP_014600555.1	100	hypothetical protein
WP_003721318.1	99	SulP family inorganic anion transporter
WP_002086068.1	98	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
WP_000334188.1	98	glutamine--fructose-6-phosphate transaminase (isomerizing)
WP_026749764.1	98	6-phospho-beta-glucosidase
WP_000807392.1	97	thiamine-phosphate kinase
WP_000380671.1	97	phosphatidylglycerophosphatase A
WP_124989630.1	93	hypothetical protein
WP_029528615.1	93	reverse transcriptase family protein
WP_034031832.1	93	hypothetical protein
WP_170869072.1	93	alpha/beta hydrolase
WP_029528612.1	93	hypothetical protein
WP_029528611.1	93	hypothetical protein
WP_029528610.1	91	TetR/AcrR family transcriptional regulator
WP_029528617.1	90	hypothetical protein
WP_029528609.1	87	hypothetical protein
WP_026749765.1	87	MurR/RpiR family transcriptional regulator
WP_000812686.1	82	hypothetical protein
WP_029528618.1	76	ATP-dependent endonuclease
WP_020977746.1	75	recombinase family protein
WP_029528619.1	74	UvrD-helicase domain-containing protein
WP_026027994.1	73	CoA-acylating methylmalonate-semialdehyde dehydrogenase
WP_013856829.1	73	Gfo/Idh/MocA family protein
WP_041946958.1	70	hypothetical protein
WP_014386216.1	69	RepA leader peptide Tap
WP_041946959.1	67	reverse transcriptase family protein
WP_000655241.1	66	hypothetical protein
WP_000186134.1	66	acetolactate decarboxylase
WP_041946960.1	65	phosphoribosyltransferase-like protein
WP_001797059.1	63	HNH endonuclease
WP_000411031.1	62	retron St85 family RNA-directed DNA polymerase
WP_023280426.1	61	phospholipase D-like domain-containing protein
WP_013213997.1	60	incFII family plasmid replication initiator RepA
WP_072101968.1	60	incFII family plasmid replication initiator RepA
WP_000130149.1	58	acetolactate synthase AlsS
WP_032952913.1	55	hypothetical protein
WP_019706024.1	54	hypothetical protein
WP_012075812.1	54	phosphoribosyltransferase-like protein
WP_052131880.1	54	hypothetical protein
WP_293647658.1	54	hypothetical protein
WP_013856824.1	53	sulfite exporter TauE/SafE family protein
WP_001792139.1	53	transposase
WP_071621402.1	53	HNH endonuclease
WP_071535374.1	53	PfkB family carbohydrate kinase
WP_012075817.1	53	NADAR family protein
WP_031687304.1	51	reverse transcriptase family protein
WP_016170732.1	51	hypothetical protein
WP_013213998.1	51	N-6 DNA methylase
WP_033986780.1	51	hypothetical protein
WP_036413142.1	50	hypothetical protein
WP_057280805.1	47	hypothetical protein
WP_057280807.1	46	helix-turn-helix domain-containing protein
WP_032425173.1	46	AAA domain-containing protein
WP_159290076.1	46	retron St85 family RNA-directed DNA polymerase
WP_032952915.1	45	site-specific integrase
WP_110706786.1	45	hypothetical protein
WP_305800621.1	44	hypothetical protein
WP_001796353.1	44	Mu transposase domain-containing protein
WP_001818189.1	44	IS21 family transposase
WP_057280814.1	44	DUF6371 domain-containing protein
WP_236645523.1	44	hypothetical protein
WP_110706784.1	44	hypothetical protein
WP_000995342.1	44	pirin family protein
WP_171941853.1	43	HAD hydrolase family protein
WP_012075809.1	43	tyrosine-type recombinase/integrase
WP_012075808.1	43	tyrosine-type recombinase/integrase
WP_128538996.1	42	hypothetical protein
WP_057280806.1	42	hypothetical protein
WP_011167589.1	42	hypothetical protein
WP_011167588.1	42	hypothetical protein
WP_012075818.1	42	hypothetical protein
WP_036413141.1	42	hypothetical protein
WP_305801940.1	41	hypothetical protein
WP_032984061.1	41	hypothetical protein
WP_041924415.1	41	hypothetical protein
WP_011167593.1	41	hypothetical protein
WP_041924414.1	41	hypothetical protein
WP_041924413.1	41	hypothetical protein
WP_011167590.1	41	hypothetical protein
WP_036413134.1	41	Qat anti-phage system ATPase QatA
WP_131096073.1	41	metallophosphoesterase
WP_003095301.1	40	carbon-nitrogen hydrolase family protein
WP_003121092.1	40	hypothetical protein
WP_077019765.1	40	hypothetical protein
WP_032952914.1	40	reverse transcriptase family protein
WP_181432454.1	40	HAD hydrolase family protein
WP_033986782.1	40	hypothetical protein
WP_110706787.1	40	integrase arm-type DNA-binding domain-containing protein
WP_173696544.1	40	MBL fold metallo-hydrolase
WP_003095295.1	39	class I SAM-dependent methyltransferase
WP_003114631.1	39	GrpB family protein
WP_223302425.1	39	Qat anti-phage system TatD family nuclease QatD
WP_036413140.1	39	Qat anti-phage system QueC-like protein QatC
WP_071537214.1	39	TniQ family protein
WP_141995282.1	39	tyrosine-type recombinase/integrase
WP_033986789.1	39	tyrosine-type recombinase/integrase
WP_033986788.1	39	DNA-binding protein
WP_033986777.1	39	hypothetical protein
WP_005060488.1	39	RsiV family protein
WP_004246180.1	39	LPS export ABC transporter permease LptG
WP_000050378.1	39	CaiB/BaiF CoA-transferase family protein
WP_001664763.1	38	hypothetical protein
WP_196681118.1	38	AAA family ATPase
WP_226342275.1	38	hypothetical protein
WP_335618220.1	38	recombinase family protein
WP_070273688.1	38	ROK family transcriptional regulator
WP_021499435.1	37	ImmA/IrrE family metallo-endopeptidase
WP_071534339.1	37	DNA-binding protein
WP_071574374.1	37	hypothetical protein
WP_078451354.1	37	DUF2971 domain-containing protein
WP_011167587.1	37	hypothetical protein
WP_010300175.1	37	acyl carrier protein
WP_014916115.1	37	TauD/TfdA family dioxygenase
WP_119871892.1	37	hypothetical protein
WP_119871895.1	37	DNA methyltransferase
WP_000123653.1	37	hydroxymethylglutaryl-CoA lyase
WP_000546794.1	37	LysR family transcriptional regulator
WP_029424192.1	37	TetR/AcrR family transcriptional regulator
WP_032056929.1	36	reverse transcriptase family protein
WP_032056931.1	36	TetR/AcrR family transcriptional regulator
WP_032056932.1	36	darcynin family protein
WP_081002660.1	36	hypothetical protein
WP_011167585.1	36	hypothetical protein
WP_024716279.1	36	DUF1433 domain-containing protein
WP_255210056.1	36	hypothetical protein
WP_119871891.1	36	FAD-binding protein
WP_119871894.1	36	phosphoribosyltransferase-like protein
WP_094371117.1	36	DUF3772 domain-containing protein
WP_119871896.1	36	D-amino-acid transaminase
WP_119871897.1	36	N-acetyl-D-Glu racemase DgcA
WP_014916108.1	36	alanine transaminase
WP_004152383.1	36	hypothetical protein
WP_050679201.1	35	hypothetical protein
WP_370867226.1	35	helix-turn-helix domain-containing protein
WP_024716276.1	35	hypothetical protein
WP_391515910.1	35	hypothetical protein
WP_391515911.1	35	carbohydrate kinase family protein
WP_391515913.1	35	hypothetical protein
WP_391515915.1	35	phosphoribosyltransferase-like protein
WP_391515916.1	35	hypothetical protein
WP_391515917.1	35	hypothetical protein
WP_119871893.1	35	hypothetical protein
WP_029424193.1	35	PaaI family thioesterase
WP_110706785.1	35	hypothetical protein
WP_077914480.1	35	ROK family transcriptional regulator
WP_032056927.1	34	PhzF family isomerase
WP_032056928.1	34	LysR family transcriptional regulator
WP_004152385.1	34	replication regulatory protein RepA
WP_036413138.1	34	Qat anti-phage system associated protein QatB
WP_154235288.1	34	hypothetical protein
WP_029424194.1	34	DapH/DapD/GlmU-related protein
WP_023280423.1	33	integrase domain-containing protein
WP_032446862.1	33	hypothetical protein
WP_032446861.1	33	hypothetical protein
WP_005060472.1	33	response regulator transcription factor
WP_305801915.1	33	hypothetical protein
WP_126315488.1	32	hypothetical protein
WP_071786674.1	31	RepA leader peptide Tap
WP_036413148.1	31	RtcB family protein
WP_036413146.1	31	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
WP_046160331.1	31	YkvR family protein
WP_016895096.1	31	hypothetical protein
WP_036900676.1	31	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
WP_023435642.1	30	NADAR family protein
WP_023435644.1	30	hypothetical protein
WP_031285623.1	30	hypothetical protein
WP_023435647.1	30	DNA-binding protein
WP_203328827.1	30	TniQ family protein
WP_036413145.1	30	integrase arm-type DNA-binding domain-containing protein
WP_131722413.1	30	hypothetical protein
WP_131722414.1	30	hypothetical protein
WP_134674886.1	30	hypothetical protein
WP_122517538.1	30	hypothetical protein
WP_122517537.1	30	hypothetical protein
WP_122517535.1	30	hypothetical protein
WP_122517534.1	30	thiamine-phosphate kinase
WP_122517533.1	30	phosphotransferase
WP_122517532.1	30	HIT family protein
WP_122517531.1	30	thymidylate synthase
WP_105567945.1	30	reverse transcriptase family protein
WP_110191954.1	30	reverse transcriptase family protein
WP_262975633.1	30	hypothetical protein
WP_002120013.1	29	hypothetical protein
WP_005803276.1	29	ribonucleotide-diphosphate reductase subunit beta
WP_023435643.1	29	PfkB family carbohydrate kinase
WP_203328826.1	29	hypothetical protein
WP_420902443.1	29	hypothetical protein
WP_122517536.1	29	phosphoribosyltransferase-like protein
WP_036413143.1	29	reverse transcriptase family protein
WP_016143185.1	29	hypothetical protein
WP_046543936.1	29	hypothetical protein
WP_046543937.1	29	hypothetical protein
WP_046543938.1	29	single-stranded DNA-binding protein
WP_029424195.1	29	phenylacetate--CoA ligase PaaK
WP_293647654.1	28	reverse transcriptase family protein
WP_001078959.1	28	hypothetical protein
WP_007666384.1	28	hypothetical protein
WP_077182390.1	28	tyrosine-type recombinase/integrase
WP_077019768.1	28	hypothetical protein
WP_032952916.1	28	hypothetical protein
WP_016831068.1	28	plasmid replication initiator RepA
WP_224588728.1	28	hypothetical protein
WP_131096075.1	28	reverse transcriptase family protein
WP_131096076.1	28	integrase arm-type DNA-binding domain-containing protein
WP_052760140.1	28	hypothetical protein
WP_046543933.1	28	hypothetical protein
WP_082139528.1	28	tyrosine-type recombinase/integrase
WP_046543939.1	28	hypothetical protein
WP_015959185.1	27	hypothetical protein
WP_021499436.1	27	reverse transcriptase family protein
WP_077019763.1	27	DUF4942 domain-containing protein
WP_077019764.1	27	hypothetical protein
WP_013023768.1	27	incFII family plasmid replication initiator RepA
WP_048822775.1	27	phosphorothioated DNA-binding restriction endonuclease
WP_089625526.1	27	hypothetical protein
WP_000184465.1	27	phosphatase PAP2 family protein
WP_002001094.1	27	ammonium transporter
WP_005122823.1	27	LysR family transcriptional regulator
WP_033851928.1	27	AEC family transporter
WP_071210492.1	27	molecular chaperone DnaJ
WP_071210491.1	27	phosphoribosyltransferase-like protein
WP_071210489.1	27	class I SAM-dependent methyltransferase
WP_071210488.1	27	valine--tRNA ligase
WP_046543932.1	27	DUF4942 domain-containing protein
WP_158077535.1	27	tetratricopeptide repeat protein
WP_039244920.1	27	MFS transporter
WP_024217744.1	26	hypothetical protein
WP_235360719.1	26	hypothetical protein
WP_052720003.1	26	phosphoribosyltransferase-like protein
WP_003096179.1	26	dTDP-glucose 4%2C6-dehydratase
WP_022064687.1	26	retron St85 family RNA-directed DNA polymerase
WP_064141605.1	26	MarR family transcriptional regulator
WP_022064688.1	26	hypothetical protein
WP_135370848.1	26	hypothetical protein
WP_164455098.1	26	JAB domain-containing protein
WP_164455100.1	26	reverse transcriptase family protein
WP_164455102.1	26	hypothetical protein
WP_293647656.1	25	hypothetical protein
WP_006873048.1	25	hypothetical protein
WP_021510243.1	25	dUTP diphosphatase
WP_016831067.1	25	replication regulatory protein RepA
WP_088717869.1	25	hypothetical protein
WP_088717871.1	25	AAA family ATPase
WP_197740070.1	25	helix-turn-helix domain-containing protein
WP_164455104.1	25	restriction endonuclease
WP_264187429.1	25	hypothetical protein
WP_096753037.1	24	type II toxin-antitoxin system toxin DNA ADP-ribosyl transferase DarT
WP_096753129.1	24	type II toxin-antitoxin system antitoxin DNA ADP-ribosyl glycohydrolase DarG
WP_138110706.1	24	methyltransferase
WP_021510242.1	24	hypothetical protein
WP_077019766.1	24	tetratricopeptide repeat protein
WP_157081526.1	24	hypothetical protein
WP_001282346.1	24	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
WP_159236087.1	24	arsenite efflux transporter metallochaperone ArsD
WP_159235868.1	24	ATP-dependent endonuclease
WP_159235869.1	24	UvrD-helicase domain-containing protein
WP_128878979.1	24	glutamate-5-semialdehyde dehydrogenase
WP_159235870.1	24	glutamate 5-kinase
WP_133596292.1	24	phosphoporin PhoE
WP_008805306.1	24	glutamate 5-kinase
WP_164455094.1	24	hypothetical protein
WP_164455108.1	24	HEPN domain-containing protein
WP_021499437.1	23	hypothetical protein
WP_131830132.1	23	hypothetical protein
WP_079617495.1	23	DUF4153 domain-containing protein
WP_005060475.1	23	HAMP domain-containing sensor histidine kinase
WP_079617496.1	23	metallopeptidase TldD-related protein
WP_017205412.1	23	TldD/PmbA family protein
WP_045260803.1	23	hypothetical protein
WP_045260804.1	23	hypothetical protein
WP_139814606.1	23	hypothetical protein
WP_164455096.1	23	DNA-binding protein
WP_096753039.1	22	hypothetical protein
WP_096753038.1	22	methyl-accepting chemotaxis protein
WP_096753035.1	22	hypothetical protein
WP_138110708.1	22	hypothetical protein
WP_138110702.1	22	hypothetical protein
WP_029498342.1	22	phospholipase D family protein
WP_071573398.1	22	hypothetical protein
WP_152603489.1	22	hypothetical protein
WP_079379828.1	22	reverse transcriptase family protein
WP_074185563.1	22	toxin-antitoxin system HicB family antitoxin
WP_028340780.1	22	hypothetical protein
WP_155258501.1	22	hypothetical protein
WP_152603488.1	21	hypothetical protein
WP_065213560.1	21	hypothetical protein
WP_065213562.1	21	helix-turn-helix transcriptional regulator
WP_065213563.1	21	hypothetical protein
WP_065213564.1	21	hypothetical protein
WP_028340781.1	21	AAA family ATPase
WP_051447868.1	21	restriction endonuclease subunit S
WP_163773667.1	21	restriction endonuclease
WP_077019770.1	20	single-stranded DNA-binding protein
WP_010872456.1	20	hypothetical protein
WP_010872455.1	20	adenylate/guanylate cyclase domain-containing protein
WP_010872454.1	20	DUF4079 domain-containing protein
WP_020861699.1	20	cupin domain-containing protein
WP_010872452.1	20	DMT family transporter
WP_010872451.1	20	ATP-binding protein
WP_041425962.1	20	DNA mismatch repair protein MutS
WP_020861697.1	20	KGK domain-containing protein
WP_010872448.1	20	KGK domain-containing protein
WP_010872447.1	20	KGK domain-containing protein
WP_011154643.1	20	IS5-like element ISVa2 family transposase
WP_041769753.1	20	AbrB/MazE/SpoVT family DNA-binding domain-containing protein
WP_013715605.1	20	hypothetical protein
WP_013715604.1	20	PfkB family carbohydrate kinase
WP_041769451.1	20	NADAR family protein
WP_104456885.1	20	IS3 family transposase
WP_023280425.1	20	AAA domain-containing protein
WP_138110704.1	20	hypothetical protein
WP_032740348.1	20	glycoside-pentoside-hexuronide family transporter
WP_088717868.1	20	hypothetical protein
WP_080314647.1	20	reverse transcriptase family protein
WP_028340783.1	20	type I restriction-modification system endonuclease
WP_032056933.1	19	hypothetical protein
WP_077019769.1	19	hypothetical protein
WP_000409796.1	19	hypothetical protein
WP_021499439.1	19	integrase domain-containing protein
WP_224588724.1	19	glycosyl hydrolase family 18 protein
WP_008740216.1	19	nucleotidyltransferase family protein
WP_072049692.1	19	toxin-antitoxin system HicB family antitoxin
WP_041769453.1	19	phosphoribosyltransferase-like protein
WP_041769452.1	19	hypothetical protein
WP_073418923.1	19	hypothetical protein
WP_088717870.1	19	hypothetical protein
WP_227043856.1	19	site-specific integrase
WP_227043857.1	19	DNA methyltransferase
WP_080686754.1	19	GTP pyrophosphokinase family protein
WP_196238160.1	19	ImmA/IrrE family metallo-endopeptidase
WP_008805307.1	19	phosphoporin PhoE
WP_124988805.1	19	hypothetical protein
WP_077208743.1	18	hypothetical protein
WP_045616270.1	18	reverse transcriptase family protein
WP_055246198.1	18	phosphoribosyltransferase-like protein
WP_000131911.1	18	low affinity tryptophan permease TnaB
WP_046160330.1	18	lipase
WP_105134487.1	18	DNA cytosine methyltransferase
WP_045260806.1	18	SymE family type I addiction module toxin
WP_227508163.1	18	hypothetical protein
WP_138110710.1	18	hypothetical protein
WP_080703813.1	18	ATPase domain-containing protein
WP_148311892.1	18	hypothetical protein
WP_039146642.1	18	hypothetical protein
WP_039146639.1	18	hypothetical protein
WP_148311890.1	18	hypothetical protein
WP_039146632.1	18	PfkB family carbohydrate kinase
WP_148311889.1	18	hypothetical protein
WP_033942042.1	18	hypothetical protein
WP_033942041.1	18	hypothetical protein
WP_312845001.1	18	hypothetical protein
WP_074247190.1	18	retron St85 family RNA-directed DNA polymerase
WP_174956898.1	18	single-stranded DNA-binding protein
WP_174956900.1	18	hypothetical protein
WP_260514448.1	18	IS3 family transposase
WP_003726690.1	18	MurR/RpiR family transcriptional regulator
WP_077233538.1	17	hypothetical protein
WP_130097549.1	17	phosphoribosyltransferase-like protein
WP_097573887.1	17	reverse transcriptase family protein
WP_021499432.1	17	tyrosine-type recombinase/integrase
WP_073797007.1	17	spherulation-specific family 4 protein
WP_157835604.1	17	hypothetical protein
WP_045260807.1	17	virulence RhuM family protein
WP_035196177.1	17	two-component system regulatory protein YycI
WP_035196178.1	17	MBL fold metallo-hydrolase
WP_232208693.1	17	LysR substrate-binding domain-containing protein
WP_039146643.1	17	HAD hydrolase family protein
WP_039146629.1	17	AAA family ATPase
WP_126852885.1	17	hypothetical protein
WP_003085431.1	17	YjhX family toxin
WP_079534425.1	17	DUF3090 domain-containing protein
WP_227043865.1	17	KilA-N domain-containing protein
WP_164455106.1	17	hypothetical protein
WP_174956895.1	17	hypothetical protein
WP_174956896.1	17	hypothetical protein
WP_174956897.1	17	hypothetical protein
WP_174956899.1	17	hypothetical protein
WP_174956902.1	17	tyrosine-type recombinase/integrase
WP_174956903.1	17	tetratricopeptide repeat protein
WP_174956904.1	17	hypothetical protein
WP_158219001.1	17	AAA family ATPase
WP_033523411.1	17	phosphoribosyltransferase-like protein
WP_077038495.1	16	hypothetical protein
WP_172685081.1	16	reverse transcriptase family protein
WP_006873052.1	16	carbon starvation protein A
WP_029171412.1	16	reverse transcriptase family protein
WP_003122185.1	16	DEAD/DEAH box helicase
WP_000085987.1	16	multidrug efflux MFS transporter MdtL
WP_038982934.1	16	integrase arm-type DNA-binding domain-containing protein
WP_148311891.1	16	hypothetical protein
WP_126852886.1	16	hypothetical protein
WP_012038908.1	16	histidine phosphatase family protein
WP_022065078.1	16	glutamate-5-semialdehyde dehydrogenase
WP_142448068.1	16	hypothetical protein
WP_227043870.1	16	AlpA family transcriptional regulator
WP_003096173.1	16	DHA2 family efflux MFS transporter permease subunit
WP_176331317.1	16	hypothetical protein
WP_032056935.1	15	TetR/AcrR family transcriptional regulator
WP_032952926.1	15	helix-turn-helix domain-containing protein
WP_000060257.1	15	As(III)-sensing metalloregulatory transcriptional repressor ArsR
WP_002943432.1	15	DUF1912 family protein
WP_020904091.1	15	hypothetical protein
WP_074027183.1	15	hypothetical protein
WP_142448071.1	15	GIY-YIG nuclease family protein
WP_010872449.1	15	LPS export ABC transporter periplasmic protein LptC
WP_110591077.1	15	Qat anti-phage system associated protein QatB
WP_003219122.1	15	CxxH/CxxC protein
WP_053481446.1	15	UvrD-helicase domain-containing protein
WP_013715606.1	15	HAD family hydrolase
WP_003454977.1	15	hypothetical protein
WP_192188530.1	15	hypothetical protein
WP_192188532.1	15	hypothetical protein
WP_225556148.1	15	DUF6943 family protein
WP_192188534.1	15	DUF5675 family protein
WP_192188535.1	15	hypothetical protein
WP_259192719.1	15	type I restriction-modification system subunit M
WP_164455110.1	15	hypothetical protein
WP_003830139.1	15	phosphoribosyltransferase-like protein
WP_003830141.1	15	PFL_4669 family integrating conjugative element protein
WP_003830143.1	15	DUF3158 family protein
WP_001003406.1	15	STY4534 family ICE replication protein
WP_032934229.1	15	transcriptional regulator
WP_077948210.1	15	ROK family transcriptional regulator
WP_004171450.1	14	RepA leader peptide Tap
WP_223174630.1	14	IS1 family transposase
WP_139777118.1	14	hypothetical protein
WP_055246197.1	14	reverse transcriptase family protein
WP_142448069.1	14	hypothetical protein
WP_156416586.1	14	IS3 family transposase
WP_045260802.1	14	glycoside-pentoside-hexuronide family transporter
WP_017702478.1	14	SDR family oxidoreductase
WP_017702479.1	14	LysR family transcriptional regulator
WP_017702481.1	14	antibiotic biosynthesis monooxygenase family protein
WP_017702483.1	14	hypothetical protein
WP_017702484.1	14	reverse transcriptase family protein
WP_003329733.1	14	CxxH/CxxC protein
WP_022065656.1	14	hypothetical protein
WP_096855502.1	14	hypothetical protein
WP_096855499.1	14	TIR domain-containing protein
WP_024716275.1	14	retron St85 family RNA-directed DNA polymerase
WP_109242585.1	14	integrase domain-containing protein
WP_160330069.1	14	nucleoid-associated protein
WP_033983833.1	14	dTDP-4-dehydrorhamnose reductase
WP_003161206.1	14	glucose-1-phosphate thymidylyltransferase RfbA
WP_003146175.1	14	hypothetical protein
WP_005131151.1	14	hypothetical protein
WP_012038916.1	14	class II fructose-bisphosphate aldolase
WP_079534421.1	14	3'-5' exonuclease
WP_079534429.1	14	DUF2510 domain-containing protein
WP_227516909.1	14	retron St85 family RNA-directed DNA polymerase
WP_225556149.1	14	hypothetical protein
WP_225556537.1	14	helix-turn-helix domain-containing protein
WP_138425530.1	14	hypothetical protein
WP_138425531.1	14	RadC family protein
WP_187293750.1	14	hypothetical protein
WP_138425532.1	14	site-specific DNA-methyltransferase
WP_138425533.1	14	hypothetical protein
WP_138425534.1	14	hypothetical protein
WP_138425535.1	14	hypothetical protein
WP_138425536.1	14	DUF3871 family protein
WP_138425537.1	14	AAA family ATPase
WP_138425538.1	14	hypothetical protein
WP_015386415.1	14	DUF932 domain-containing protein
WP_015386413.1	14	DUF987 family protein
WP_155024528.1	14	WYL domain-containing protein
WP_155024530.1	14	hypothetical protein
WP_155024531.1	14	hypothetical protein
WP_155024533.1	14	phosphoribosyltransferase-like protein
WP_155024534.1	14	reverse transcriptase family protein
WP_155024536.1	14	restriction endonuclease
WP_003830133.1	14	DUF2857 domain-containing protein
WP_003830134.1	14	STY4528 family pathogenicity island replication protein
WP_000863683.1	14	hypothetical protein
WP_072025544.1	14	helix-turn-helix domain-containing protein
WP_064355275.1	14	restriction endonuclease
WP_064355274.1	14	phosphoribosyltransferase
WP_077267041.1	14	helix-turn-helix transcriptional regulator
WP_064355271.1	14	TA system toxin CbtA family protein
WP_047720742.1	14	type IV toxin-antitoxin system YeeU family antitoxin
WP_079378922.1	14	hypothetical protein
WP_061377476.1	13	helicase RepA family protein
WP_021510246.1	13	hypothetical protein
WP_021510244.1	13	DUF4365 domain-containing protein
WP_021510241.1	13	hypothetical protein
WP_021510240.1	13	hypothetical protein
WP_021510239.1	13	methyltransferase
WP_021510238.1	13	glutamine--fructose-6-phosphate transaminase (isomerizing)
WP_004099067.1	13	incFII family plasmid replication initiator RepA
WP_052145515.1	13	phospholipase D family protein
WP_000556048.1	13	D-serine transporter DsdX
WP_001102877.1	13	recombinase family protein
WP_135718557.1	13	hypothetical protein
WP_117706976.1	13	DNA methyltransferase
WP_071535376.1	13	TniQ family protein
WP_012075810.1	13	DNA-binding protein
WP_012075813.1	13	hypothetical protein
WP_073796679.1	13	GDP-mannose 4%2C6-dehydratase
WP_232949020.1	13	retron St85 family RNA-directed DNA polymerase
WP_096855501.1	13	hypothetical protein
WP_305801737.1	13	Eco57I restriction-modification methylase domain-containing protein
WP_235360718.1	13	glycosyl hydrolase family 18 protein
WP_058821169.1	13	hypothetical protein
WP_061377474.1	13	hypothetical protein
WP_022064766.1	13	MurR/RpiR family transcriptional regulator
WP_022064767.1	13	glycosyl hydrolase family 4
WP_079534419.1	13	DNA recombination protein RmuC
WP_043674613.1	13	redox-regulated ATPase YchF
WP_079534423.1	13	SCO1664 family protein
WP_079534427.1	13	amino acid permease
WP_071210490.1	13	retron St85 family RNA-directed DNA polymerase
WP_000623925.1	13	hypothetical protein
WP_105134488.1	13	hypothetical protein
WP_142448072.1	13	hypothetical protein
WP_142448073.1	13	reverse transcriptase family protein
WP_220132852.1	13	abortive infection system antitoxin AbiGi family protein
WP_142448074.1	13	restriction endonuclease
WP_142448075.1	13	type I restriction endonuclease subunit R
WP_155024532.1	13	GIY-YIG nuclease family protein
WP_139964610.1	13	M48 family metallopeptidase
WP_155024537.1	13	type I restriction endonuclease subunit R
WP_206641026.1	13	hypothetical protein
WP_032938028.1	13	DUF987 domain-containing protein
WP_227043861.1	13	hypothetical protein
WP_227043859.1	13	phosphoribosyltransferase-like protein
WP_124119274.1	13	hypothetical protein
WP_124119275.1	13	hypothetical protein
WP_124119276.1	13	hypothetical protein
WP_162275224.1	13	hypothetical protein
WP_076053572.1	13	XVIPCD domain-containing protein
WP_076053575.1	13	arabinogalactan endo-1%2C4-beta-galactosidase
