Most Frequent Protein ID	Frequency	Description
WP_164455086.1	151	TIGR03756 family integrating conjugative element protein
WP_005360033.1	149	IMP dehydrogenase
WP_223718429.1	149	hypothetical protein
WP_110612106.1	148	Fic family protein
WP_240994997.1	148	hypothetical protein
Unknown	147	transcriptional regulator
WP_122430842.1	147	hypothetical protein
WP_052812495.1	146	hypothetical protein
Unknown	145	integrase core domain-containing protein
WP_223541556.1	144	DUF905 family protein
WP_164455092.1	143	conjugal transfer protein TraG N-terminal domain-containing protein
WP_103433256.1	141	DNA helicase UvrD
WP_053256027.1	140	ImmA/IrrE family metallo-endopeptidase
Unknown	140	IS66 family transposase
WP_096229393.1	139	IS3-like element ISPa32 family transposase
WP_000813254.1	139	type I toxin-antitoxin system toxin HokD
WP_061093029.1	137	DUF4225 domain-containing protein
WP_061093030.1	135	ISAs1-like element ISEc1 family transposase
WP_005082111.1	134	response regulator transcription factor
WP_101862484.1	133	conjugative transfer ATPase
Unknown	133	VapC toxin family PIN domain ribonuclease
WP_021505897.1	133	LacI family DNA-binding transcriptional regulator
WP_016190718.1	132	TIGR03751 family conjugal transfer lipoprotein
WP_101862219.1	130	TIGR03757 family integrating conjugative element protein
WP_000025827.1	130	ribonucleotide-diphosphate reductase subunit beta
WP_101914353.1	130	DUF368 domain-containing protein
WP_023370289.1	129	XRE family transcriptional regulator
WP_101862485.1	128	TIGR03752 family integrating conjugative element protein
WP_022217975.1	128	metallophosphoesterase
WP_023370273.1	128	single-stranded DNA-binding protein
Unknown	128	IS110 family transposase
WP_016263493.1	126	hypothetical protein
WP_004300579.1	125	hypothetical protein
WP_032432524.1	124	HlyD family secretion protein
Unknown	124	lipid II-degrading bacteriocin
WP_217717311.1	122	DNA cytosine methyltransferase
WP_232112763.1	121	glycosyltransferase family 2 protein
WP_117659499.1	118	Abi family protein
WP_021520970.1	117	reverse transcriptase domain-containing protein
WP_000239529.1	115	hypothetical protein
Unknown	114	DDE-type integrase/transposase/recombinase
WP_023115342.1	114	MOSC domain-containing protein
WP_002352340.1	113	HAD family hydrolase
WP_021263495.1	113	antirestriction protein ArdA
Unknown	112	metal-sulfur cluster assembly factor
WP_073514712.1	112	DUF968 domain-containing protein
WP_001278661.1	112	hypothetical protein
WP_002355545.1	111	DUF421 domain-containing protein
WP_045344562.1	110	VOC family protein
WP_014636229.1	110	hypothetical protein
WP_002355544.1	109	DUF3290 domain-containing protein
WP_286039191.1	106	TIGR03749 family integrating conjugative element protein
WP_169311264.1	106	hypothetical protein
WP_057099050.1	105	histidine-type phosphatase
Unknown	105	N-6 DNA methylase
WP_001204787.1	105	antiterminator Q family protein
WP_001168933.1	105	hypothetical protein
WP_004222855.1	104	amino acid ABC transporter permease
WP_061093031.1	104	imm11 family protein
Unknown	103	IS5 family transposase
WP_004114519.1	103	type II toxin-antitoxin system Phd/YefM family antitoxin
WP_032532925.1	103	very short patch repair endonuclease
WP_001604436.1	103	hypothetical protein
WP_058077349.1	102	alpha/beta fold hydrolase
WP_000249482.1	101	flavin reductase
WP_000055675.1	100	integrase arm-type DNA-binding domain-containing protein
WP_003773360.1	100	ATP-binding cassette domain-containing protein
WP_000235887.1	100	hypothetical protein
WP_072644865.1	99	hypothetical protein
WP_016161249.1	98	TonB family protein
WP_087763247.1	97	peptidase domain-containing ABC transporter
WP_017205402.1	97	C40 family peptidase
WP_000505872.1	97	redox-regulated ATPase YchF
WP_039175668.1	97	Rgg/GadR/MutR family transcriptional regulator
WP_000633913.1	97	division plane positioning ATPase MipZ
WP_024041599.1	96	AI-2E family transporter
WP_032532922.1	96	LlaJI family restriction endonuclease
WP_024243980.1	96	replication initiation protein RepE
WP_021520968.1	95	inovirus Gp2 family protein
WP_042922442.1	95	TIR domain-containing protein
WP_000091896.1	95	darcynin family protein
Unknown	94	RhuM family protein
WP_311968004.1	94	tetratricopeptide repeat protein
WP_000735351.1	94	methionine synthase
Unknown	93	IS30 family transposase
WP_096071713.1	93	PLP-dependent aminotransferase family protein
WP_116197925.1	93	JmjC domain-containing protein
WP_000080195.1	93	IS66-like element ISEc23 family transposase
WP_021548587.1	93	Ag43/Cah family autotransporter adhesin
WP_095033700.1	92	IS1-like element IS1B family transposase
WP_021263682.1	92	LasR-specific antiactivator QslA
WP_032532927.1	92	virulence RhuM family protein
WP_023100853.1	90	multicopper oxidase family protein
WP_124142412.1	90	hypothetical protein
WP_003089218.1	90	hypothetical protein
Unknown	89	sigma-54-dependent Fis family transcriptional regulator
WP_193860391.1	89	leucine-rich repeat-containing protein kinase family protein
WP_002942240.1	88	pyridoxamine 5'-phosphate oxidase family protein
WP_210408756.1	88	hypothetical protein
WP_002942223.1	87	30S ribosomal protein S9
WP_004213596.1	87	HHA domain-containing protein
WP_021263683.1	87	hypothetical protein
WP_049195337.1	86	ankyrin repeat domain-containing protein
WP_000214415.1	86	antirestriction protein
WP_000772446.1	86	plasmid-partitioning protein SopA
WP_070778615.1	86	hydantoinase/oxoprolinase N-terminal domain-containing protein
WP_000031351.1	86	DUF1852 domain-containing protein
WP_088477278.1	86	IS3-like element IS222 family transposase
WP_173718123.1	84	ABC transporter substrate-binding protein
WP_200279212.1	84	sensor histidine kinase
WP_038857966.1	83	ABC-three component system protein
WP_009307526.1	83	dihydrodipicolinate synthase family protein
WP_008804539.1	83	B3/4 domain-containing protein
WP_009040028.1	83	hypothetical protein
WP_039175665.1	83	hypothetical protein
WP_256049775.1	83	hypothetical protein
WP_001325325.1	83	hypothetical protein
Unknown	82	IS256 family transposase
WP_023370279.1	82	DUF5960 family protein
WP_071982728.1	82	YvrJ family protein
WP_165981155.1	82	hypothetical protein
WP_000796232.1	82	hypothetical protein
WP_000782651.1	82	hypothetical protein
WP_001367564.1	82	hypothetical protein
WP_000780584.1	81	lipocalin family protein
WP_029393094.1	81	hypothetical protein
WP_004151175.1	80	response regulator
WP_002262804.1	79	oleate hydratase
WP_001357425.1	79	FRG domain-containing protein
WP_367719292.1	79	sigma-70 family RNA polymerase sigma factor
WP_002876943.1	78	50S ribosomal protein L13
WP_049195336.1	78	serine hydrolase domain-containing protein
WP_193860393.1	78	bifunctional transcriptional activator/DNA repair enzyme AdaA
WP_017779648.1	78	thiopurine S-methyltransferase
WP_008537669.1	78	aldo/keto reductase
WP_058884720.1	78	L-threonylcarbamoyladenylate synthase
WP_016248851.1	78	addiction module antidote protein
WP_072199748.1	77	DUF2971 domain-containing protein
WP_021560909.1	77	retron Eco8 family effector endonuclease
WP_039176941.1	77	DUF917 domain-containing protein
WP_032730607.1	76	S66 peptidase family protein
WP_278859486.1	76	DUF4121 family protein
WP_021263681.1	76	hypothetical protein
WP_021520967.1	75	YfjI family protein
WP_072644869.1	75	hypothetical protein
WP_101914359.1	74	type I restriction enzyme HsdR N-terminal domain-containing protein
WP_003092697.1	74	tRNA adenosine(34) deaminase TadA
WP_023370281.1	74	hypothetical protein
WP_023370287.1	74	hypothetical protein
WP_013855678.1	73	hypothetical protein
WP_069985716.1	72	RES family NAD+ phosphorylase
WP_010775589.1	72	peptide chain release factor 3
WP_002363168.1	72	hemolysin family protein
WP_232112766.1	72	ABC-F family ATP-binding cassette domain-containing protein
WP_010775593.1	72	hypothetical protein
WP_278481004.1	71	DUF4120 family protein
WP_000940344.1	71	DUF1367 family protein
Unknown	70	winged helix-turn-helix domain-containing protein
WP_024195926.1	70	type II toxin-antitoxin system YhaV family toxin
WP_001559862.1	70	type II toxin-antitoxin system PrlF family antitoxin
WP_258078073.1	70	hypothetical protein
WP_042922444.1	69	DUF4238 domain-containing protein
WP_193860389.1	69	insulinase family protein
WP_410204582.1	69	TnpV protein
WP_081401798.1	69	ribonucleoside-diphosphate reductase subunit alpha
WP_004935012.1	68	response regulator transcription factor BfmR
WP_141419103.1	68	hypothetical protein
WP_152959661.1	68	hypothetical protein
WP_115465648.1	67	LysE family translocator
WP_199961120.1	67	methyl-accepting chemotaxis protein
WP_015378446.1	67	cyclophilin-like fold protein
WP_013855676.1	67	hypothetical protein
WP_036927919.1	66	GIY-YIG nuclease family protein
WP_190286035.1	66	fimbrial protein
WP_232112764.1	66	DNA polymerase III subunit delta
WP_004300582.1	65	GmrSD restriction endonuclease domain-containing protein
WP_308957099.1	65	glycosyltransferase
WP_101956179.1	65	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
WP_232112767.1	65	translocation/assembly module TamB domain-containing protein
WP_021520965.1	65	hypothetical protein
WP_021520976.1	65	hypothetical protein
WP_047721954.1	65	hypothetical protein
WP_017205405.1	64	DUF3558 family protein
WP_001775011.1	64	IS6-like element IS26 family transposase
WP_010775594.1	64	hypothetical protein
WP_141419104.1	64	hypothetical protein
WP_023370275.1	64	hypothetical protein
Unknown	63	ISL3 family transposase
WP_021514830.1	63	IS66-like element accessory protein TnpA
WP_164455100.1	62	reverse transcriptase family protein
WP_032532921.1	62	DNA (cytosine-5-)-methyltransferase
WP_288744810.1	62	type II toxin-antitoxin system HipA family toxin
WP_193860395.1	62	exodeoxyribonuclease VII large subunit
WP_001186725.1	62	RadC family protein
WP_003450803.1	62	hypothetical protein
WP_034020385.1	62	hypothetical protein
WP_020316552.1	61	amino acid ABC transporter ATP-binding protein
WP_261440460.1	61	Rpn family recombination-promoting nuclease/putative transposase
WP_164455098.1	61	JAB domain-containing protein
WP_000134271.1	61	hypothetical protein
WP_000465010.1	61	hypothetical protein
WP_158660701.1	60	type II toxin-antitoxin system RelB/DinJ family antitoxin
WP_096071712.1	60	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
WP_084042872.1	60	tRNA 2-thiouridine(34) synthase MnmA
WP_081031088.1	59	nucleotidyltransferase domain-containing protein
WP_019269574.1	59	DeoR/GlpR family DNA-binding transcription regulator
WP_367719294.1	58	N-acetylmuramoyl-L-alanine amidase
WP_031850040.1	58	TniQ family protein
Unknown	58	DNA methyltransferase
WP_012541461.1	58	dimethylsulfone monooxygenase SfnG
WP_000493398.1	58	hypothetical protein
WP_065882689.1	57	cupin domain-containing protein
WP_008804546.1	57	(S)-acetoin forming diacetyl reductase
WP_244034929.1	57	MarR family winged helix-turn-helix transcriptional regulator
WP_004141106.1	57	YecA family protein
WP_003122765.1	57	hypothetical protein
WP_278708681.1	57	hypothetical protein
WP_016263491.1	57	hypothetical protein
WP_101914361.1	57	hypothetical protein
WP_232112765.1	57	hypothetical protein
WP_021560908.1	57	hypothetical protein
WP_023297780.1	56	acetolactate synthase AlsS
WP_069354171.1	56	phage replisome organizer
WP_002262805.1	56	GAF domain-containing protein
WP_171410867.1	56	hypothetical protein
WP_141419105.1	56	hypothetical protein
Unknown	55	AbrB/MazE/SpoVT family DNA-binding domain-containing protein
WP_032415726.1	55	hypothetical protein
WP_141419102.1	55	hypothetical protein
WP_112348918.1	54	DMT family transporter
WP_240996540.1	54	NACHT domain-containing protein
WP_135035746.1	54	M48 family metallopeptidase
WP_052007432.1	54	ATP-dependent DNA helicase
WP_000134272.1	54	hypothetical protein
WP_101862483.1	53	acetyltransferase
WP_194977248.1	53	BT4734/BF3469 family protein
WP_000048808.1	53	hypothetical protein
WP_004300580.1	53	hypothetical protein
WP_036423338.1	52	replicative DNA helicase
WP_346402522.1	52	FGGY-family carbohydrate kinase
Unknown	51	IS21-like element helper ATPase IstB
WP_188884663.1	51	acyltransferase family protein
WP_011154648.1	51	IS66 family insertion sequence element accessory protein TnpA
WP_004148636.1	51	ATP-grasp fold amidoligase family protein
WP_198222596.1	51	RtcB family protein
Unknown	51	histone acetyltransferase
WP_024381732.1	51	peptide deformylase
WP_010775591.1	51	hypothetical protein
WP_164726265.1	51	hypothetical protein
WP_016265248.1	50	Fe-S cluster assembly sulfur transfer protein SufU
WP_016265247.1	50	Fe-S cluster assembly protein SufB
WP_002295767.1	50	universal stress protein
WP_036658550.1	50	DUF3987 domain-containing protein
WP_226970473.1	50	DNA/RNA helicase domain-containing protein
WP_004827931.1	50	sensor histidine kinase BfmS
WP_004184324.1	50	HAMP domain-containing histidine kinase CrrB
WP_075647427.1	50	tail fiber domain-containing protein
WP_061102077.1	50	RHS repeat-associated core domain-containing protein
WP_278708678.1	50	hypothetical protein
WP_008537608.1	49	Hsp20/alpha crystallin family protein
WP_073029170.1	49	ArsR/SmtB family transcription factor
WP_004151453.1	49	tyrosine transporter TyrP
WP_009310051.1	49	hypothetical protein
WP_014951217.1	48	efflux RND transporter permease subunit
WP_116197926.1	48	arginase family protein
WP_208336350.1	48	PIN domain-containing protein
WP_022245472.1	48	extracellular solute-binding protein
WP_000640106.1	48	DUF1133 family protein
WP_310574165.1	47	putative holin-like toxin
WP_048242175.1	47	nuclear transport factor 2 family protein
Unknown	47	FAD-dependent oxidoreductase
WP_076741047.1	47	glycine zipper domain-containing protein
WP_025016455.1	47	cysteine desulfurase
WP_049453018.1	47	PadR family transcriptional regulator
WP_003479004.1	47	DUF1540 domain-containing protein
WP_002262806.1	47	DNA polymerase III subunit gamma/tau
WP_002263875.1	47	DUF3272 family protein
WP_002262808.1	47	bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA
WP_077708863.1	47	type II toxin-antitoxin system PemK/MazF family toxin
WP_138266776.1	47	nucleotidyltransferase family protein
WP_024075600.1	47	LysR substrate-binding domain-containing protein
Unknown	47	alcohol dehydrogenase
WP_025016456.1	47	hypothetical protein
WP_000362155.1	47	hypothetical protein
WP_102624537.1	46	abortive infection family protein
WP_064597192.1	46	RNA polymerase sigma factor
WP_031956488.1	46	beta strand repeat-containing protein
WP_248577489.1	46	aminoacyl-tRNA hydrolase
WP_048324888.1	46	tail assembly protein
WP_001525466.1	46	hypothetical protein
WP_002289114.1	45	YitT family protein
WP_247953278.1	45	DUF6261 family protein
WP_080928595.1	45	sulfite exporter TauE/SafE family protein
WP_101305227.1	45	TniB family NTP-binding protein
WP_000228032.1	45	DUF1364 domain-containing protein
WP_004175410.1	45	YecH family metal-binding protein
WP_022651757.1	45	hypothetical protein
WP_050151844.1	45	hypothetical protein
WP_005524940.1	44	SMI1/KNR4 family protein
WP_016265250.1	44	Fe-S cluster assembly protein SufD
WP_025648811.1	44	cardiolipin synthase
WP_014951216.1	44	efflux RND transporter periplasmic adaptor subunit
WP_259793427.1	44	HEPN domain-containing protein
WP_005058085.1	44	DUF3297 family protein
WP_036428027.1	44	1-phosphofructokinase family hexose kinase
WP_261440459.1	44	DUF2913 family protein
WP_102738599.1	44	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
Unknown	44	KilA-N domain-containing protein
WP_346402521.1	44	L-ribulose-5-phosphate 3-epimerase
WP_033632583.1	44	L-ribulose-5-phosphate 4-epimerase
WP_022651755.1	44	hypothetical protein
WP_016265245.1	43	DUF378 domain-containing protein
WP_240338863.1	43	caspase family protein
WP_131696325.1	43	phospholipase D family protein
WP_201881867.1	43	energy transducer TonB
WP_077868381.1	43	S8 family peptidase
WP_005058086.1	43	YaeQ family protein
WP_074331347.1	43	recombinase XerD
WP_023340900.1	43	hypothetical protein
WP_015532704.1	43	hypothetical protein
WP_113748694.1	42	relaxase
WP_301417786.1	42	NAD-dependent epimerase/dehydratase family protein
WP_053256026.1	42	histone-like nucleoid-structuring protein%2C MvaT/MvaU family
WP_151808647.1	42	NUDIX hydrolase
WP_075316086.1	42	amino acid permease
Unknown	42	IS6 family transposase
WP_002330200.1	42	LysM peptidoglycan-binding domain-containing protein
Unknown	42	IS5/IS1182 family transposase
WP_004721163.1	42	stress-induced protein YchH
WP_164496760.1	42	cell wall metabolism sensor histidine kinase WalK
WP_002942225.1	42	hypothetical protein
WP_004114521.1	42	hypothetical protein
WP_023370277.1	42	hypothetical protein
WP_099877615.1	41	methylase
WP_004804317.1	41	GntR family transcriptional regulator
WP_218046741.1	41	LPXTG cell wall anchor domain-containing protein
WP_000688514.1	41	plasmid segregation protein ParM
WP_017205409.1	41	HAMP domain-containing sensor histidine kinase
WP_003738468.1	41	RidA family protein
WP_367719295.1	41	DNA polymerase IV
WP_076486645.1	41	hypothetical protein
WP_000030199.1	41	hypothetical protein
WP_009654312.1	41	hypothetical protein
WP_004213594.1	41	hypothetical protein
WP_162173578.1	41	hypothetical protein
WP_025814891.1	41	hypothetical protein
WP_226882924.1	41	hypothetical protein
WP_084833138.1	41	hypothetical protein
WP_001357424.1	40	protein kinase domain-containing protein
WP_115266996.1	40	histidine phosphatase family protein
WP_077265430.1	40	L-tyrosine/L-tryptophan isonitrile synthase family protein
WP_165454664.1	40	ASCH domain-containing protein
WP_001445776.1	40	DUF1971 domain-containing protein
WP_240053945.1	39	HsdR family type I site-specific deoxyribonuclease
WP_117899098.1	39	serine hydrolase
Unknown	39	APC family permease
WP_065882690.1	39	carboxymuconolactone decarboxylase family protein
WP_022651758.1	39	outer membrane protein assembly factor BamE
WP_285097160.1	39	MalY/PatB family protein
WP_065440512.1	39	glycoside hydrolase family 31 protein
WP_230577335.1	39	PTS transporter subunit EIIC
WP_001445775.1	39	Hok/Gef family protein
WP_017205403.1	39	WXG100 family type VII secretion target
WP_000343099.1	39	hypothetical protein
WP_138297004.1	39	hypothetical protein
WP_069985720.1	39	hypothetical protein
WP_023370269.1	39	hypothetical protein
WP_224228814.1	38	FAD-binding oxidoreductase
WP_005646259.1	38	trypco2 family protein
WP_003098430.1	38	lactoylglutathione lyase
WP_003141121.1	38	DUF2845 domain-containing protein
Unknown	38	winged helix-turn-helix transcriptional regulator
WP_017205412.1	38	TldD/PmbA family protein
WP_000444485.1	38	NADP-dependent isocitrate dehydrogenase
WP_017205408.1	38	DUF4153 domain-containing protein
WP_127469808.1	38	hypothetical protein
WP_000465043.1	38	hypothetical protein
WP_173718121.1	37	PDDEXK nuclease domain-containing protein
Unknown	37	IS1595 family transposase
WP_225585949.1	37	coiled-coil domain-containing protein
Unknown	37	AlpA family phage regulatory protein
WP_002355547.1	37	DUF1827 family protein
WP_003085431.1	37	YjhX family toxin
WP_024591887.1	37	TonB-dependent receptor
WP_185480267.1	37	MarR family transcriptional regulator
WP_017205411.1	37	metallopeptidase TldD-related protein
WP_285097161.1	37	plasmid partition protein ParG
Unknown	37	diguanylate cyclase
WP_119871724.1	37	type II toxin-antitoxin system MqsA family antitoxin
WP_074331348.1	37	hypothetical protein
WP_010792230.1	37	hypothetical protein
WP_135035743.1	36	phospholipase D-like domain-containing protein
WP_217649207.1	36	abortive infection system antitoxin AbiGi family protein
WP_011154643.1	36	IS5-like element ISVa2 family transposase
WP_224465514.1	36	hypothetical protein
WP_005646255.1	36	hypothetical protein
WP_156737207.1	36	hypothetical protein
WP_214676418.1	36	hypothetical protein
WP_025982532.1	36	hypothetical protein
WP_025982531.1	36	hypothetical protein
WP_230857186.1	36	hypothetical protein
WP_119871725.1	36	hypothetical protein
WP_119871721.1	36	hypothetical protein
WP_119871720.1	36	hypothetical protein
WP_077708864.1	35	sigma factor-like helix-turn-helix DNA-binding protein
WP_096071709.1	35	sugar ABC transporter substrate-binding protein
WP_005524994.1	35	PhzF family phenazine biosynthesis protein
Unknown	35	Tn3 family transposase
WP_055055132.1	35	DUF6262 family protein
WP_105162315.1	35	maltose alpha-D-glucosyltransferase
WP_005779491.1	35	ABC-three component system middle component 1
WP_021559845.1	35	hypothetical protein
WP_074186500.1	35	hypothetical protein
WP_065203972.1	35	hypothetical protein
WP_119871717.1	35	hypothetical protein
WP_119871716.1	35	hypothetical protein
Unknown	34	methylated-DNA--[protein]-cysteine S-methyltransferase
WP_054896450.1	34	antitoxin Xre/MbcA/ParS toxin-binding domain-containing protein
WP_077258817.1	34	KAP family P-loop NTPase fold protein
WP_084015040.1	34	conjugal transfer protein
WP_005646266.1	34	DUF6371 domain-containing protein
WP_181828658.1	34	aspartate aminotransferase family protein
WP_015545284.1	34	type I glyceraldehyde-3-phosphate dehydrogenase
WP_332370510.1	34	recombinase RecA
WP_005646264.1	34	MobC family plasmid mobilization relaxosome protein
WP_368120720.1	34	McrB family protein
WP_256581268.1	34	DUF2026 family protein
WP_061057319.1	34	ClpP-like prohead protease/major capsid protein fusion protein
WP_001775008.1	34	hypothetical protein
WP_001357428.1	34	hypothetical protein
WP_278708677.1	34	hypothetical protein
WP_150015927.1	34	hypothetical protein
WP_150015926.1	34	hypothetical protein
WP_150015925.1	34	hypothetical protein
WP_150015924.1	34	hypothetical protein
WP_071792162.1	33	excisionase
WP_079549349.1	33	YbgA family protein
WP_029179258.1	33	DUF6176 family protein
WP_105162316.1	33	4-hydroxyproline epimerase
WP_024372705.1	33	type I-F CRISPR-associated endoribonuclease Cas6/Csy4
WP_020332816.1	33	type I-F CRISPR-associated protein Csy3
