psi_protein,neighbour_protein,percent_identity,genome_id,neighbour_domains,psi_domains
WP_042153087.1,WP_157898034.1,31.492,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_150102049.1,WP_157898034.1,26.623,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_316130443.1,WP_128320334.1,38.095,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_226308240.1,WP_157898034.1,25.714,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_147695982.1,WP_219042728.1,39.566,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_147695982.1,WP_206079065.1,37.781,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_244107560.1,WP_244212823.1,30.769,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_244107560.1,WP_157898034.1,37.349,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_198293826.1,WP_000884830.1,35.833,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_182152123.1,WP_128320334.1,38.961,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_182152123.1,WP_157898034.1,35.211,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_281113907.1,WP_194473083.1,35.87,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_273822734.1,WP_000884830.1,30.088,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_305493166.1,WP_157898034.1,28.571,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_305493166.1,WP_128320334.1,37.705,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_021010100.1,WP_219042728.1,22.242,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_021010100.1,WP_206079065.1,23.099,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_401394151.1,WP_194473083.1,35.714,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_345147565.1,WP_157898034.1,33.696,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_027727331.1,WP_128320334.1,33.929,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_219656450.1,WP_219042728.1,37.991,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; Pribosyltran; PRK02277.1
WP_219656450.1,WP_206079065.1,34.196,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE; Pribosyltran; PRK02277.1
WP_234627151.1,WP_219042728.1,34.135,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_369365742.1,WP_157898034.1,29.63,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_127665890.1,WP_219042728.1,38.384,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_307751998.1,WP_157898034.1,25.616,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_304719036.1,WP_157898034.1,26.238,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_066321367.1,WP_219042728.1,35.732,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; Pribosyltran
WP_066321367.1,WP_206079065.1,35.657,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE; Pribosyltran
WP_155500389.1,WP_206079065.1,29.339,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE; PRK07199.1
WP_155500389.1,WP_219042728.1,31.04,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; PRK07199.1
WP_218438112.1,WP_157898034.1,37.179,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_202884348.1,WP_219042728.1,39.005,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_202884348.1,WP_206079065.1,36.857,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_052628083.1,WP_157898034.1,25.824,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_052628083.1,WP_128320334.1,33.333,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_284413216.1,WP_000884830.1,36.283,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_353144666.1,WP_128320334.1,35.0,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_353144666.1,WP_157898034.1,23.158,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_369987549.1,WP_157898034.1,35.897,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_123449907.1,WP_157898034.1,37.179,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_406721497.1,WP_194473083.1,36.19,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_406721497.1,WP_157898034.1,22.872,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_301077956.1,WP_039541967.1,32.45,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_177128621.1,WP_206079065.1,29.283,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_177128621.1,WP_219042728.1,30.685,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_372383774.1,WP_157898034.1,31.522,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_227696672.1,WP_000884830.1,30.357,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_109912098.1,WP_128320334.1,32.787,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_155518334.1,WP_157898034.1,35.294,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_008983429.1,WP_128320334.1,38.028,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_008983429.1,WP_194473083.1,29.592,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_008983429.1,WP_157898034.1,32.877,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_205274767.1,WP_157898034.1,34.783,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_147092838.1,WP_060382056.1,25.075,NZ_JALDSR010000006.1,PRTase-CE,PRTase-CE
WP_304564162.1,WP_219042728.1,36.285,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_304564162.1,WP_206079065.1,35.408,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_134240917.1,WP_128320334.1,38.095,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_134240917.1,WP_244212823.1,32.407,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_143502159.1,WP_157898034.1,26.455,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_250504280.1,WP_000884830.1,34.188,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_226342275.1,WP_157898034.1,24.211,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_238282750.1,WP_194473083.1,38.182,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_238282750.1,WP_157898034.1,29.348,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_238282750.1,WP_128320334.1,37.681,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_050940718.1,WP_157898034.1,35.821,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_147407146.1,WP_000884830.1,36.607,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_045759908.1,WP_000663275.1,37.168,NZ_NDOY01000267.1,PRTase-CE,PRTase-CE
WP_313534209.1,WP_157898034.1,32.955,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_313534209.1,WP_128320334.1,32.877,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_244426407.1,WP_157898034.1,34.066,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_122334640.1,WP_206079065.1,29.339,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE; PRK07199.1
WP_122334640.1,WP_219042728.1,31.04,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; PRK07199.1
WP_318156219.1,WP_000884830.1,35.0,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_226096739.1,WP_128320334.1,38.462,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_046015996.1,WP_157898034.1,31.522,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_236473107.1,WP_206079065.1,29.339,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE; PRK07199.1
WP_236473107.1,WP_219042728.1,31.04,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; PRK07199.1
WP_143219561.1,WP_000884830.1,34.188,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_257246254.1,WP_219042728.1,37.634,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_257246254.1,WP_206079065.1,38.012,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_348299697.1,WP_039541967.1,32.624,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_079927710.1,WP_128320334.1,37.705,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_162904250.1,WP_157898034.1,35.632,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_408338740.1,WP_000884830.1,37.168,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_177062223.1,WP_219042728.1,39.728,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_177062223.1,WP_206079065.1,35.983,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_407361525.1,WP_128320334.1,35.938,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_367394426.1,WP_219042728.1,39.11,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_367394426.1,WP_206079065.1,34.741,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_320522831.1,WP_157898034.1,22.857,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE; PRTase-CE
WP_320522831.1,WP_128320334.1,30.0,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE; PRTase-CE
WP_390582875.1,WP_128320334.1,34.483,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_143040180.1,WP_219042728.1,35.962,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; Pribosyltran
WP_083227364.1,WP_206079065.1,29.339,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE; PRK07199.1
WP_083227364.1,WP_219042728.1,31.161,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; PRK07199.1
WP_173187473.1,WP_219042728.1,36.738,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; Pribosyltran
WP_077282569.1,WP_157898034.1,30.601,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_224995951.1,WP_039541967.1,24.615,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_375532566.1,WP_157898034.1,33.803,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_070225664.1,WP_219042728.1,30.5,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; HPT_Archaea; PRK02304.1-4; PRK12560.1; PRK01259.1; PRK01259.1; PRK00934.1; PRK02304.1-5; ribP_PPkin
WP_070225664.1,WP_206079065.1,26.786,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE; HPT_Archaea; PRK02304.1-4; PRK12560.1; PRK01259.1; PRK01259.1; PRK00934.1; PRK02304.1-5; ribP_PPkin
WP_197145745.1,WP_000884830.1,32.967,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_009465823.1,WP_039541967.1,34.109,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_353532876.1,WP_128320334.1,34.328,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_386312004.1,WP_128320334.1,36.17,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_216751736.1,WP_128320334.1,36.047,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_216751736.1,WP_157898034.1,23.196,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_202016721.1,WP_000884830.1,25.0,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_400713390.1,WP_157898034.1,22.857,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE; PRTase-CE
WP_400713390.1,WP_128320334.1,30.0,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE; PRTase-CE
WP_300351044.1,WP_128320334.1,39.437,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_300351044.1,WP_244212823.1,35.417,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_363704812.1,WP_219042728.1,23.922,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_363704812.1,WP_206079065.1,24.712,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_359828284.1,WP_128320334.1,36.066,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_359828284.1,WP_157898034.1,35.484,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_157674288.1,WP_128320334.1,37.778,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_148290715.1,WP_039541967.1,35.772,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_128320333.1,WP_157898034.1,24.286,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_128598394.1,WP_219042728.1,37.775,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_128598394.1,WP_206079065.1,38.406,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_183116295.1,WP_219042728.1,33.902,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_038453481.1,WP_157898034.1,36.232,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_016706340.1,WP_157898034.1,34.694,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_408205807.1,WP_157898034.1,30.488,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_408205807.1,WP_128320334.1,31.25,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_008994519.1,WP_157898034.1,34.091,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_138936870.1,WP_206079065.1,29.607,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE; PRK07199.1
WP_138936870.1,WP_219042728.1,31.23,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; PRK07199.1
WP_141046845.1,WP_206079065.1,28.483,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_141046845.1,WP_219042728.1,28.0,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_133499027.1,WP_039541967.1,34.591,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_284175580.1,WP_175981918.1,27.064,NZ_CADFEL010000065.1,ORC-CDC6-like; ORC-CDC6-like; AAA_22; nSTAND3,PRTase-CE
WP_284175580.1,WP_221597109.1,28.205,NZ_JAIGNQ010000001.1,ORC-CDC6-like; ORC-CDC6-like; AAA_22; AAA_22; AAA_16; nSTAND3,PRTase-CE
WP_284175580.1,WP_063892321.1,25.849,NZ_LOZM01000076.1,ORC-CDC6-like; ORC-CDC6-like; AAA_22; AAA_22; AAA_16; nSTAND3,PRTase-CE
WP_284175580.1,WP_157649294.1,26.697,NZ_LPHS01000073.1,ORC-CDC6-like; AAA_22; AAA_22; nSTAND3,PRTase-CE
WP_284175580.1,WP_214187516.1,22.794,NZ_BSDS01000002.1,ORC-CDC6-like; nSTAND3,PRTase-CE
WP_284175580.1,WP_046681974.1,23.664,NZ_LBCO01000004.1,ORC-CDC6-like; ORC-CDC6-like; AAA_22; AAA_22; nSTAND3,PRTase-CE
WP_232313703.1,WP_157898034.1,24.848,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_203538672.1,WP_128320334.1,38.806,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_203538672.1,WP_157898034.1,27.711,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_126369146.1,WP_157898034.1,36.842,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_404306957.1,WP_219042728.1,29.618,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_404306957.1,WP_206079065.1,27.399,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_404306957.1,WP_101283316.1,21.212,NZ_CP061079.1,AAA_16; AAA_22; ATPase_2; AAA; nSTAND1; DUF815; NB-ARC; DEAD; nSTAND3; TIGR02928; DnaA_homol_Hda; DnaA_homol_Hda; F430_CfbC,PRTase-CE
WP_164476013.1,WP_157898034.1,33.333,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_148582096.1,WP_219042728.1,33.127,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_072641280.1,WP_157898034.1,38.776,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_287306693.1,WP_219042728.1,37.265,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_137983864.1,WP_128320334.1,33.803,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_247269341.1,WP_039541967.1,28.889,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_408824981.1,WP_157898034.1,37.5,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_360475905.1,WP_128320334.1,34.375,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_045929869.1,WP_128320334.1,35.526,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_293354468.1,WP_219042728.1,30.536,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_293354468.1,WP_206079065.1,31.473,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_385718988.1,WP_128320334.1,35.135,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_139274808.1,WP_194473083.1,27.778,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_157735183.1,WP_157898034.1,36.0,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_127997657.1,WP_219042728.1,25.156,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_127997657.1,WP_206079065.1,24.415,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_127997657.1,WP_101283316.1,26.95,NZ_CP061079.1,AAA_16; AAA_22; ATPase_2; AAA; nSTAND1; DUF815; NB-ARC; DEAD; nSTAND3; TIGR02928; DnaA_homol_Hda; DnaA_homol_Hda; F430_CfbC,PRTase-CE
WP_342168177.1,WP_128320334.1,37.705,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_133816104.1,WP_128320334.1,32.787,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_247443358.1,WP_060382056.1,24.855,NZ_JALDSR010000006.1,PRTase-CE,PRTase-CE
WP_212289459.1,WP_219042728.1,24.771,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_212289459.1,WP_206079065.1,23.954,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_375517881.1,WP_157898034.1,33.803,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_388641884.1,WP_194473083.1,35.714,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_223176968.1,WP_157898034.1,33.333,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
