psi_protein,neighbour_protein,percent_identity,genome_id,neighbour_domains,psi_domains
WP_180084028.1,WP_000884830.1,62.609,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_217386152.1,WP_244212823.1,74.074,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_016771168.1,WP_244212823.1,69.725,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_335480187.1,WP_157898034.1,61.25,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_169844578.1,WP_244212823.1,73.148,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_248916470.1,WP_244212823.1,69.725,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_256665244.1,WP_244212823.1,75.229,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_139431809.1,WP_128320334.1,67.021,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_143487496.1,WP_244212823.1,66.667,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_374810047.1,WP_128320334.1,67.021,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_313608830.1,WP_221597109.1,69.654,NZ_JAIGNQ010000001.1,ORC-CDC6-like; ORC-CDC6-like; AAA_22; AAA_22; AAA_16; nSTAND3,PRTase-CE
WP_059349516.1,WP_244212823.1,69.912,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_137230139.1,WP_157898034.1,67.204,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_065236505.1,WP_025217672.1,74.667,NZ_CP006943.1,PRTase-CE,PRTase-CE
WP_272754684.1,WP_244212823.1,69.725,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_409311962.1,WP_244212823.1,78.899,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_122754747.1,WP_244212823.1,75.229,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_256572594.1,WP_244212823.1,68.675,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_024648492.1,WP_244212823.1,75.0,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_253942745.1,WP_244212823.1,62.295,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_123749530.1,WP_244212823.1,74.074,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_240430054.1,WP_157898034.1,68.108,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_193159611.1,WP_157898034.1,68.108,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_126859667.1,WP_244212823.1,69.027,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_324750992.1,WP_206079065.1,66.757,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_380207319.1,WP_128320334.1,69.0,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_057724479.1,WP_244212823.1,67.593,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_108078469.1,WP_244212823.1,68.807,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_139398593.1,WP_128320334.1,67.021,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_227369945.1,WP_244212823.1,63.75,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_362845055.1,WP_128320334.1,68.085,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_112886779.1,WP_157898034.1,66.667,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_234710524.1,WP_244212823.1,74.074,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_139286568.1,WP_157898034.1,68.649,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_316882998.1,WP_244212823.1,67.593,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_021539892.1,WP_157898034.1,67.204,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_101208572.1,WP_244212823.1,64.815,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_055008729.1,WP_244212823.1,75.0,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_128570628.1,WP_244212823.1,69.027,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_062729624.1,WP_157898034.1,67.204,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_306267015.1,WP_039541967.1,79.755,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_034031832.1,WP_244212823.1,67.593,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_236080861.1,WP_244212823.1,61.972,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_227697090.1,WP_244212823.1,70.796,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_234601006.1,WP_157898034.1,67.204,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_224952955.1,WP_128320334.1,63.81,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_202696356.1,WP_244212823.1,75.926,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_300063927.1,WP_039541967.1,69.388,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_217858799.1,WP_244212823.1,75.229,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_048953246.1,WP_025217672.1,74.667,NZ_CP006943.1,PRTase-CE,PRTase-CE
WP_256659764.1,WP_244212823.1,76.636,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_159285158.1,WP_244212823.1,70.536,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_339070894.1,WP_244212823.1,76.636,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_317871801.1,WP_244212823.1,70.796,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_062842770.1,WP_244212823.1,68.142,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_177009527.1,WP_244212823.1,75.0,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_184409770.1,WP_039541967.1,65.772,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_017702483.1,WP_244212823.1,75.229,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_249721208.1,WP_244212823.1,75.0,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_311971414.1,WP_244212823.1,76.147,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
